Kommune,År,Sektor,Utslippskilde,Utslipp
Porsgrunn,2022,Jordbruk,Gjødselhåndtering,0.0
Porsgrunn,2022,Jordbruk,Jordbruksarealer,739.88
Porsgrunn,2022,Luftfart,Innenriks luftfart,0.0
Porsgrunn,2022,Luftfart,Utenriks luftfart,0.0
Porsgrunn,2022,Oppvarming,Fossil olje,0.07
Porsgrunn,2022,Oppvarming,Fyringsparafin,0.0
Porsgrunn,2022,Oppvarming,LPG,1052.41
Porsgrunn,2022,Oppvarming,Naturgass,0.05
Porsgrunn,2022,Sjøfart,Fiskefartøy,0.7
Porsgrunn,2022,Veitrafikk,Busser,0.19
Porsgrunn,2022,Veitrafikk,Personbiler,115.23
Porsgrunn,2022,Veitrafikk,Tunge kjøretøy,1.29
Porsgrunn,2023,Annen mobil forbrenning,Andre næringer  ,27.42
Porsgrunn,2023,Annen mobil forbrenning,Behandling av avfall  ,1.59
Porsgrunn,2023,Annen mobil forbrenning,Bygg og anlegg  ,32.44
Porsgrunn,2023,Annen mobil forbrenning,Snøscooter,0.27
Porsgrunn,2023,Annen mobil forbrenning,Tjenester tilknyttet transport  ,2.32
Porsgrunn,2023,Avfall og avløp,Avløp,0.0
Porsgrunn,2023,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.0
Porsgrunn,2023,"Industri, olje og gass","Industri, olje og gass",1920.37
Porsgrunn,2023,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Porsgrunn,2023,Jordbruk,Gjødselhåndtering,284.59
Porsgrunn,2023,Jordbruk,Jordbruksarealer,0.44
Porsgrunn,2023,Luftfart,Innenriks luftfart,0.0
Porsgrunn,2023,Luftfart,Utenriks luftfart,0.0
Porsgrunn,2023,Oppvarming,Bioenergi,0.0
Porsgrunn,2023,Oppvarming,Fossil olje,0.33
Porsgrunn,2023,Oppvarming,Naturgass,0.16
Porsgrunn,2023,Oppvarming,Vedfyring,57.92
Porsgrunn,2023,Sjøfart,*Estimat sjøfart,0.0
Porsgrunn,2023,Sjøfart,Andre servicefartøy,2088.72
Porsgrunn,2023,Sjøfart,Gasstankskip,7238.49
Porsgrunn,2023,Sjøfart,Offshore,215.73
Porsgrunn,2023,Sjøfart,Stykkgods,7832.79
Porsgrunn,2023,Sjøfart,Tørrbulk,2891.86
Porsgrunn,2023,Veitrafikk,Busser,2351.98
Porsgrunn,2023,Veitrafikk,Personbiler,26043.98
Porsgrunn,2023,Veitrafikk,Tunge kjøretøy,19474.81
Porsgrunn,2023,Veitrafikk,Tunge kjøretøy,238.18
Porsgrunn,2023,Veitrafikk,Varebiler,113.89
Porsgrunn,2024,Annen mobil forbrenning,Andre næringer  ,31.73
Porsgrunn,2024,Annen mobil forbrenning,Behandling av avfall  ,351.49
Porsgrunn,2024,Annen mobil forbrenning,Bygg og anlegg  ,4.53
Porsgrunn,2024,Annen mobil forbrenning,Jordbruk  ,166.64
Porsgrunn,2024,Annen mobil forbrenning,Skogbruk  ,14.87
Porsgrunn,2024,Annen mobil forbrenning,Snøscooter,8.17
Porsgrunn,2024,Avfall og avløp,Biologisk behandling av avfall,0.0
Porsgrunn,2024,"Industri, olje og gass","Industri, olje og gass",1566905.52
Porsgrunn,2024,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Porsgrunn,2024,Jordbruk,Gjødselhåndtering,443.36
Porsgrunn,2024,Oppvarming,Annet,174.87
Porsgrunn,2024,Oppvarming,Bioenergi,0.92
Porsgrunn,2024,Oppvarming,Fyringsparafin,0.0
Porsgrunn,2024,Oppvarming,Fyringsparafin,0.0
Porsgrunn,2024,Oppvarming,Naturgass,127.21
Porsgrunn,2024,Oppvarming,Vedfyring,1743.26
Porsgrunn,2024,Sjøfart,Cruise,0.13
Porsgrunn,2024,Sjøfart,Havbruk,0.0
Porsgrunn,2024,Sjøfart,Passasjer,49.57
Porsgrunn,2024,Veitrafikk,Busser,29.31
Porsgrunn,2024,Veitrafikk,Personbiler,240.96
Porsgrunn,2024,Veitrafikk,Varebiler,32.6
Skien,2009,Annen mobil forbrenning,Behandling av avfall  ,3.54
Skien,2009,Annen mobil forbrenning,Tjenester tilknyttet transport  ,1677.7
Skien,2009,Avfall og avløp,Avløp,1173.13
Skien,2009,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.0
Skien,2009,"Industri, olje og gass","Industri, olje og gass",0.03
Skien,2009,Jordbruk,Fordøyelsesprosesser husdyr,9663.88
Skien,2009,Jordbruk,Jordbruksarealer,4636.42
Skien,2009,Luftfart,Utenriks luftfart,29.49
Skien,2009,Oppvarming,Annet,0.06
Skien,2009,Oppvarming,Bioenergi,10.92
Skien,2009,Oppvarming,Fossil olje,9.09
Skien,2009,Oppvarming,LPG,422.86
Skien,2009,Oppvarming,Naturgass,2.96
Skien,2009,Sjøfart,Andre aktiviteter,0.0
Skien,2009,Veitrafikk,Busser,1.64
Skien,2009,Veitrafikk,Personbiler,175.42
Skien,2009,Veitrafikk,Tunge kjøretøy,2.22
Skien,2009,Veitrafikk,Varebiler,14.87
Skien,2011,Annen mobil forbrenning,Bygg og anlegg  ,7.34
Skien,2011,Annen mobil forbrenning,Jordbruk  ,1347.92
Skien,2011,Annen mobil forbrenning,Skogbruk  ,519.11
Skien,2011,Annen mobil forbrenning,Snøscooter,18.91
Skien,2011,Avfall og avløp,Avløp,181.78
Skien,2011,Avfall og avløp,Biologisk behandling av avfall,0.0
Skien,2011,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Skien,2011,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Skien,2011,Jordbruk,Gjødselhåndtering,894.85
Skien,2011,Luftfart,Utenriks luftfart,0.01
Skien,2011,Oppvarming,Annet,553.24
Skien,2011,Oppvarming,Bioenergi,0.63
Skien,2011,Oppvarming,Fyringsparafin,1338.51
Skien,2011,Oppvarming,LPG,1.59
Skien,2011,Sjøfart,Havbruk,0.0
Skien,2011,Sjøfart,Passasjer,0.0
Skien,2011,Veitrafikk,Busser,14.42
Skien,2011,Veitrafikk,Personbiler,300.28
Skien,2011,Veitrafikk,Tunge kjøretøy,44.55
Skien,2013,Annen mobil forbrenning,Andre næringer  ,3176.7
Skien,2013,Annen mobil forbrenning,Behandling av avfall  ,1.07
Skien,2013,Annen mobil forbrenning,Bygg og anlegg  ,6957.81
Skien,2013,Annen mobil forbrenning,Jordbruk  ,1.94
Skien,2013,Annen mobil forbrenning,Skogbruk  ,0.97
Skien,2013,Annen mobil forbrenning,Snøscooter,110.43
Skien,2013,Annen mobil forbrenning,Tjenester tilknyttet transport  ,22.68
Skien,2013,Avfall og avløp,Avfallsdeponigass,35543.72
Skien,2013,Avfall og avløp,Avløp,0.0
Skien,2013,Avfall og avløp,Biologisk behandling av avfall,26.25
Skien,2013,Bruk av produkter med fluorgasser,Bruk av SF6,597.66
Skien,2013,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Skien,2013,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Skien,2013,Jordbruk,Gjødselhåndtering,0.0
Skien,2013,Luftfart,Innenriks luftfart,281.52
Skien,2013,Luftfart,Innenriks luftfart,2.03
Skien,2013,Luftfart,Utenriks luftfart,0.01
Skien,2013,Oppvarming,Annet,3.13
Skien,2013,Oppvarming,Fyringsparafin,3.87
Skien,2013,Oppvarming,LPG,0.35
Skien,2013,Oppvarming,Naturgass,14.53
Skien,2013,Sjøfart,*Estimat sjøfart,450.93
Skien,2013,Sjøfart,Andre offshorefartøy,0.0
Skien,2013,Sjøfart,Andre servicefartøy,0.0
Skien,2013,Sjøfart,Fiskefartøy,0.0
Skien,2013,Sjøfart,Gasstankskip,0.0
Skien,2013,Sjøfart,Kjemikalie-/produkttanker,0.0
Skien,2013,Sjøfart,Tørrbulk,0.0
Skien,2015,Annen mobil forbrenning,Andre næringer  ,28.44
Skien,2015,Annen mobil forbrenning,Behandling av avfall  ,802.71
Skien,2015,Annen mobil forbrenning,Behandling av avfall  ,9.32
Skien,2015,Annen mobil forbrenning,Jordbruk  ,14.14
Skien,2015,Annen mobil forbrenning,Skogbruk  ,4.78
Skien,2015,Annen mobil forbrenning,Tjenester tilknyttet transport  ,2501.91
Skien,2015,Avfall og avløp,Avløp,1188.85
Skien,2015,Avfall og avløp,Biologisk behandling av avfall,16.1
Skien,2015,Bruk av produkter med fluorgasser,Bruk av HFK,6778.92
Skien,2015,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Skien,2015,"Industri, olje og gass","Industri, olje og gass",279.4
Skien,2015,Jordbruk,Fordøyelsesprosesser husdyr,9494.76
Skien,2015,Jordbruk,Jordbruksarealer,238.63
Skien,2015,Luftfart,Innenriks luftfart,0.19
Skien,2015,Luftfart,Utenriks luftfart,2.28
Skien,2015,Oppvarming,Annet,0.06
Skien,2015,Oppvarming,Bioenergi,11.31
Skien,2015,Oppvarming,Fossil olje,1318.06
Skien,2015,Oppvarming,Fyringsparafin,0.51
Skien,2015,Oppvarming,Naturgass,6209.78
Skien,2015,Oppvarming,Vedfyring,3346.86
Skien,2015,Sjøfart,Andre aktiviteter,0.0
Skien,2015,Sjøfart,Container/RoRo,0.0
Skien,2015,Sjøfart,Cruise,0.0
Skien,2015,Sjøfart,Oljetanker,0.0
Skien,2015,Veitrafikk,Busser,1.17
Skien,2015,Veitrafikk,Personbiler,126.29
Skien,2016,Annen mobil forbrenning,Andre næringer  ,4395.18
Skien,2016,Annen mobil forbrenning,Bygg og anlegg  ,6084.2
Skien,2016,Annen mobil forbrenning,Jordbruk  ,1.95
Skien,2016,Annen mobil forbrenning,Skogbruk  ,0.65
Skien,2016,Annen mobil forbrenning,Snøscooter,119.93
Skien,2016,Annen mobil forbrenning,Tjenester tilknyttet transport  ,22.43
Skien,2016,Avfall og avløp,Avfallsdeponigass,31657.87
Skien,2016,Avfall og avløp,Biologisk behandling av avfall,28.42
