Nivå;Geografisk enhet;Yrke utlyst stilling;Antall utlyste stillinger;Yrkespraksis;Antall søkere;Dato
Fylker;Akershus;Butikk- og salgsarbeid;533.0;Serviceyrker og annet arbeid;1422.0;2025-08-01
Fylker;Akershus;Butikk- og salgsarbeid;533.0;Undervisning;448.0;2025-08-01
Fylker;Akershus;Bygg og anlegg;126.0;Akademiske yrker;372.0;2025-08-01
Fylker;Akershus;Bygg og anlegg;126.0;Barne- og ungdomsarbeid;771.0;2025-08-01
Fylker;Akershus;Bygg og anlegg;126.0;Butikk- og salgsarbeid;1339.0;2025-08-01
Fylker;Akershus;Bygg og anlegg;126.0;Bygg og anlegg;1473.0;2025-08-01
Fylker;Akershus;Bygg og anlegg;126.0;Helse, pleie og omsorg;871.0;2025-08-01
Fylker;Akershus;Bygg og anlegg;126.0;Industriarbeid;720.0;2025-08-01
Fylker;Akershus;Bygg og anlegg;126.0;Ingen yrkesbakgrunn eller uoppgitt;1588.0;2025-08-01
Fylker;Akershus;Bygg og anlegg;126.0;Ingeniør- og ikt-fag;913.0;2025-08-01
Fylker;Akershus;Bygg og anlegg;126.0;Jordbruk, skogbruk og fiske;91.0;2025-08-01
Fylker;Akershus;Bygg og anlegg;126.0;Kontorarbeid;1377.0;2025-08-01
Fylker;Akershus;Bygg og anlegg;126.0;Ledere;800.0;2025-08-01
Fylker;Akershus;Bygg og anlegg;126.0;Meglere og konsulenter;539.0;2025-08-01
Fylker;Akershus;Bygg og anlegg;126.0;Reiseliv og transport;1184.0;2025-08-01
Fylker;Akershus;Bygg og anlegg;126.0;Serviceyrker og annet arbeid;1422.0;2025-08-01
Fylker;Akershus;Bygg og anlegg;126.0;Undervisning;448.0;2025-08-01
