Enhet;År;Kommunenummer;Kommune;Bosetting;Antall
Personer;1995;0617;;Faktisk bosetting;.
Personer;1995;0617;;Vedtak om bosetting;.
Personer;1995;0618;;Anmodning om bosetting;20
Personer;1995;0618;;Faktisk bosetting;.
Personer;1995;0618;;Vedtak om bosetting;10
Personer;1995;0619;;Anmodning om bosetting;10
Personer;1995;0619;;Faktisk bosetting;.
Personer;1995;0619;;Vedtak om bosetting;10
Personer;1995;0620;;Anmodning om bosetting;0
Personer;1995;0620;;Faktisk bosetting;.
Personer;1995;0620;;Vedtak om bosetting;10
Personer;1995;0621;;Anmodning om bosetting;.
Personer;1995;0621;;Faktisk bosetting;.
Personer;1995;0621;;Vedtak om bosetting;.
Personer;1995;0622;;Anmodning om bosetting;.
Personer;1995;0622;;Faktisk bosetting;.
Personer;1995;0622;;Vedtak om bosetting;.
Personer;1995;0623;;Anmodning om bosetting;15
Personer;1995;0623;;Faktisk bosetting;.
Personer;1995;0623;;Vedtak om bosetting;10
Personer;1995;0624;;Anmodning om bosetting;40
Personer;1995;0624;;Faktisk bosetting;.
Personer;1995;0624;;Vedtak om bosetting;40
Personer;1995;0625;Nedre Eiker (t.o.m. 2019);Anmodning om bosetting;20
Personer;1995;0625;Nedre Eiker (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0625;Nedre Eiker (t.o.m. 2019);Vedtak om bosetting;0
Personer;1995;0626;;Anmodning om bosetting;30
Personer;1995;0626;;Faktisk bosetting;.
Personer;1995;0626;;Vedtak om bosetting;25
Personer;1995;0627;Røyken (t.o.m. 2019);Anmodning om bosetting;20
Personer;1995;0627;Røyken (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0627;Røyken (t.o.m. 2019);Vedtak om bosetting;20
Personer;1995;0628;Hurum (t.o.m. 2019);Anmodning om bosetting;.
Personer;1995;0628;Hurum (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0628;Hurum (t.o.m. 2019);Vedtak om bosetting;0
Personer;1995;0631;;Anmodning om bosetting;20
Personer;1995;0631;;Faktisk bosetting;.
Personer;1995;0631;;Vedtak om bosetting;6
Personer;1995;0632;;Anmodning om bosetting;10
Personer;1995;0632;;Faktisk bosetting;.
Personer;1995;0632;;Vedtak om bosetting;.
