Kommune,År,Kjønn,Alder,Dødsårsaker,Måltall,Antall,SortKommune
Midt-Telemark,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",228.8,9
Midt-Telemark,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",235.7,9
Midt-Telemark,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",192.9,9
Midt-Telemark,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",206.3,9
Midt-Telemark,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",198.8,9
Midt-Telemark,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",96.6,9
Midt-Telemark,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",146.3,9
Midt-Telemark,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",202.4,9
Seljord,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",173.2,14
Seljord,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",289.5,14
Seljord,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",236.5,14
Seljord,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",264.3,14
Seljord,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",144.0,14
Seljord,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,14
Seljord,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",277.4,14
Seljord,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",246.3,14
Seljord,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,14
Seljord,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",285.8,14
Hjartdal,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,6
Hjartdal,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,6
Hjartdal,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,6
Hjartdal,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,6
Hjartdal,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,6
Hjartdal,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,6
Hjartdal,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,6
Hjartdal,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,6
Hjartdal,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,6
