Kommune,År (intervall),År,Kjønn,Alder,Krefttyper,Måltall,Antall,SortKjonn,SortKommune
Hele landet,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,2
Hele landet,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,2
Hele landet,2009-2018,2018-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",700.6,2,2
Hele landet,2009-2018,2018-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",91.6,2,2
Hele landet,2009-2018,2018-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",70.9,2,2
Hele landet,2009-2018,2018-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",84.9,2,2
Hele landet,2009-2018,2018-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",40.4,2,2
Hele landet,2009-2018,2018-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",0.9,2,2
Hele landet,2009-2018,2018-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,2
Hele landet,2009-2018,2018-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",211.4,2,2
Hele landet,2009-2018,2018-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",585.9,3,2
Hele landet,2009-2018,2018-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",83.5,3,2
Hele landet,2009-2018,2018-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",59.4,3,2
Hele landet,2009-2018,2018-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",74.2,3,2
Hele landet,2009-2018,2018-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",38.8,3,2
Hele landet,2009-2018,2018-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",130.5,3,2
Hele landet,2009-2018,2018-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.2,3,2
Hele landet,2009-2018,2018-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,2
Hele landet,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",646.0,1,2
Hele landet,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",87.3,1,2
Hele landet,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",65.0,1,2
Hele landet,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",82.4,1,2
Hele landet,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",40.8,1,2
Hele landet,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",66.3,1,2
Hele landet,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,2
Hele landet,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,2
Hele landet,2010-2019,2019-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",699.8,2,2
Hele landet,2010-2019,2019-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",91.1,2,2
Hele landet,2010-2019,2019-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",69.6,2,2
Hele landet,2010-2019,2019-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",87.8,2,2
Hele landet,2010-2019,2019-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",41.6,2,2
Hele landet,2010-2019,2019-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",0.9,2,2
Hele landet,2010-2019,2019-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,2
Hele landet,2010-2019,2019-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",208.5,2,2
Hele landet,2010-2019,2019-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",592.1,3,2
Hele landet,2010-2019,2019-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",83.4,3,2
Hele landet,2010-2019,2019-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",60.5,3,2
Hele landet,2010-2019,2019-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",77.1,3,2
Hele landet,2010-2019,2019-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",39.9,3,2
Hele landet,2010-2019,2019-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",132.8,3,2
Hele landet,2010-2019,2019-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.4,3,2
Hele landet,2010-2019,2019-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,2
Hele landet,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",647.9,1,2
Hele landet,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",87.0,1,2
Hele landet,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",64.7,1,2
Hele landet,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",85.4,1,2
Hele landet,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",41.7,1,2
Hele landet,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",66.7,1,2
Hele landet,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,2
Hele landet,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,2
Hele landet,2011-2020,2020-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",699.1,2,2
Hele landet,2011-2020,2020-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",90.3,2,2
Hele landet,2011-2020,2020-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",68.4,2,2
Hele landet,2011-2020,2020-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",90.6,2,2
Hele landet,2011-2020,2020-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",42.5,2,2
Hele landet,2011-2020,2020-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",1.0,2,2
Hele landet,2011-2020,2020-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,2
Hele landet,2011-2020,2020-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",206.5,2,2
Hele landet,2011-2020,2020-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",596.4,3,2
Hele landet,2011-2020,2020-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",83.8,3,2
Hele landet,2011-2020,2020-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",60.9,3,2
Hele landet,2011-2020,2020-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",80.2,3,2
Hele landet,2011-2020,2020-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",40.9,3,2
Hele landet,2011-2020,2020-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",133.5,3,2
Hele landet,2011-2020,2020-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.5,3,2
Hele landet,2011-2020,2020-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,2
Hele landet,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",649.1,1,2
Hele landet,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",86.8,1,2
Hele landet,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",64.5,1,2
Hele landet,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",87.9,1,2
Hele landet,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",42.3,1,2
Hele landet,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",67.7,1,2
Hele landet,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,2
Hele landet,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,2
Hele landet,2012-2021,2021-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",695.8,2,2
Hele landet,2012-2021,2021-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",89.7,2,2
Hele landet,2012-2021,2021-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",67.3,2,2
Hele landet,2012-2021,2021-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",93.1,2,2
Hele landet,2012-2021,2021-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",43.2,2,2
Hele landet,2012-2021,2021-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",1.0,2,2
Hele landet,2012-2021,2021-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,2
Hele landet,2012-2021,2021-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",202.2,2,2
Hele landet,2012-2021,2021-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",602.0,3,2
Hele landet,2012-2021,2021-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",83.9,3,2
Hele landet,2012-2021,2021-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",61.7,3,2
Hele landet,2012-2021,2021-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",82.6,3,2
