Geografi,År,Kjønn,Alder,Plagegrad,Sosioøkonomiske ressurser (SØR),Måltall,value
Bamble,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.4933636262307
Bamble,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",9.54111355060363
Bamble,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",21.5018247477409
Bamble,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",14.0538216796241
Bamble,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",6.07237077171856
Bamble,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.1941030375246
Kragerø,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.4306816392866
Kragerø,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.54910891650293
Kragerø,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",18.1932644855267
Kragerø,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",11.7497356152957
Kragerø,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",5.77563845144274
Kragerø,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",17.6546877431658
Kragerø,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kragerø,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.9296467629574
Kragerø,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",6.52380319924009
Kragerø,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",21.2913160684235
Drangedal,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",11.9002314693369
Drangedal,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Drangedal,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Drangedal,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",12.0332396046334
Drangedal,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Drangedal,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Drangedal,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Drangedal,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",9.17066007018966
Drangedal,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Drangedal,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Nome,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",18.9226813701034
Nome,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",6.40516612157212
Nome,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",30.9578707688409
Nome,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
