Geografi,År,Kjønn,Alder,Svarkategori,sosial status,Måltall,value
Siljan,2021,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2021,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2021,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2022,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2022,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2022,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2023,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2023,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2023,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2024,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2024,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2024,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Bamble,2018,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",16.277858749817
Bamble,2018,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",12.3408384256232
Bamble,2018,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",20.1876945275471
Bamble,2019,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Bamble,2019,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Bamble,2019,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Bamble,2020,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Bamble,2020,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Bamble,2020,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Bamble,2021,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",15.9269396104491
Bamble,2021,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",7.87492886185854
Bamble,2021,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",23.8351650167045
Bamble,2022,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Bamble,2022,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Bamble,2022,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Bamble,2023,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Bamble,2023,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Bamble,2023,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Bamble,2024,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",20.1937789927398
Bamble,2024,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",9.76835881514943
Bamble,2024,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",30.9171383331698
Kragerø,2018,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",15.6089649779157
Kragerø,2018,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",12.4619573794769
Kragerø,2018,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",18.686307731778
Kragerø,2019,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Kragerø,2019,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Kragerø,2019,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Kragerø,2020,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Kragerø,2020,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Kragerø,2020,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Kragerø,2021,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",11.1270883343878
Kragerø,2021,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",8.96067787381538
Kragerø,2021,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",12.8269201815996
Kragerø,2022,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Kragerø,2022,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Kragerø,2022,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Kragerø,2023,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Kragerø,2023,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Kragerø,2023,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Kragerø,2024,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",20.1799991199066
Kragerø,2024,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",10.2954329431043
Kragerø,2024,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",30.0968893753685
Drangedal,2018,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",17.9103884835993
Drangedal,2018,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",6.08887993380954
Drangedal,2018,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",29.4952314936185
Drangedal,2019,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Drangedal,2019,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Drangedal,2019,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Drangedal,2020,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Drangedal,2020,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Drangedal,2020,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Drangedal,2021,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",15.9016116347382
Drangedal,2021,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",11.4503950915097
Drangedal,2021,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",19.9627062613365
Drangedal,2022,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Drangedal,2022,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Drangedal,2022,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Drangedal,2023,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Drangedal,2023,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Drangedal,2023,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Drangedal,2024,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",10.7303107747672
Drangedal,2024,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",:
Drangedal,2024,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",:
Nome,2018,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",17.7866504442745
Nome,2018,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",9.14457266972613
Nome,2018,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",26.0315023682052
Nome,2019,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Nome,2019,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Nome,2019,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Nome,2020,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Nome,2020,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Nome,2020,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Nome,2021,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",24.042287158942
Nome,2021,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",11.5290592050315
Nome,2021,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",37.128371166554
Nome,2022,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Nome,2022,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Nome,2022,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Nome,2023,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Nome,2023,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Nome,2023,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Nome,2024,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",19.7618872873144
Nome,2024,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",8.04535377327022
Nome,2024,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",31.8500081036273
Midt-Telemark,2018,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",14.5295143353344
Midt-Telemark,2018,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",10.7071486428701
Midt-Telemark,2018,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",18.2878104806533
