Geografi,År,Alder,Innvandringskategori,Lavinntektsgrense,Måltall,value
Nissedal,2021-2023,alle aldre,totalt,EU 60,andel (prosent),9.87564008778347
Nissedal,2021-2023,0-17 år,totalt,EU 60,andel (prosent),9.67741935483871
Fyresdal,2015-2017,alle aldre,totalt,EU 60,andel (prosent),14.043583535109
Fyresdal,2015-2017,0-17 år,totalt,EU 60,andel (prosent),21.900826446281
Fyresdal,2016-2018,alle aldre,totalt,EU 60,andel (prosent),13.136288998358
Fyresdal,2016-2018,0-17 år,totalt,EU 60,andel (prosent),21.3389121338912
Fyresdal,2017-2019,alle aldre,totalt,EU 60,andel (prosent),13.961038961039
Fyresdal,2017-2019,0-17 år,totalt,EU 60,andel (prosent),22.9437229437229
Fyresdal,2018-2020,alle aldre,totalt,EU 60,andel (prosent),10.4770017035775
Fyresdal,2018-2020,0-17 år,totalt,EU 60,andel (prosent),12.7962085308057
Fyresdal,2019-2021,alle aldre,totalt,EU 60,andel (prosent),10.0957354221062
Fyresdal,2019-2021,0-17 år,totalt,EU 60,andel (prosent),10.6796116504854
Fyresdal,2020-2022,alle aldre,totalt,EU 60,andel (prosent),10.0612423447069
Fyresdal,2020-2022,0-17 år,totalt,EU 60,andel (prosent),10.6280193236715
Fyresdal,2021-2023,alle aldre,totalt,EU 60,andel (prosent),9.81754995655951
Fyresdal,2021-2023,0-17 år,totalt,EU 60,andel (prosent),12.0
Tokke,2015-2017,alle aldre,totalt,EU 60,andel (prosent),9.36454849498328
Tokke,2015-2017,0-17 år,totalt,EU 60,andel (prosent),10.1827676240209
Tokke,2016-2018,alle aldre,totalt,EU 60,andel (prosent),9.67741935483871
Tokke,2016-2018,0-17 år,totalt,EU 60,andel (prosent),10.0263852242744
Tokke,2017-2019,alle aldre,totalt,EU 60,andel (prosent),10.3579952267303
Tokke,2017-2019,0-17 år,totalt,EU 60,andel (prosent),13.1506849315068
Tokke,2018-2020,alle aldre,totalt,EU 60,andel (prosent),9.85983566940551
Tokke,2018-2020,0-17 år,totalt,EU 60,andel (prosent),11.878453038674
Tokke,2019-2021,alle aldre,totalt,EU 60,andel (prosent),9.1756624141315
Tokke,2019-2021,0-17 år,totalt,EU 60,andel (prosent),10.1156069364162
Tokke,2020-2022,alle aldre,totalt,EU 60,andel (prosent),9.24287118977385
Tokke,2020-2022,0-17 år,totalt,EU 60,andel (prosent),8.40840840840841
Tokke,2021-2023,alle aldre,totalt,EU 60,andel (prosent),9.15354330708661
Tokke,2021-2023,0-17 år,totalt,EU 60,andel (prosent),8.76132930513595
Vinje,2015-2017,alle aldre,totalt,EU 60,andel (prosent),9.20634920634921
Vinje,2015-2017,0-17 år,totalt,EU 60,andel (prosent),8.47723704866562
Vinje,2016-2018,alle aldre,totalt,EU 60,andel (prosent),8.39562967222542
Vinje,2016-2018,0-17 år,totalt,EU 60,andel (prosent),6.67701863354037
Vinje,2017-2019,alle aldre,totalt,EU 60,andel (prosent),9.36686903729401
Vinje,2017-2019,0-17 år,totalt,EU 60,andel (prosent),9.01771336553945
Vinje,2018-2020,alle aldre,totalt,EU 60,andel (prosent),9.50226244343891
Vinje,2018-2020,0-17 år,totalt,EU 60,andel (prosent),8.78594249201278
Vinje,2019-2021,alle aldre,totalt,EU 60,andel (prosent),8.97727272727273
Vinje,2019-2021,0-17 år,totalt,EU 60,andel (prosent),8.09061488673139
Vinje,2020-2022,alle aldre,totalt,EU 60,andel (prosent),8.92857142857143
Vinje,2020-2022,0-17 år,totalt,EU 60,andel (prosent),9.16398713826367
Vinje,2021-2023,alle aldre,totalt,EU 60,andel (prosent),8.98271465004251
Vinje,2021-2023,0-17 år,totalt,EU 60,andel (prosent),8.52090032154341
