Dato,Furulund NO2 µg/m³,Furulund PM10 µg/m³,Haukenes NO2 µg/m³,Knarrdalstranda NO2 µg/m³,Knarrdalstranda PM10 µg/m³,Lensmannsdalen NO2 µg/m³,Lensmannsdalen PM10 µg/m³,Sverresgate NO2 µg/m³,Sverresgate PM10 µg/m³,Datadekning (%),Datadekning (%).1,Datadekning (%).2,Datadekning (%).3,Datadekning (%).4,Datadekning (%).5,Datadekning (%).6,Datadekning (%).7,Datadekning (%).8
2014-05-24,,,0.66328459,,,24.21003513,23.33833333,21.34382875,21.63333333,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-25,,,0.84094281,,,34.04601581,15.22125,14.23211854,14.08,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-26,,,0.80212554,,,37.20363698,19.75416667,20.31285492,16.36708333,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-27,,,-0.27364232,,,20.75123423,18.42958333,6.79053047,10.23458333,1.0,0.92,0.92,0.96,1.0,,,,
2014-05-28,,,-0.04505516,,,14.32810737,21.00083333,13.13303817,15.88583333,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-29,,,1.13973268,,,9.76830764,16.51833333,9.72382656,13.68125,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-30,,,1.92708858,,,17.93874661,23.96166667,18.6128423,19.60291667,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-31,,,1.00791035,,,12.49987986,16.90791667,14.52580336,14.3825,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-01,,,1.6646139,,,12.33801337,20.33166667,14.68160168,19.36916667,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-02,,,1.41639793,,,20.18399638,25.80875,22.02359143,24.90125,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-03,,,1.96249084,,,21.85606372,20.55166667,19.27919495,14.12125,1.0,0.92,0.92,0.96,1.0,,,,
2014-06-04,,,0.41489635,,,24.17482843,17.77416667,22.16722368,16.70166667,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-05,,,1.09276023,,,23.09354391,11.38041667,20.81379018,10.00083333,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-06,,,2.22328815,,,22.29181186,15.62916667,23.28647231,14.97375,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-07,,,1.09437232,,,11.26628296,15.78958333,13.20718099,14.95083333,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-08,,,1.12712553,,,9.77059238,15.82086957,13.29434036,15.84,0.96,1.0,1.0,1.0,1.0,,,,
2014-06-09,,,0.2040261,,,12.89991949,17.04521739,11.83060838,12.48958333,0.96,1.0,1.0,1.0,1.0,,,,
2014-06-10,,,1.22090354,,,23.92469833,21.32166667,20.32256769,17.29291667,1.0,0.92,0.92,0.96,1.0,,,,
2014-06-11,,,-0.74686054,,,20.15235298,19.23166667,18.35160158,18.24625,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-12,,,-1.60456638,,,15.15416345,19.87791667,5.72759394,8.24083333,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-13,,,-0.20633829,,,18.92829999,23.43458333,13.87574438,9.28583333,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-14,,,-0.90234654,,,9.22240511,13.13782609,8.13748798,9.42333333,0.96,1.0,1.0,1.0,1.0,,,,
2014-06-15,,,1.27501179,,,9.30967099,17.95291667,9.38266373,16.77958333,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-16,,,0.06797961,,,17.59416736,18.40208333,10.89684707,9.36375,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-17,,,1.96894616,,,18.02580287,19.42416667,18.20516716,16.40833333,1.0,0.92,0.96,0.96,1.0,,,,
2014-06-18,,,-0.13431411,,,19.78124419,16.44041667,16.97052095,12.815,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-19,,,-0.86787898,,,16.02197004,15.66125,7.08718509,8.43333333,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-20,,,-0.17325665,,,17.93338428,12.47190476,11.69011716,8.10173913,0.88,1.0,1.0,1.0,0.96,,,,
2014-06-21,,,-0.07850972,,,9.68578591,18.32,7.77124021,7.64958333,0.92,1.0,1.0,1.0,1.0,,,,
2014-06-22,,,-0.94421107,,,8.9953079,10.59826087,2.74539018,6.19666667,0.96,1.0,1.0,1.0,1.0,,,,
2014-06-23,,,1.16387292,,,20.00010349,17.63666667,14.05540609,10.34,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-24,,,0.78647976,,,18.42415179,17.14086957,17.85273973,11.70125,0.96,0.96,0.96,0.96,1.0,,,,
2014-06-25,,,1.78578622,,,19.40116124,19.41041667,14.14317942,12.47125,1.0,1.0,1.0,0.92,1.0,,,,
2014-06-26,,,1.63195473,,,14.43489279,17.50375,11.12177894,13.72708333,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-27,,,2.76164184,,,16.78842653,18.05913043,14.7599783,15.17541667,0.96,1.0,1.0,1.0,1.0,,,,
2014-06-28,,,-1.08769342,,,7.33368047,9.15291667,1.37006873,6.33416667,1.0,1.0,1.0,1.0,1.0,,,,
2014-06-29,,,-1.37884311,,,7.09347265,12.66913043,2.72900203,5.885,0.96,1.0,1.0,1.0,1.0,,,,
2014-06-30,,,-0.55713747,,,17.88099681,12.55434783,10.6760541,8.43333333,0.96,1.0,1.0,1.0,1.0,,,,
2014-07-01,,,-1.05794111,,,17.04321991,21.265,13.75470126,11.11,0.92,1.0,1.0,1.0,1.0,,,,
2014-07-02,,,-1.25799499,,,15.66298199,18.735,14.28847231,11.18791667,0.92,1.0,1.0,1.0,1.0,,,,
2014-07-03,,,-1.53250946,,,17.9620662,16.82043478,17.20624754,11.87043478,0.96,1.0,1.0,0.92,0.96,,,,
2014-07-04,,,1.77712005,,,17.21311704,23.66833333,17.64123029,22.70125,1.0,0.96,0.92,1.0,1.0,,,,
2014-07-05,,,2.11705202,,,15.56361804,24.425,18.00786034,22.47208333,0.92,1.0,1.0,1.0,1.0,,,,
2014-07-06,,,4.72849883,,,13.18123804,16.46333333,10.05599145,15.35875,1.0,1.0,1.0,1.0,1.0,,,,
2014-07-07,,,5.79153523,,,17.05750604,17.34173913,16.16557815,15.21208333,0.96,1.0,1.0,1.0,1.0,,,,
2014-07-08,,,-0.68629282,,,,,8.31942546,15.81708333,,,0.92,0.92,1.0,,,,
2014-07-09,,,-0.53288199,,,,,11.9198908,20.80833333,,,1.0,1.0,1.0,,,,
2014-07-10,,,0.33136007,,,13.07711624,,14.19128465,15.51916667,,1.0,1.0,1.0,1.0,,,,
2014-07-11,,,1.00515724,,,15.46607231,23.24666667,16.73863399,20.40041667,1.0,1.0,1.0,1.0,1.0,,,,
2014-07-12,,,2.14044193,,,14.63877887,15.18,11.92897935,10.20708333,1.0,1.0,1.0,1.0,1.0,,,,
2014-07-13,,,-0.45790513,,,6.6187452,14.09833333,2.65019924,12.48958333,1.0,1.0,1.0,1.0,1.0,,,,
2014-07-14,,,0.95022583,,,16.54405765,13.28708333,13.85743263,10.54166667,1.0,1.0,1.0,1.0,1.0,,,,
2014-07-15,,,0.49519534,,,15.38619145,13.82791667,14.64722339,11.71041667,1.0,0.96,0.92,0.96,1.0,,,,
2014-07-16,,,-0.90338942,,,12.1617089,12.45391304,10.54679,8.61208333,0.96,1.0,1.0,1.0,1.0,,,,
2014-07-17,,,0.38379261,,,14.60171944,17.85208333,14.02587799,15.57416667,1.0,1.0,1.0,1.0,1.0,,,,
2014-07-18,,,-0.83843796,,,11.15076673,12.3726087,13.74139826,10.14291667,0.96,1.0,1.0,1.0,1.0,,,,
2014-07-19,,,0.10541409,,,10.93304326,11.83695652,12.15663911,9.0475,0.96,1.0,1.0,1.0,1.0,,,,
2014-07-20,,,-1.00341923,,,7.6316958,12.69,10.81866791,10.51875,0.92,1.0,1.0,1.0,1.0,,,,
2014-07-21,,,-1.11384699,,,14.80579464,17.39833333,17.72364496,14.74,1.0,1.0,1.0,1.0,1.0,,,,
2014-07-22,,,-0.43014837,,,15.34376924,21.34956522,16.8041117,17.22416667,0.96,0.96,0.92,0.96,1.0,,,,
2014-07-23,,,-0.69814112,,,17.79641806,20.17583333,20.34268839,17.92541667,1.0,1.0,0.96,1.0,1.0,,,,
2014-07-24,,,-0.84625088,,,16.28504804,18.87416667,16.75120169,17.0225,1.0,1.0,1.0,1.0,1.0,,,,
2014-07-25,,,-0.95245348,,,12.60591328,15.175,9.97394203,10.56916667,0.92,1.0,1.0,1.0,1.0,,,,
