Nivå,Geografisk enhet,Yrke,Antall søkere,Antall utlyste stillinger,Dato
Fylker,Troms,Serviceyrker og annet arbeid,170.0,130.0,2025-08-01
Fylker,Troms,Undervisning,95.0,73.0,2025-08-01
Fylker,Trøndelag,Akademiske yrker,136.0,49.0,2025-08-01
Fylker,Trøndelag,Barne- og ungdomsarbeid,381.0,83.0,2025-08-01
Fylker,Trøndelag,Butikk- og salgsarbeid,721.0,438.0,2025-08-01
Fylker,Trøndelag,Bygg og anlegg,679.0,238.0,2025-08-01
Fylker,Trøndelag,"Helse, pleie og omsorg",551.0,417.0,2025-08-01
Fylker,Trøndelag,Industriarbeid,709.0,163.0,2025-08-01
Fylker,Trøndelag,Ingen yrkesbakgrunn eller uoppgitt,1029.0,6.0,2025-08-01
Fylker,Trøndelag,Ingeniør- og ikt-fag,416.0,157.0,2025-08-01
Fylker,Trøndelag,"Jordbruk, skogbruk og fiske",108.0,15.0,2025-08-01
Fylker,Trøndelag,Kontorarbeid,413.0,109.0,2025-08-01
Fylker,Trøndelag,Ledere,268.0,49.0,2025-08-01
Fylker,Trøndelag,Meglere og konsulenter,144.0,89.0,2025-08-01
Fylker,Trøndelag,Reiseliv og transport,650.0,361.0,2025-08-01
Fylker,Trøndelag,Serviceyrker og annet arbeid,735.0,287.0,2025-08-01
Fylker,Trøndelag,Undervisning,436.0,102.0,2025-08-01
Fylker,UKJENT,Akademiske yrker,0.0,0.0,2025-08-01
Fylker,UKJENT,Butikk- og salgsarbeid,0.0,2.0,2025-08-01
Fylker,UKJENT,Bygg og anlegg,0.0,0.0,2025-08-01
Fylker,UKJENT,"Helse, pleie og omsorg",0.0,0.0,2025-08-01
Fylker,UKJENT,Industriarbeid,0.0,1.0,2025-08-01
Fylker,UKJENT,Ingeniør- og ikt-fag,0.0,1.0,2025-08-01
Fylker,UKJENT,"Jordbruk, skogbruk og fiske",0.0,0.0,2025-08-01
Fylker,UKJENT,Kontorarbeid,0.0,2.0,2025-08-01
Fylker,UKJENT,Ledere,0.0,3.0,2025-08-01
Fylker,UKJENT,Meglere og konsulenter,0.0,1.0,2025-08-01
Fylker,UKJENT,Reiseliv og transport,0.0,0.0,2025-08-01
Fylker,UKJENT,Serviceyrker og annet arbeid,0.0,0.0,2025-08-01
Fylker,UKJENT,Undervisning,0.0,0.0,2025-08-01
Fylker,UTLAND,Akademiske yrker,0.0,0.0,2025-08-01
Fylker,UTLAND,Butikk- og salgsarbeid,0.0,1.0,2025-08-01
Fylker,UTLAND,Bygg og anlegg,0.0,0.0,2025-08-01
Fylker,UTLAND,"Helse, pleie og omsorg",0.0,5.0,2025-08-01
Fylker,UTLAND,Industriarbeid,0.0,0.0,2025-08-01
Fylker,UTLAND,Ingeniør- og ikt-fag,0.0,10.0,2025-08-01
Fylker,UTLAND,Kontorarbeid,0.0,19.0,2025-08-01
Fylker,UTLAND,Ledere,0.0,1.0,2025-08-01
Fylker,UTLAND,Meglere og konsulenter,0.0,3.0,2025-08-01
Fylker,UTLAND,Reiseliv og transport,0.0,10.0,2025-08-01
Fylker,UTLAND,Serviceyrker og annet arbeid,0.0,0.0,2025-08-01
Fylker,UTLAND,Undervisning,0.0,0.0,2025-08-01
Fylker,Ukjent,Akademiske yrker,0.0,0.0,2025-08-01
Fylker,Ukjent,Barne- og ungdomsarbeid,5.0,0.0,2025-08-01
Fylker,Ukjent,Butikk- og salgsarbeid,4.0,0.0,2025-08-01
Fylker,Ukjent,Bygg og anlegg,64.0,0.0,2025-08-01
Fylker,Ukjent,"Helse, pleie og omsorg",8.0,0.0,2025-08-01
Fylker,Ukjent,Industriarbeid,47.0,0.0,2025-08-01
Fylker,Ukjent,Ingen yrkesbakgrunn eller uoppgitt,17.0,0.0,2025-08-01
Fylker,Ukjent,Ingeniør- og ikt-fag,9.0,0.0,2025-08-01
