ï»¿ogc_fid;ssbid250m;pop_tot
701;23395006656000;5
702;23400006656000;15
703;23395006656250;7
704;23397506656250;1
705;23400006656250;3
706;23400006656500;7
707;23395006656500;6
708;23400006656750;2
709;23395006657000;9
710;23400006657000;3
711;23395006657250;16
712;23382506657250;3
713;23385006657250;2
714;23385006657500;4
715;23382506657500;2
716;23445006655000;1
717;23450006655250;2
718;23447506655250;3
719;23452506655500;1
720;23455006655500;3
721;23517506651500;3
722;23525006652750;2
723;23515006652500;2
724;23515006652750;5
725;23515006653000;5
726;23527506653500;5
727;23512506651750;6
728;23512506652000;2
729;23510006652250;1
730;23512506652500;2
731;23512506652750;4
732;23512506653000;1
733;23510006653000;4
734;23512506653250;1
735;23510006653250;7
736;23510006653500;2
737;23497506653750;1
738;23505006653500;1
739;23505006653750;3
740;23502506654000;4
741;23505006654000;4
742;23502506654250;7
743;23505006654250;1
744;23502506654500;1
745;23495006654000;2
746;23497506654000;1
747;23500006654000;3
748;23500006654500;1
749;23495006654500;2
750;23492506655500;4
751;23472506655250;1
752;23477506655750;1
753;23530006653250;2
754;23530006653500;6
755;23535006654000;3
756;23535006654250;2
757;23530006654500;3
758;23535006654750;2
759;23530006654750;1
760;23527506654750;1
761;23532506654750;1
762;23535006655250;4
763;23530006655250;2
764;23530006655500;3
765;23532506655500;1
766;23530006655750;4
767;23530006656000;5
768;23500006654750;2
769;23497506655000;11
770;23495006655250;2
771;23497506655250;1
772;23492506657000;2
773;23485006658000;1
774;23477506658000;2
775;23485006658250;1
776;23482506658500;2
777;23482506658750;2
778;23530006657750;2
779;23530006658000;3
780;23535006658000;2
781;23532506658000;1
782;23520006657750;2
783;23530006658250;3
784;23532506658250;2
785;23535006658250;10
786;23535006658500;2
787;23532506658500;1
788;23530006658500;2
789;23535006658750;2
790;23532506658750;1
791;23530006658750;2
792;23527506658750;8
793;23542506657250;3
794;23542506657500;3
795;23547506657250;2
796;23570006657750;6
797;23540006657750;1
798;23540006658000;1
799;23537506658000;4
800;23540006658500;6
801;23537506658500;9
802;23540006658750;1
803;23537506658750;3
804;23537506659250;2
805;23537506659500;2
806;23540006659750;3
807;23537506659750;9
808;23552506660500;2
809;23537506660750;4
810;23402506655250;6
811;23402506656000;4
812;23402506656250;4
813;23402506656500;4
814;23432506656750;2
815;23387506657500;3
816;23390006657750;4
817;23387506657750;4
818;23392506657750;1
819;23390006658000;1
820;23395006657500;4
821;23397506657500;27
822;23400006657750;6
823;23395006657750;7
824;23397506657750;30
825;23400006658000;12
826;23395006658000;8
827;23397506658000;15
828;23382506658000;2
829;23400006658250;3
830;23395006658250;4
831;23397506658250;2
832;23400006658500;1
833;23395006658500;9
834;23395006658750;14
835;23397506658750;3
836;23392506658250;2
837;23392506659500;1
838;23395006659250;3
839;23400006659250;2
840;23397506659500;6
841;23395006659500;1
842;23400006659500;9
843;23400006659750;5
844;23400006660000;3
845;23395006660000;2
846;23397506660250;2
847;23402506657500;2
848;23405006658500;3
849;23405006658750;1
850;23402506658750;3
851;23407506659000;7
852;23402506659750;3
853;23407506660250;2
854;23407506660500;2
855;23410006660250;5
856;23415006660500;2
857;23410006660500;4
858;23417506660750;3
859;23415006661000;4
860;23410006661000;8
861;23415006661250;1
862;23407506661000;4
863;23402506661250;4
864;23410006661750;2
865;23415006662250;1
866;23417506662500;2
867;23417506662750;1
868;23412506662250;3
869;23415006662500;6
870;23412506662500;1
871;23415006663000;4
872;23420006662750;2
873;23420006663000;2
874;23417506663250;3
875;23420006663250;3
876;23422506663250;3
877;23420006663500;1
878;23400006660750;1
879;23395006660750;2
880;23395006661000;7
881;23400006661000;6
882;23400006661250;6
883;23395006661250;8
884;23397506661500;6
885;23395006661750;1
886;23392506662000;2
887;23392506662250;2
888;23390006662250;4
889;23387506662500;2
890;23392506662750;1
891;23395006662500;3
892;23395006662750;6
893;23395006663000;6
894;23392506663750;1
895;23455006662000;4
896;23462506662250;3
897;23462506662500;8
898;23465006662500;3
899;23462506662750;1
900;23467506662750;3
901;23482506659000;9
902;23482506659250;1
903;23482506659500;1
904;23487506661000;2
905;23490006661250;2
906;23487506661250;3
907;23472506661250;4
908;23485006661250;2
909;23490006661500;2
910;23487506661500;4
911;23490006661750;4
912;23492506662000;2
913;23492506662250;1
914;23527506659000;1
915;23535006659000;5
916;23535006659250;2
917;23535006659500;9
918;23535006659750;2
919;23535006660000;1
920;23535006660250;4
921;23535006660500;8
922;23535006661250;2
923;23532506661250;1
924;23530006661500;1
925;23520006661000;1
926;23517506661500;1
927;23522506660750;3
928;23527506660750;2
929;23522506661000;5
930;23527506662000;2
931;23525006662250;2
932;23517506662000;2
933;23517506662250;1
934;23495006663000;1
935;23507506663750;2
936;23532506661500;5
937;23530006661750;4
938;23522506662500;2
939;23525006662500;1
940;23522506662750;8
941;23517506662500;4
942;23515006663000;2
943;23520006663250;4
944;23520006663500;4
945;23515006663750;4
946;23517506663750;2
947;23515006664000;4
948;23505006663750;1
949;23505006664000;3
950;23502506664000;7
951;23502506664250;5
952;23505006664500;5
953;23502506664500;1
954;23497506664250;3
955;23500006664250;9
956;23500006664500;1
957;23510006664000;5
958;23507506664250;3
959;23512506664500;1
960;23512506664750;4
961;23500006664750;2
962;23500006665000;1
963;23507506665000;2
964;23512506665000;6
965;23510006665000;11
966;23507506665250;3
967;23512506665250;4
968;23510006665250;25
969;23507506665500;11
970;23512506665500;6
971;23502506664750;2
972;23502506665000;2
973;23502506665250;5
974;23505006665250;7
975;23502506665500;6
976;23505006665500;11
977;23502506665750;17
978;23505006665750;41
979;23510006665500;7
980;23510006665750;27
981;23512506665750;9
982;23507506665750;30
983;23510006666000;6
984;23507506666000;2
985;23512506666000;3
986;23512506666250;9
987;23495006666000;3
988;23495006666250;4
989;23502506666000;4
990;23505006666000;1
991;23502506666250;6
992;23505006667000;4
993;23495006666500;2
994;23500006666500;2
995;23522506665500;1
996;23520006665750;3
997;23515006665750;8
998;23517506665750;3
999;23520006667250;2
1000;23517506667250;1
1001;23512506666500;5
1002;23512506666750;5
1003;23507506667250;4
1004;23510006667250;1
1005;23510006667500;5
1006;23507506667500;2
1007;23510006667750;1
1008;23505006668000;2
1009;23507506668000;2
1010;23507506668250;5
1011;23507506668500;1
1012;23510006669500;6
1013;23430006664500;3
1014;23407506663500;3
1015;23407506663750;2
1016;23422506663750;2
1017;23420006663750;2
1018;23420006664250;3
1019;23415006664500;14
1020;23407506664000;3
1021;23402506664750;2
1022;23417506664500;2
1023;23412506665000;2
1024;23412506665250;2
1025;23412506665750;2
1026;23410006666000;6
1027;23412506666000;6
1028;23410006666250;2
1029;23455006666250;2
1030;23455006666500;11
1031;23450006666000;19
1032;23447506666000;6
1033;23450006666250;1
1034;23395006663250;2
1035;23397506663500;2
1036;23400006664000;2
1037;23397506664500;1
1038;23397506664750;4
1039;23395006665250;3
1040;23392506666250;5
1041;23400006666000;5
1042;23395006666000;4
1043;23395006666250;1
1044;23395006666500;3
1045;23395006667000;10
1046;23400006667000;8
1047;23400006667250;3
1048;23395006667250;26
1049;23452506666750;5
1050;23455006666750;1
1051;23452506667000;1
1052;23455006667250;4
1053;23455006667500;3
1054;23452506667750;1
1055;23455006668250;5
1056;23452506668500;2
1057;23457506668500;5
1058;23452506669000;2
1059;23407506666250;2
1060;23405006666500;5
1061;23407506666500;3
1062;23402506666750;1
1063;23402506667000;2
1064;23412506668000;3
1065;23392506667000;1
1066;23392506667250;1
1067;23392506667500;4
1068;23390006667500;2
1069;23390006667750;3
1070;23392506667750;3
1071;23387506667750;9
1072;23392506668000;2
1073;23397506667250;5
1074;23395006667500;3
1075;23395006667750;16
1076;23397506667750;3
1077;23395006668000;15
1078;23397506668500;7
1079;23395006668500;7
1080;23395006668750;3
1081;23385006668750;6
1082;23382506669000;3
1083;23385006669000;8
1084;23392506668250;7
1085;23387506668500;5
1086;23390006668500;6
1087;23390006668750;4
1088;23387506668750;7
1089;23387506669000;2
1090;23390006669000;2
1091;23390006669250;6
1092;23387506669250;12
1093;23387506669500;8
1094;23390006669500;4
1095;23387506669750;9
1096;23390006669750;2
1097;23385006669250;10
1098;23385006669500;3
1099;23382506669750;7
1100;23385006669750;26
1101;23382506670000;2
