Fra kommunenummer,Fra kommune,Til kommunenummer,Til kommune,År,Antall
4024,Hjartdal,4026,Tinn,2025-01-01,4
4024,Hjartdal,4028,Kviteseid,2025-01-01,1
4026,Tinn,4001,Porsgrunn,2025-01-01,6
4026,Tinn,4003,Skien,2025-01-01,5
4026,Tinn,4005,Notodden,2025-01-01,17
4026,Tinn,4012,Bamble,2025-01-01,7
4026,Tinn,4016,Drangedal,2025-01-01,1
4026,Tinn,4020,Midt-Telemark,2025-01-01,3
4026,Tinn,4024,Hjartdal,2025-01-01,4
4026,Tinn,4028,Kviteseid,2025-01-01,3
4026,Tinn,4036,Vinje,2025-01-01,3
4028,Kviteseid,4001,Porsgrunn,2025-01-01,4
4028,Kviteseid,4003,Skien,2025-01-01,8
4028,Kviteseid,4005,Notodden,2025-01-01,4
4028,Kviteseid,4012,Bamble,2025-01-01,2
4028,Kviteseid,4018,Nome,2025-01-01,4
4028,Kviteseid,4020,Midt-Telemark,2025-01-01,11
4028,Kviteseid,4022,Seljord,2025-01-01,9
4028,Kviteseid,4024,Hjartdal,2025-01-01,1
