Fra kommunenummer,Fra kommune,Til kommunenummer,Til kommune,År,Antall
4005,Notodden,3905,Tønsberg,2025-01-01,10
4005,Notodden,3907,Sandefjord,2025-01-01,19
4005,Notodden,3909,Larvik,2025-01-01,4
4005,Notodden,3911,Færder,2025-01-01,3
4005,Notodden,4001,Porsgrunn,2025-01-01,13
4005,Notodden,4003,Skien,2025-01-01,24
4005,Notodden,4012,Bamble,2025-01-01,3
4005,Notodden,4018,Nome,2025-01-01,4
4005,Notodden,4020,Midt-Telemark,2025-01-01,49
4005,Notodden,4022,Seljord,2025-01-01,8
4005,Notodden,4024,Hjartdal,2025-01-01,27
4005,Notodden,4026,Tinn,2025-01-01,30
4005,Notodden,4036,Vinje,2025-01-01,1
4005,Notodden,4202,Grimstad,2025-01-01,1
4005,Notodden,4203,Arendal,2025-01-01,6
4005,Notodden,4204,Kristiansand,2025-01-01,16
4005,Notodden,4205,Lindesnes,2025-01-01,4
4005,Notodden,4215,Lillesand,2025-01-01,4
4005,Notodden,4219,Evje og Hornnes,2025-01-01,3
4005,Notodden,4222,Bykle,2025-01-01,1
4005,Notodden,1103,Stavanger,2025-01-01,6
4005,Notodden,1112,Lund,2025-01-01,2
4005,Notodden,1119,Hå,2025-01-01,1
4005,Notodden,1122,Gjesdal,2025-01-01,2
4005,Notodden,1127,Randaberg,2025-01-01,4
4005,Notodden,4601,Bergen,2025-01-01,8
4005,Notodden,4611,Etne,2025-01-01,2
4005,Notodden,4613,Bømlo,2025-01-01,3
4005,Notodden,4617,Kvinnherad,2025-01-01,2
4005,Notodden,4618,Ullensvang,2025-01-01,2
4005,Notodden,4647,Sunnfjord,2025-01-01,1
4005,Notodden,1505,Kristiansund,2025-01-01,3
4005,Notodden,1511,Vanylven,2025-01-01,2
4005,Notodden,1514,Sande,2025-01-01,1
4005,Notodden,1516,Ulstein,2025-01-01,2
4005,Notodden,1520,Ørsta,2025-01-01,2
4005,Notodden,1531,Sula,2025-01-01,1
4005,Notodden,1535,Vestnes,2025-01-01,6
4005,Notodden,1577,Volda,2025-01-01,2
4005,Notodden,1579,Hustadvika,2025-01-01,1
4005,Notodden,,Trondheim - Tråante,2025-01-01,11
4005,Notodden,,Namsos - Nåavmesjenjaelmie,2025-01-01,1
4005,Notodden,5020,Osen,2025-01-01,2
4005,Notodden,5055,Heim,2025-01-01,2
4005,Notodden,1804,Bodø,2025-01-01,4
4005,Notodden,1806,Narvik,2025-01-01,1
4005,Notodden,1811,Bindal,2025-01-01,2
4005,Notodden,1813,Brønnøy,2025-01-01,4
4005,Notodden,1832,Hemnes,2025-01-01,2
4005,Notodden,1834,Lurøy,2025-01-01,3
4005,Notodden,1840,Saltdal,2025-01-01,2
4005,Notodden,1848,Steigen,2025-01-01,1
4005,Notodden,1865,Vågan,2025-01-01,1
4005,Notodden,1868,Øksnes,2025-01-01,2
4005,Notodden,5601,Alta,2025-01-01,3
4005,Notodden,5607,Vadsø,2025-01-01,2
4010,Siljan,3209,Ullensaker,2025-01-01,1
4010,Siljan,3222,Lørenskog,2025-01-01,2
4010,Siljan,,Oslo - Oslove,2025-01-01,5
4010,Siljan,3301,Drammen,2025-01-01,2
4010,Siljan,3316,Modum,2025-01-01,3
4010,Siljan,3328,Ål,2025-01-01,3
4010,Siljan,3405,Lillehammer,2025-01-01,1
4010,Siljan,3901,Horten,2025-01-01,1
4010,Siljan,3903,Holmestrand,2025-01-01,1
4010,Siljan,3905,Tønsberg,2025-01-01,2
4010,Siljan,3907,Sandefjord,2025-01-01,3
4010,Siljan,3909,Larvik,2025-01-01,2
4010,Siljan,4001,Porsgrunn,2025-01-01,21
4010,Siljan,4003,Skien,2025-01-01,68
4010,Siljan,4012,Bamble,2025-01-01,4
4010,Siljan,4020,Midt-Telemark,2025-01-01,2
4010,Siljan,4204,Kristiansand,2025-01-01,3
4010,Siljan,4206,Farsund,2025-01-01,1
4010,Siljan,,Sortland - Suortá,2025-01-01,3
4010,Siljan,,Hammerfest - Hámmerfeasta,2025-01-01,2
4012,Bamble,3103,Moss,2025-01-01,5
4012,Bamble,3105,Sarpsborg,2025-01-01,4
4012,Bamble,3107,Fredrikstad,2025-01-01,3
4012,Bamble,3118,Indre Østfold,2025-01-01,2
4012,Bamble,3201,Bærum,2025-01-01,9
4012,Bamble,3203,Asker,2025-01-01,6
4012,Bamble,3205,Lillestrøm,2025-01-01,6
4012,Bamble,3207,Nordre Follo,2025-01-01,2
4012,Bamble,3209,Ullensaker,2025-01-01,3
4012,Bamble,3212,Nesodden,2025-01-01,2
4012,Bamble,3216,Vestby,2025-01-01,3
4012,Bamble,3218,Ås,2025-01-01,3
4012,Bamble,3228,Nes,2025-01-01,3
4012,Bamble,,Oslo - Oslove,2025-01-01,44
4012,Bamble,3301,Drammen,2025-01-01,3
4012,Bamble,3303,Kongsberg,2025-01-01,4
4012,Bamble,3305,Ringerike,2025-01-01,1
4012,Bamble,3314,Øvre Eiker,2025-01-01,2
4012,Bamble,3401,Kongsvinger,2025-01-01,3
4012,Bamble,3403,Hamar,2025-01-01,3
4012,Bamble,3405,Lillehammer,2025-01-01,4
4012,Bamble,3411,Ringsaker,2025-01-01,1
4012,Bamble,3416,Eidskog,2025-01-01,2
4012,Bamble,3901,Horten,2025-01-01,1
4012,Bamble,3905,Tønsberg,2025-01-01,11
4012,Bamble,3907,Sandefjord,2025-01-01,6
4012,Bamble,3909,Larvik,2025-01-01,15
4012,Bamble,3911,Færder,2025-01-01,3
4012,Bamble,4001,Porsgrunn,2025-01-01,210
4012,Bamble,4003,Skien,2025-01-01,118
4012,Bamble,4014,Kragerø,2025-01-01,17
4012,Bamble,4016,Drangedal,2025-01-01,1
4012,Bamble,4018,Nome,2025-01-01,4
4012,Bamble,4020,Midt-Telemark,2025-01-01,5
4012,Bamble,4022,Seljord,2025-01-01,2
4012,Bamble,4028,Kviteseid,2025-01-01,2
4012,Bamble,4202,Grimstad,2025-01-01,1
4012,Bamble,4203,Arendal,2025-01-01,6
4012,Bamble,4204,Kristiansand,2025-01-01,14
4012,Bamble,4205,Lindesnes,2025-01-01,2
4012,Bamble,4211,Gjerstad,2025-01-01,2
4012,Bamble,4213,Tvedestrand,2025-01-01,3
4012,Bamble,4214,Froland,2025-01-01,1
4012,Bamble,1103,Stavanger,2025-01-01,4
