Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned,Prosent av arbeidsstyrken i fjor
Finnmark,1237.0,3.3,-203.0,-14.1,2011,Februar,
Hedmark,2918.0,3.0,-46.0,-1.6,2011,Februar,
Hordaland,6902.0,2.7,78.0,1.1,2011,Februar,
Landet,77374.0,3.0,-1388.0,-1.8,2011,Februar,
Møre og Romsdal,3503.0,2.6,84.0,2.5,2011,Februar,
Nord-Trøndelag,1884.0,2.8,-316.0,-14.4,2011,Februar,
Nordland,3760.0,3.1,241.0,6.8,2011,Februar,
Oppland,2472.0,2.6,22.0,0.9,2011,Februar,
Oslo,12392.0,3.7,-12.0,-0.1,2011,Februar,
Rogaland,5567.0,2.4,-857.0,-13.3,2011,Februar,
Sogn og Fjordane,1280.0,2.3,-32.0,-2.4,2011,Februar,
Sør-Trøndelag,4871.0,3.1,-53.0,-1.1,2011,Februar,
Telemark,3061.0,3.5,8.0,0.3,2011,Februar,
Troms,2098.0,2.5,-70.0,-3.2,2011,Februar,
Vest-Agder,2716.0,3.1,-227.0,-7.7,2011,Februar,
Vestfold,4191.0,3.5,86.0,2.1,2011,Februar,
Øvrige områder,48.0,,4.0,9.1,2011,Februar,
Akershus,7104.0,2.5,-528.0,-6.9,2011,Mars,
Aust-Agder,1955.0,3.5,-85.0,-4.2,2011,Mars,
Buskerud,3785.0,2.7,-416.0,-9.9,2011,Mars,
Finnmark,1249.0,3.3,-217.0,-14.8,2011,Mars,
Hedmark,2836.0,2.9,-56.0,-1.9,2011,Mars,
Hordaland,6511.0,2.5,-568.0,-8.0,2011,Mars,
Landet,74190.0,2.9,-5564.0,-7.0,2011,Mars,
Møre og Romsdal,3284.0,2.5,-194.0,-5.6,2011,Mars,
Nord-Trøndelag,1837.0,2.7,-346.0,-15.8,2011,Mars,
Nordland,3543.0,2.9,133.0,3.9,2011,Mars,
Oppland,2433.0,2.5,10.0,0.4,2011,Mars,
Oslo,11712.0,3.5,-788.0,-6.3,2011,Mars,
Rogaland,5159.0,2.2,-1176.0,-18.6,2011,Mars,
Sogn og Fjordane,1254.0,2.2,-155.0,-11.0,2011,Mars,
Sør-Trøndelag,4700.0,3.0,-303.0,-6.1,2011,Mars,
Telemark,2987.0,3.4,-251.0,-7.8,2011,Mars,
Troms,2035.0,2.4,-234.0,-10.3,2011,Mars,
Vest-Agder,2572.0,2.9,-301.0,-10.5,2011,Mars,
Vestfold,4082.0,3.4,-71.0,-1.7,2011,Mars,
Øvrige områder,36.0,,4.0,12.5,2011,Mars,
Akershus,6998.0,2.4,-795.0,-10.2,2011,April,
Aust-Agder,1834.0,3.3,-3.0,-0.2,2011,April,
Buskerud,3786.0,2.7,-331.0,-8.0,2011,April,
Finnmark,1184.0,3.1,-311.0,-20.8,2011,April,
Hedmark,2790.0,2.9,-39.0,-1.4,2011,April,
Hordaland,6365.0,2.5,-424.0,-6.2,2011,April,
Landet,71995.0,2.8,-6295.0,-8.0,2011,April,
Møre og Romsdal,3131.0,2.4,-250.0,-7.4,2011,April,
Nord-Trøndelag,1666.0,2.5,-488.0,-22.7,2011,April,
Nordland,3457.0,2.9,-54.0,-1.5,2011,April,
Oppland,2405.0,2.5,-50.0,-2.0,2011,April,
Oslo,11591.0,3.5,-1038.0,-8.2,2011,April,
Rogaland,4812.0,2.1,-1098.0,-18.6,2011,April,
Sogn og Fjordane,1227.0,2.2,-178.0,-12.7,2011,April,
Sør-Trøndelag,4609.0,3.0,-94.0,-2.0,2011,April,
Telemark,2797.0,3.2,-307.0,-9.9,2011,April,
Troms,1985.0,2.4,-352.0,-15.1,2011,April,
Vest-Agder,2433.0,2.8,-278.0,-10.3,2011,April,
