Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned,Prosent av arbeidsstyrken i fjor
Vestfold,,3817.0,3.1,-222.0,2018,April,-5.0
Østfold,,4042.0,2.8,-363.0,2018,April,-8.0
Øvrige områder,,5.0,,-2.0,2018,April,-29.0
Akershus,5903.0,1.8,-467.0,-7.0,2018,Mai,2.0
Aust-Agder,1346.0,2.4,-318.0,-19.0,2018,Mai,2.9
Buskerud,3237.0,2.2,-319.0,-9.0,2018,Mai,2.4
Finnmark Finnmárku,1072.0,2.7,-139.0,-11.0,2018,Mai,3.0
Hedmark,1653.0,1.7,-257.0,-13.0,2018,Mai,1.9
Hordaland,6900.0,2.5,-1288.0,-16.0,2018,Mai,2.9
Landet,60008.0,2.2,-10919.0,-15.0,2018,Mai,2.6
Møre og Romsdal,3067.0,2.2,-656.0,-18.0,2018,Mai,2.6
Nordland,2125.0,1.7,-443.0,-17.0,2018,Mai,2.1
Oppland,1431.0,1.5,-28.0,-2.0,2018,Mai,1.5
Oslo,9010.0,2.4,-961.0,-10.0,2018,Mai,2.6
Rogaland,6572.0,2.6,-3275.0,-33.0,2018,Mai,3.9
Sogn og Fjordane,780.0,1.3,-75.0,-9.0,2018,Mai,1.4
Telemark,1959.0,2.3,-414.0,-17.0,2018,Mai,2.8
Troms Romsa,1335.0,1.5,-298.0,-18.0,2018,Mai,1.8
Trøndelag,4394.0,1.8,-832.0,-16.0,2018,Mai,2.2
Ukjent,,,,,2018,Mai,
Vest-Agder,2168.0,2.3,-592.0,-21.0,2018,Mai,3.0
Vestfold,3362.0,2.7,-314.0,-9.0,2018,Mai,2.9
Østfold,3690.0,2.6,-238.0,-6.0,2018,Mai,2.7
Øvrige områder,4.0,,-4.0,-50.0,2018,Mai,
Akershus,6013.0,1.8,-627.0,-9.0,2018,Juni,2.1
Aust-Agder,1398.0,2.5,-350.0,-20.0,2018,Juni,3.1
Buskerud,3371.0,2.3,-279.0,-8.0,2018,Juni,2.5
Finnmark Finnmárku,1080.0,2.7,-141.0,-12.0,2018,Juni,3.0
Hedmark,1629.0,1.7,-213.0,-12.0,2018,Juni,1.9
Hordaland,7023.0,2.5,-1329.0,-16.0,2018,Juni,3.0
Landet,60738.0,2.2,-10744.0,-15.0,2018,Juni,2.6
Møre og Romsdal,3080.0,2.2,-656.0,-18.0,2018,Juni,2.7
Nordland,2118.0,1.7,-408.0,-16.0,2018,Juni,2.0
Oppland,1408.0,1.4,-116.0,-8.0,2018,Juni,1.5
Oslo,9067.0,2.4,-1114.0,-11.0,2018,Juni,2.7
Rogaland,6593.0,2.6,-2942.0,-31.0,2018,Juni,3.7
Sogn og Fjordane,742.0,1.3,-104.0,-12.0,2018,Juni,1.4
Telemark,2015.0,2.4,-392.0,-16.0,2018,Juni,2.8
Troms Romsa,1323.0,1.5,-332.0,-20.0,2018,Juni,1.9
Trøndelag,4540.0,1.9,-501.0,-10.0,2018,Juni,2.1
Ukjent,,,,,2018,Juni,
Vest-Agder,2262.0,2.4,-599.0,-21.0,2018,Juni,3.1
Vestfold,3357.0,2.7,-316.0,-9.0,2018,Juni,2.9
Østfold,3715.0,2.6,-323.0,-8.0,2018,Juni,2.8
Øvrige områder,4.0,,-1.0,-20.0,2018,Juni,
Akershus,7006.0,2.2,-149.0,-2.0,2018,Juli,2.2
Aust-Agder,1720.0,3.0,-173.0,-9.0,2018,Juli,3.3
Buskerud,3858.0,2.6,-186.0,-5.0,2018,Juli,2.8
Finnmark Finnmárku,1216.0,3.0,-103.0,-8.0,2018,Juli,3.3
Hedmark,1949.0,2.0,26.0,1.0,2018,Juli,2.0
Hordaland,8045.0,2.9,-942.0,-10.0,2018,Juli,3.2
Landet,70558.0,2.5,-6873.0,-9.0,2018,Juli,2.8
Møre og Romsdal,3617.0,2.6,-410.0,-10.0,2018,Juli,2.9
Nordland,2487.0,2.0,-180.0,-7.0,2018,Juli,2.1
Oppland,1617.0,1.7,44.0,3.0,2018,Juli,1.6
Oslo,10841.0,2.9,-446.0,-4.0,2018,Juli,3.0
Rogaland,7440.0,3.0,-2679.0,-26.0,2018,Juli,4.0
Sogn og Fjordane,888.0,1.5,-65.0,-7.0,2018,Juli,1.6
Telemark,2314.0,2.7,-255.0,-10.0,2018,Juli,3.0
Troms Romsa,1568.0,1.8,-252.0,-14.0,2018,Juli,2.0
Trøndelag,5212.0,2.2,-377.0,-7.0,2018,Juli,2.3
Ukjent,,,,,2018,Juli,
Vest-Agder,2600.0,2.8,-505.0,-16.0,2018,Juli,3.3
Vestfold,3844.0,3.1,-169.0,-4.0,2018,Juli,3.2
Østfold,4332.0,3.0,-50.0,-1.0,2018,Juli,3.1
Øvrige områder,4.0,,-2.0,-33.0,2018,Juli,
Akershus,,6701.0,2.1,-169.0,2018,August,-2.0
Aust-Agder,,1571.0,2.8,-305.0,2018,August,-16.0
Buskerud,,3643.0,2.5,-103.0,2018,August,-3.0
Finnmark Finnmárku,,1177.0,2.9,6.0,2018,August,1.0
Hedmark,,1917.0,2.0,38.0,2018,August,2.0
Hordaland,,7534.0,2.7,-886.0,2018,August,-11.0
Landet,,67086.0,2.4,-6832.0,2018,August,-9.0
Møre og Romsdal,,3439.0,2.5,-456.0,2018,August,-12.0
Nordland,,2459.0,2.0,-185.0,2018,August,-7.0
Oppland,,1568.0,1.6,20.0,2018,August,1.0
Oslo,,10193.0,2.7,-344.0,2018,August,-3.0
Rogaland,,7026.0,2.8,-2564.0,2018,August,-27.0
Sogn og Fjordane,,872.0,1.5,-82.0,2018,August,-9.0
Telemark,,2251.0,2.6,-182.0,2018,August,-7.0
Troms Romsa,,1487.0,1.7,-275.0,2018,August,-16.0
Trøndelag,,4892.0,2.0,-657.0,2018,August,-12.0
Ukjent,,,,,2018,August,
Vest-Agder,,2485.0,2.7,-502.0,2018,August,-17.0
Vestfold,,3693.0,3.0,-91.0,2018,August,-2.0
Østfold,,4173.0,2.9,-88.0,2018,August,-2.0
Øvrige områder,,4.0,,-6.0,2018,August,-60.0
Akershus,,6486.0,2.0,97.0,2018,September,2.0
Aust-Agder,,1351.0,2.4,-431.0,2018,September,-24.0
Buskerud,,3456.0,2.4,-24.0,2018,September,-1.0
Finnmark Finnmárku,,1063.0,2.7,-19.0,2018,September,-2.0
Hedmark,,1817.0,1.9,21.0,2018,September,1.0
Hordaland,,7213.0,2.6,-677.0,2018,September,-9.0
Landet,,63472.0,2.3,-5407.0,2018,September,-8.0
Møre og Romsdal,,3193.0,2.3,-371.0,2018,September,-10.0
Nordland,,2344.0,1.9,-116.0,2018,September,-5.0
Oppland,,1539.0,1.6,153.0,2018,September,11.0
Oslo,,9765.0,2.6,-400.0,2018,September,-4.0
Rogaland,,6543.0,2.6,-2254.0,2018,September,-26.0
Sogn og Fjordane,,805.0,1.4,-42.0,2018,September,-5.0
Telemark,,2208.0,2.6,10.0,2018,September,0.0
Troms Romsa,,1407.0,1.6,-109.0,2018,September,-7.0
Trøndelag,,4447.0,1.8,-561.0,2018,September,-11.0
Ukjent,,,,,2018,September,
Vest-Agder,,2277.0,2.4,-451.0,2018,September,-17.0
Vestfold,,3594.0,2.9,-13.0,2018,September,0.0
Østfold,,3960.0,2.8,-213.0,2018,September,-5.0
Øvrige områder,,4.0,,-6.0,2018,September,-60.0
Akershus,6115.0,1.9,-271.0,-4.0,2018,Oktober,2.0
Aust-Agder,1293.0,2.3,-426.0,-25.0,2018,Oktober,3.0
Buskerud,3471.0,2.4,220.0,7.0,2018,Oktober,2.2
Finnmark Finnmárku,1035.0,2.6,-20.0,-2.0,2018,Oktober,2.6
Hedmark,1807.0,1.9,77.0,4.0,2018,Oktober,1.8
Hordaland,7033.0,2.5,-414.0,-6.0,2018,Oktober,2.7
Landet,61531.0,2.2,-4481.0,-7.0,2018,Oktober,2.4
Møre og Romsdal,3006.0,2.2,-470.0,-14.0,2018,Oktober,2.5
Nordland,2329.0,1.9,-78.0,-3.0,2018,Oktober,1.9
Oppland,1581.0,1.6,166.0,12.0,2018,Oktober,1.4
Oslo,9570.0,2.5,-260.0,-3.0,2018,Oktober,2.6
Rogaland,6062.0,2.4,-2294.0,-27.0,2018,Oktober,3.3
Sogn og Fjordane,747.0,1.3,-29.0,-4.0,2018,Oktober,1.3
Telemark,2144.0,2.5,77.0,4.0,2018,Oktober,2.4
Troms Romsa,1377.0,1.5,-28.0,-2.0,2018,Oktober,1.6
Trøndelag,4350.0,1.8,-255.0,-6.0,2018,Oktober,1.9
Ukjent,,,,,2018,Oktober,
Vest-Agder,2196.0,2.3,-340.0,-13.0,2018,Oktober,2.7
Vestfold,3542.0,2.8,53.0,2.0,2018,Oktober,2.8
Østfold,3866.0,2.7,-187.0,-5.0,2018,Oktober,2.8
Øvrige områder,6.0,,-2.0,-25.0,2018,Oktober,
Akershus,6198.0,1.9,,,2018,November,1.9
Aust-Agder,1255.0,2.2,,,2018,November,3.0
Buskerud,3465.0,2.4,,,2018,November,2.2
Finnmark Finnmárku,1070.0,2.7,,,2018,November,2.6
Hedmark,1981.0,2.0,,,2018,November,1.8
Hordaland,7056.0,2.6,,,2018,November,2.7
Landet,62434.0,2.3,,,2018,November,2.3
Møre og Romsdal,3015.0,2.2,,,2018,November,2.4
Nordland,2420.0,2.0,,,2018,November,1.8
Oppland,1684.0,1.7,,,2018,November,1.5
Oslo,9664.0,2.5,,,2018,November,2.5
Rogaland,6108.0,2.4,,,2018,November,3.1
Sogn og Fjordane,809.0,1.4,,,2018,November,1.3
Telemark,2184.0,2.6,,,2018,November,2.3
Troms Romsa,1464.0,1.6,,,2018,November,1.6
Trøndelag,4471.0,1.8,,,2018,November,1.8
Ukjent,,,,,2018,November,
Vest-Agder,2127.0,2.3,,,2018,November,2.6
Vestfold,3457.0,2.8,,,2018,November,2.7
Østfold,3997.0,2.8,,,2018,November,2.7
Øvrige områder,8.0,,,,2018,November,
Akershus,6161.0,1.9,,,2018,Desember,1.9
Aust-Agder,1287.0,2.3,,,2018,Desember,3.0
Buskerud,3479.0,2.4,,,2018,Desember,2.4
Finnmark Finnmárku,1085.0,2.7,,,2018,Desember,2.8
Hedmark,2079.0,2.1,,,2018,Desember,1.7
Hordaland,7206.0,2.6,,,2018,Desember,2.7
Landet,63477.0,2.3,,,2018,Desember,2.4
Møre og Romsdal,3134.0,2.3,,,2018,Desember,2.4
Nordland,2449.0,2.0,,,2018,Desember,1.9
Oppland,1746.0,1.8,,,2018,Desember,1.6
Oslo,9751.0,2.6,,,2018,Desember,2.5
Rogaland,6179.0,2.5,,,2018,Desember,3.2
Sogn og Fjordane,879.0,1.5,,,2018,Desember,1.5
Telemark,2185.0,2.6,,,2018,Desember,2.4
Troms Romsa,1498.0,1.7,,,2018,Desember,1.6
Trøndelag,4504.0,1.9,,,2018,Desember,1.9
Ukjent,5.0,,,,2018,Desember,
Vest-Agder,2144.0,2.3,,,2018,Desember,2.7
Vestfold,3525.0,2.8,,,2018,Desember,2.7
Østfold,4174.0,2.9,,,2018,Desember,2.8
Øvrige områder,7.0,,,,2018,Desember,
Akershus,7002.0,2.2,331.0,5.0,2019,Januar,2.0
Aust-Agder,1605.0,2.8,-308.0,-16.0,2019,Januar,3.4
Buskerud,3861.0,2.6,219.0,6.0,2019,Januar,2.5
Finnmark Finnmárku,1183.0,3.0,-60.0,-5.0,2019,Januar,3.1
Hedmark,2347.0,2.4,404.0,21.0,2019,Januar,2.0
Hordaland,7793.0,2.8,-370.0,-5.0,2019,Januar,3.0
Landet,71148.0,2.6,-701.0,-1.0,2019,Januar,2.6
Møre og Romsdal,3521.0,2.6,-405.0,-10.0,2019,Januar,2.8
Nordland,2791.0,2.2,67.0,2.0,2019,Januar,2.2
Oppland,2007.0,2.1,216.0,12.0,2019,Januar,1.8
Oslo,10560.0,2.8,322.0,3.0,2019,Januar,2.7
Rogaland,6669.0,2.7,-1816.0,-21.0,2019,Januar,3.4
Sogn og Fjordane,1020.0,1.7,33.0,3.0,2019,Januar,1.7
Telemark,2547.0,3.0,221.0,10.0,2019,Januar,2.7
Troms Romsa,1737.0,2.0,234.0,16.0,2019,Januar,1.7
Trøndelag,5357.0,2.2,-56.0,-1.0,2019,Januar,2.2
Ukjent,4.0,,,,2019,Januar,
Vest-Agder,2481.0,2.7,-232.0,-9.0,2019,Januar,2.9
Vestfold,4005.0,3.2,247.0,7.0,2019,Januar,3.0
Østfold,4651.0,3.3,249.0,6.0,2019,Januar,3.1
Øvrige områder,7.0,,0.0,0.0,2019,Januar,
Akershus,6760.0,2.1,139.0,2.0,2019,Februar,2.0
Aust-Agder,1485.0,2.6,-305.0,-17.0,2019,Februar,3.2
Buskerud,3747.0,2.6,241.0,7.0,2019,Februar,2.4
Finnmark Finnmárku,1206.0,3.0,51.0,4.0,2019,Februar,2.9
Hedmark,2296.0,2.4,398.0,21.0,2019,Februar,1.9
Hordaland,7399.0,2.7,-671.0,-8.0,2019,Februar,2.9
Landet,68302.0,2.5,-1487.0,-2.0,2019,Februar,2.5
Møre og Romsdal,3321.0,2.4,-309.0,-9.0,2019,Februar,2.6
Nordland,2659.0,2.1,50.0,2.0,2019,Februar,2.1
Oppland,1887.0,1.9,210.0,13.0,2019,Februar,1.7
Oslo,10318.0,2.7,239.0,2.0,2019,Februar,2.7
Rogaland,6386.0,2.5,-1633.0,-20.0,2019,Februar,3.2
Sogn og Fjordane,1029.0,1.8,74.0,8.0,2019,Februar,1.6
Telemark,2487.0,2.9,118.0,5.0,2019,Februar,2.8
Troms Romsa,1604.0,1.8,69.0,4.0,2019,Februar,1.7
Trøndelag,5039.0,2.1,-186.0,-4.0,2019,Februar,2.2
Ukjent,8.0,,,,2019,Februar,
Vest-Agder,2379.0,2.5,-174.0,-7.0,2019,Februar,2.7
Vestfold,3795.0,3.0,-34.0,-1.0,2019,Februar,3.1
Østfold,4489.0,3.1,229.0,5.0,2019,Februar,3.0
Øvrige områder,8.0,,1.0,14.0,2019,Februar,
Akershus,6719.0,2.1,235.0,4.0,2019,Mars,2.0
Aust-Agder,1463.0,2.6,-273.0,-16.0,2019,Mars,3.1
Buskerud,3641.0,2.5,101.0,3.0,2019,Mars,2.4
Finnmark Finnmárku,1147.0,2.9,12.0,1.0,2019,Mars,2.8
Hedmark,2231.0,2.3,360.0,19.0,2019,Mars,1.9
Hordaland,6906.0,2.5,-1202.0,-15.0,2019,Mars,2.9
Landet,66258.0,2.4,-2577.0,-4.0,2019,Mars,2.5
Møre og Romsdal,3230.0,2.3,-360.0,-10.0,2019,Mars,2.6
Nordland,2632.0,2.1,190.0,8.0,2019,Mars,2.0
Oppland,1806.0,1.9,167.0,10.0,2019,Mars,1.7
Oslo,10133.0,2.7,223.0,2.0,2019,Mars,2.6
Rogaland,6132.0,2.4,-1716.0,-22.0,2019,Mars,3.1
Sogn og Fjordane,968.0,1.7,-4.0,0.0,2019,Mars,1.7
Telemark,2412.0,2.8,69.0,3.0,2019,Mars,2.7
Troms Romsa,1573.0,1.8,89.0,6.0,2019,Mars,1.7
Trøndelag,4937.0,2.0,-275.0,-5.0,2019,Mars,2.1
Ukjent,5.0,,,,2019,Mars,
Vest-Agder,2213.0,2.4,-234.0,-10.0,2019,Mars,2.6
Vestfold,3756.0,3.0,-124.0,-3.0,2019,Mars,3.1
Østfold,4342.0,3.0,156.0,4.0,2019,Mars,2.9
Øvrige områder,12.0,,4.0,50.0,2019,Mars,
Akershus,6428.0,2.0,-61.0,-1.0,2019,April,2.0
Aust-Agder,1299.0,2.3,-265.0,-17.0,2019,April,2.8
Buskerud,3556.0,2.4,48.0,1.0,2019,April,2.4
Finnmark Finnmárku,1147.0,2.9,-2.0,0.0,2019,April,2.9
Hedmark,2162.0,2.2,331.0,18.0,2019,April,1.9
Hordaland,6539.0,2.4,-1103.0,-14.0,2019,April,2.8
Landet,63340.0,2.3,-3457.0,-5.0,2019,April,2.4
Møre og Romsdal,2972.0,2.2,-472.0,-14.0,2019,April,2.5
Nordland,2389.0,1.9,-86.0,-3.0,2019,April,2.0
Oppland,1779.0,1.8,150.0,9.0,2019,April,1.7
Oslo,9966.0,2.6,192.0,2.0,2019,April,2.6
Rogaland,5974.0,2.4,-1396.0,-19.0,2019,April,2.9
Sogn og Fjordane,897.0,1.5,-47.0,-5.0,2019,April,1.6
Telemark,2250.0,2.6,19.0,1.0,2019,April,2.6
Troms Romsa,1603.0,1.8,134.0,9.0,2019,April,1.7
Trøndelag,4566.0,1.9,-438.0,-9.0,2019,April,2.1
Ukjent,5.0,,,,2019,April,
Vest-Agder,2047.0,2.2,-363.0,-15.0,2019,April,2.6
Vestfold,3576.0,2.9,-241.0,-6.0,2019,April,3.1
Østfold,4175.0,2.9,133.0,3.0,2019,April,2.8
Øvrige områder,10.0,,5.0,100.0,2019,April,
Akershus,6178.0,1.9,275.0,5.0,2019,Mai,1.8
Aust-Agder,1232.0,2.2,-114.0,-8.0,2019,Mai,2.4
Buskerud,3255.0,2.2,18.0,1.0,2019,Mai,2.2
Finnmark Finnmárku,1075.0,2.7,3.0,0.0,2019,Mai,2.7
Hedmark,2011.0,2.0,358.0,22.0,2019,Mai,1.7
Hordaland,6144.0,2.2,-756.0,-11.0,2019,Mai,2.5
Landet,59813.0,2.1,-195.0,0.0,2019,Mai,2.2
Møre og Romsdal,2777.0,2.0,-284.0,-9.0,2019,Mai,2.2
Nordland,2295.0,1.8,170.0,8.0,2019,Mai,1.7
Oppland,1624.0,1.7,193.0,13.0,2019,Mai,1.5
Oslo,9573.0,2.5,563.0,6.0,2019,Mai,2.4
Rogaland,5652.0,2.2,-920.0,-14.0,2019,Mai,2.6
Sogn og Fjordane,834.0,1.4,54.0,7.0,2019,Mai,1.3
Telemark,2086.0,2.4,127.0,6.0,2019,Mai,2.3
Troms Romsa,1440.0,1.6,105.0,8.0,2019,Mai,1.5
Trøndelag,4210.0,1.7,-190.0,-4.0,2019,Mai,1.8
Ukjent,,,,,2019,Mai,
Vest-Agder,1951.0,2.1,-217.0,-10.0,2019,Mai,2.3
Vestfold,3358.0,2.7,-4.0,0.0,2019,Mai,2.7
Østfold,4107.0,2.8,417.0,11.0,2019,Mai,2.6
Øvrige områder,8.0,,4.0,100.0,2019,Mai,
Akershus,6206.0,1.9,193.0,3.0,2019,Juni,1.8
Aust-Agder,1287.0,2.3,-111.0,-8.0,2019,Juni,2.5
Buskerud,3264.0,2.2,-107.0,-3.0,2019,Juni,2.3
Finnmark Finnmárku,1058.0,2.6,-22.0,-2.0,2019,Juni,2.7
Hedmark,1940.0,2.0,311.0,19.0,2019,Juni,1.7
Hordaland,6096.0,2.2,-927.0,-13.0,2019,Juni,2.5
Landet,60093.0,2.1,-645.0,-1.0,2019,Juni,2.2
Møre og Romsdal,2735.0,2.0,-338.0,-11.0,2019,Juni,2.2
Nordland,2217.0,1.8,99.0,5.0,2019,Juni,1.7
Oppland,1626.0,1.7,218.0,15.0,2019,Juni,1.4
Oslo,9685.0,2.5,618.0,7.0,2019,Juni,2.4
Rogaland,5693.0,2.2,-900.0,-14.0,2019,Juni,2.6
Sogn og Fjordane,751.0,1.3,9.0,1.0,2019,Juni,1.3
Telemark,2148.0,2.5,133.0,7.0,2019,Juni,2.4
Troms Romsa,1421.0,1.6,98.0,7.0,2019,Juni,1.5
Trøndelag,4330.0,1.8,-217.0,-5.0,2019,Juni,1.9
Ukjent,5.0,,,,2019,Juni,
Vest-Agder,2038.0,2.2,-224.0,-10.0,2019,Juni,2.4
Vestfold,3326.0,2.6,-31.0,-1.0,2019,Juni,2.7
Østfold,4262.0,2.9,547.0,15.0,2019,Juni,2.6
Øvrige områder,5.0,,1.0,25.0,2019,Juni,
Akershus,6908.0,2.1,-98.0,-1.0,2019,Juli,2.2
Aust-Agder,1468.0,2.6,-252.0,-15.0,2019,Juli,3.0
Buskerud,3672.0,2.5,-186.0,-5.0,2019,Juli,2.6
Finnmark Finnmárku,1133.0,2.8,-83.0,-7.0,2019,Juli,3.0
Hedmark,2120.0,2.2,171.0,9.0,2019,Juli,2.0
Hordaland,6753.0,2.4,-1292.0,-16.0,2019,Juli,2.9
Landet,66337.0,2.4,-4221.0,-6.0,2019,Juli,2.5
Møre og Romsdal,3035.0,2.2,-574.0,-16.0,2019,Juli,2.6
Nordland,2359.0,1.9,-128.0,-5.0,2019,Juli,2.0
Oppland,1764.0,1.8,147.0,9.0,2019,Juli,1.7
Oslo,10738.0,2.8,-103.0,-1.0,2019,Juli,2.9
Rogaland,6135.0,2.4,-1305.0,-18.0,2019,Juli,3.0
Sogn og Fjordane,860.0,1.5,-28.0,-3.0,2019,Juli,1.5
Telemark,2299.0,2.7,-15.0,-1.0,2019,Juli,2.7
Troms Romsa,1615.0,1.8,47.0,3.0,2019,Juli,1.8
Trøndelag,4844.0,2.0,-376.0,-7.0,2019,Juli,2.1
Ukjent,9.0,,,,2019,Juli,
Vest-Agder,2359.0,2.5,-241.0,-9.0,2019,Juli,2.8
Vestfold,3654.0,2.9,-190.0,-5.0,2019,Juli,3.1
Østfold,4606.0,3.2,274.0,6.0,2019,Juli,3.0
Øvrige områder,6.0,,2.0,50.0,2019,Juli,
Akershus,6805.0,2.0,104.0,2.0,2019,August,2.1
Aust-Agder,1448.0,2.5,-123.0,-8.0,2019,August,2.8
Buskerud,3577.0,2.4,-66.0,-2.0,2019,August,2.5
Finnmark Finnmárku,1082.0,2.7,-95.0,-8.0,2019,August,2.9
Hedmark,2027.0,2.1,110.0,6.0,2019,August,2.0
Hordaland,6568.0,2.4,-966.0,-13.0,2019,August,2.7
Landet,65061.0,2.3,-2025.0,-3.0,2019,August,2.4
Møre og Romsdal,3065.0,2.2,-367.0,-11.0,2019,August,2.5
Nordland,2276.0,1.8,-183.0,-7.0,2019,August,2.0
Oppland,1743.0,1.8,175.0,11.0,2019,August,1.6
Oslo,10427.0,2.7,234.0,2.0,2019,August,2.7
Rogaland,6011.0,2.4,-1015.0,-14.0,2019,August,2.8
Sogn og Fjordane,895.0,1.5,23.0,3.0,2019,August,1.5
Telemark,2274.0,2.7,23.0,1.0,2019,August,2.6
Troms Romsa,1549.0,1.7,62.0,4.0,2019,August,1.7
Trøndelag,4777.0,1.9,-122.0,-2.0,2019,August,2.0
Ukjent,9.0,,,,2019,August,
Vest-Agder,2335.0,2.5,-150.0,-6.0,2019,August,2.7
Vestfold,3570.0,2.8,-123.0,-3.0,2019,August,3.0
Østfold,4614.0,3.2,441.0,11.0,2019,August,2.9
Øvrige områder,9.0,,5.0,125.0,2019,August,
Akershus,6463.0,1.9,-23.0,0.0,2019,September,2.0
Aust-Agder,1353.0,2.4,2.0,0.0,2019,September,2.4
Buskerud,3365.0,2.3,-91.0,-3.0,2019,September,2.4
Finnmark Finnmárku,1008.0,2.5,-55.0,-5.0,2019,September,2.7
Hedmark,1946.0,2.0,129.0,7.0,2019,September,1.9
Hordaland,6206.0,2.2,-1007.0,-14.0,2019,September,2.6
Landet,61314.0,2.2,-2158.0,-3.0,2019,September,2.3
Møre og Romsdal,2782.0,2.0,-406.0,-13.0,2019,September,2.3
Nordland,2092.0,1.7,-252.0,-11.0,2019,September,1.9
Oppland,1692.0,1.7,153.0,10.0,2019,September,1.6
Oslo,9820.0,2.5,55.0,1.0,2019,September,2.6
Rogaland,5644.0,2.2,-899.0,-14.0,2019,September,2.6
Sogn og Fjordane,818.0,1.4,13.0,2.0,2019,September,1.4
Telemark,2143.0,2.5,-65.0,-3.0,2019,September,2.6
Troms Romsa,1429.0,1.6,22.0,2.0,2019,September,1.6
Trøndelag,4502.0,1.8,50.0,1.0,2019,September,1.8
Ukjent,7.0,,,,2019,September,
Vest-Agder,2242.0,2.4,-35.0,-2.0,2019,September,2.4
Vestfold,3422.0,2.7,-172.0,-5.0,2019,September,2.9
Østfold,4372.0,3.0,412.0,10.0,2019,September,2.8
Øvrige områder,8.0,,4.0,100.0,2019,September,
Akershus,6573.0,2.0,458.0,7.0,2019,Oktober,1.9
Aust-Agder,1322.0,2.3,29.0,2.0,2019,Oktober,2.3
Buskerud,3229.0,2.2,-242.0,-7.0,2019,Oktober,2.4
Finnmark Finnmárku,975.0,2.4,-60.0,-6.0,2019,Oktober,2.6
Hedmark,1856.0,1.9,49.0,3.0,2019,Oktober,1.9
Hordaland,5868.0,2.1,-1165.0,-17.0,2019,Oktober,2.5
Landet,59549.0,2.1,-1982.0,-3.0,2019,Oktober,2.2
Møre og Romsdal,2610.0,1.9,-388.0,-13.0,2019,Oktober,2.2
Nordland,2227.0,1.8,-102.0,-4.0,2019,Oktober,1.9
Oppland,1715.0,1.7,134.0,8.0,2019,Oktober,1.6
Oslo,9474.0,2.4,-96.0,-1.0,2019,Oktober,2.5
Rogaland,5508.0,2.2,-554.0,-9.0,2019,Oktober,2.4
Sogn og Fjordane,723.0,1.2,-24.0,-3.0,2019,Oktober,1.3
Telemark,1999.0,2.3,-145.0,-7.0,2019,Oktober,2.5
Troms Romsa,1361.0,1.5,-16.0,-1.0,2019,Oktober,1.5
Trøndelag,4240.0,1.7,-118.0,-3.0,2019,Oktober,1.8
Ukjent,6.0,,,,2019,Oktober,
Vest-Agder,2167.0,2.3,-29.0,-1.0,2019,Oktober,2.3
Vestfold,3322.0,2.6,-220.0,-6.0,2019,Oktober,2.8
Østfold,4367.0,3.0,501.0,13.0,2019,Oktober,2.7
Øvrige områder,7.0,,1.0,17.0,2019,Oktober,
Akershus,6526.0,2.0,328.0,5.0,2019,November,1.9
Aust-Agder,1361.0,2.4,106.0,8.0,2019,November,2.2
Buskerud,3195.0,2.2,-270.0,-8.0,2019,November,2.4
Finnmark Finnmárku,962.0,2.4,-108.0,-10.0,2019,November,2.7
Hedmark,1932.0,2.0,-49.0,-2.0,2019,November,2.0
Hordaland,5910.0,2.1,-1146.0,-16.0,2019,November,2.6
Landet,59457.0,2.1,-2977.0,-5.0,2019,November,2.3
Møre og Romsdal,2619.0,1.9,-383.0,-13.0,2019,November,2.2
Nordland,2312.0,1.9,-108.0,-4.0,2019,November,2.0
Oppland,1742.0,1.8,58.0,3.0,2019,November,1.7
Oslo,9367.0,2.4,-297.0,-3.0,2019,November,2.5
Rogaland,5420.0,2.1,-688.0,-11.0,2019,November,2.4
Sogn og Fjordane,730.0,1.3,-79.0,-10.0,2019,November,1.4
Telemark,1953.0,2.3,-231.0,-11.0,2019,November,2.6
Troms Romsa,1357.0,1.5,-107.0,-7.0,2019,November,1.6
Trøndelag,4277.0,1.7,-207.0,-5.0,2019,November,1.8
Ukjent,10.0,,,,2019,November,
Vest-Agder,2208.0,2.3,81.0,4.0,2019,November,2.3
Vestfold,3293.0,2.6,-164.0,-5.0,2019,November,2.8
Østfold,4277.0,3.0,280.0,7.0,2019,November,2.8
Øvrige områder,6.0,,-2.0,-25.0,2019,November,
Akershus,6623.0,2.0,462.0,7.0,2019,Desember,1.9
Aust-Agder,1371.0,2.4,84.0,7.0,2019,Desember,2.3
Buskerud,3205.0,2.2,-274.0,-8.0,2019,Desember,2.4
Finnmark Finnmárku,1086.0,2.7,1.0,0.0,2019,Desember,2.7
Hedmark,1943.0,2.0,-136.0,-7.0,2019,Desember,2.1
Hordaland,5989.0,2.1,-1217.0,-17.0,2019,Desember,2.6
Landet,60736.0,2.2,-2741.0,-4.0,2019,Desember,2.3
Møre og Romsdal,2709.0,2.0,-412.0,-13.0,2019,Desember,2.3
Nordland,2386.0,1.9,-63.0,-3.0,2019,Desember,2.0
Oppland,1826.0,1.9,80.0,5.0,2019,Desember,1.8
Oslo,9458.0,2.4,-293.0,-3.0,2019,Desember,2.6
Rogaland,5513.0,2.2,-666.0,-11.0,2019,Desember,2.5
Sogn og Fjordane,798.0,1.4,-81.0,-9.0,2019,Desember,1.5
Telemark,2055.0,2.4,-130.0,-6.0,2019,Desember,2.6
