Levekårssone;Levekårssone navn;Kommunenummer;Kommune;Kategori;Gruppe;Variabel;Spørsmål;Svartype;Verdi;Svar;Antall;Andel;Spørsmålskode;Årstall;Datatype
400102;Sentrum øst;4001;Porsgrunn;Skader og fysisk miljø;Støy;veitrafikkstoey;Hvis du tenker på de siste 12 månedene, hvor plaget er du av støy fra veitrafikk når du er hjemme?;Selectbox;999;Middels plaget eller mer;72;0.1429;FHUS_40_2025_Q1_fk6g19s1;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Skader og fysisk miljø;Støy;annenstoey;Hvis du tenker på de siste 12 månedene, hvor plaget er du av støy fra andre utendørs støykilder enn veitrafikk når du er hjemme?;Selectbox;999;Middels plaget eller mer;64;0.1272;FHUS_40_2025_Q1_fk6g19s2;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Livskvalitet;Livstilfredshet;tilfredshet;Alt i alt, hvor fornøyd er du med livet ditt for tiden?;Selectbox;999;Andel som svarer 6 eller høyere;421;0.837;FHUS_40_2025_Q1_fk7g20s1;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Livskvalitet;Livstilfredshet;fremtidsoptimisme;Hvor fornøyd tror du at du vil være med livet ditt fem år fra nå?;Selectbox;999;Andel som svarer 6 eller høyere;432;0.8606;FHUS_40_2025_Q1_fk7g20s2;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Livskvalitet;Livstilfredshet;meningsfylt;Alt i alt, i hvilken grad opplever du at det du gjør i livet er meningsfylt?;Selectbox;999;Andel som svarer 6 eller høyere;427;0.8472;FHUS_40_2025_Q1_fk7g20s3;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Livskvalitet;Engasjement;engasjert;Tenk på hvordan du har følt deg de siste 7 dagene. I hvilken grad var du engasjert?;Selectbox;999;Andel som svarer 6 eller høyere;347;0.6926;FHUS_40_2025_Q1_fk7g24s1;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Livskvalitet;Sosiale relasjoner;givende;Mine sosiale relasjoner er støttende og givende;Matrix;999;Andel som svarer 6 eller høyere;413;0.8293;FHUS_40_2025_Q1_fk7g25s1_1;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Livskvalitet;Sosiale relasjoner;andreslykke;Jeg bidrar aktivt til andres lykke og livskvalitet;Matrix;999;Andel som svarer 6 eller høyere;410;0.8233;FHUS_40_2025_Q1_fk7g25s1_2;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Livskvalitet;Sosiale relasjoner;venner;Hvor ofte er du sammen med gode venner?;Selectbox;999;Ukentlig eller oftere;289;0.5757;FHUS_40_2025_Q1_fk7g25s3;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Livskvalitet;Lokalsamfunn / trygghet;tilhoerighet;I hvilken grad føler du at du hører til på stedet der du bor?;Selectbox;999;Andel som svarer 6 eller høyere;388;0.7729;FHUS_40_2025_Q1_fk7g26s2;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Livskvalitet;Lokalsamfunn / trygghet;trygg;Alt i alt, hvor trygg føler du deg når du er ute og går i nærmiljøet?;Selectbox;999;Andel som svarer 6 eller høyere;450;0.8964;FHUS_40_2025_Q1_fk7g26s3;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Bakgrunn;Økonomi;oekonomi;Dersom du bor alene, tenk på din samlede inntekt. Dersom du bor sammen med andre, tenk på den samlede inntekten til alle i husholdningen. Hvor lett eller vanskelig er det for deg/dere å få pengene til å strekke til i det daglige, med denne inntekten?;Selectbox;999;Andel med økonomiske vansker;120;0.2429;FHUS_40_2025_Q1_fk8g28s1;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Utledet variabel;Sosial støtte;oslo_sum_3kat;oslo_sum_3kat;;999;Høy sosial støtte;160;0.315;oslo_sum_3kat;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Utledet variabel;Psykiske plager;HSCL_2kat;HSCL_2kat;;999;Symptomer på psykiske plager;73;0.1423;HSCL_2kat;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Utledet variabel;Ensomhet;ucla_2kat;ucla_2kat;;999;Høyt nivå;42;0.083;ucla_2kat;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Utledet variabel;Søvn;INSOMNIA;INSOMNIA;;999;Søvnproblemer;54;0.1057;INSOMNIA;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Utledet variabel;Kontroll i livet;kontroll_SUM_3kat;kontroll_SUM_3kat;;999;Høy grad av mestring;90;0.1804;kontroll_SUM_3kat;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Utledet variabel;Fysisk aktivitet;FYSAK_2kat;FYSAK_2kat;;999;Minst 30 min. moderat fysisk aktivitet minst fire dager i uka;102;0.202;FYSAK_2kat;2025;Real data
400103;Sentrum sør;4001;Porsgrunn;Nærmiljøet;Trivsel;trivsel;I hvilken grad trives du i nærmiljøet ditt?;Selectbox;999;I stor grad;421;0.7697;FHUS_40_2025_Q1_fk1g1s1;2025;Real data
400103;Sentrum sør;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;kultur;Hvordan opplever du tilgjengeligheten til kulturtilbud (eksempelvis kino, bibliotek, kulturhus, konserter og teater)?;Selectbox;999;God eller svært god;489;0.9039;FHUS_40_2025_Q1_fk1g2s1;2025;Real data
400103;Sentrum sør;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;idrett;Hvordan opplever du tilgjengeligheten til idrettstilbud (eksempelvis idrettshall, svømmehall, treningssenter, ski/lys-løyper)?;Selectbox;999;God eller svært god;461;0.8521;FHUS_40_2025_Q1_fk1g2s2;2025;Real data
400103;Sentrum sør;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;butikk;Hvordan opplever du tilgjengeligheten til butikker, spisesteder og andre servicetilbud?;Selectbox;999;God eller svært god;501;0.9244;FHUS_40_2025_Q1_fk1g2s3;2025;Real data
