Kommunenummer;Kommunenummer_2025;Kommune;Kategori;Gruppe;Variabel;Spørsmål;Svartype;Verdi;Svar;Antall_original;Andel_original;Antall_vektet;Andel_vektet;Spørsmålskode;Årstall
4001;4001;Porsgrunn;Deltakelse i aktiviteter;Deltagelse i aktiviteter;organisert;Hvor ofte deltar du i organisert aktivitet / frivillig arbeid, som f.eks. idrettslag, politiske lag, trossamfunn, kor eller lignende?;Selectbox;999;Ukentlig eller oftere;904;0.296;3273.41;0.2973;FHUS_40_2025_Q1_fk2g3s1;2025
4001;4001;Porsgrunn;Deltakelse i aktiviteter;Deltagelse i aktiviteter;uorganisert;Hvor ofte deltar du i annen aktivitet, som for eksempel klubb, møter, treffe venner, trimturer med venner/kolleger eller andre?;Selectbox;999;Ukentlig eller oftere;1431;0.467;5192.96;0.47;FHUS_40_2025_Q1_fk2g3s2;2025
4001;4001;Porsgrunn;Helse;Helse;helse;Hvordan vurderer du alt i alt din egen helse?;Selectbox;999;God eller svært god;2093;0.6851;7559.79;0.6867;FHUS_40_2025_Q1_fk3g4s1;2025
4001;4001;Porsgrunn;Helse;Helse;tannhelse;Hvordan vurderer du tannhelsen din?;Selectbox;999;God eller svært god;2164;0.7104;7837.48;0.7133;FHUS_40_2025_Q1_fk3g4s2;2025
4001;4001;Porsgrunn;Helse;Helse;tannlege;Når var du sist hos tannlege/tannpleier?;Selectbox;999;Mer enn to år siden;354;0.1163;1267.93;0.1156;FHUS_40_2025_Q1_fk3g4s3;2025
4001;4001;Porsgrunn;Helse;Langvarige helseproblemer og funksjonsnedsettelser;sykdom_a;Hvordan påvirker disse sykdommene eller helseproblemene din hverdag?;Selectbox;999;I stor grad;397;0.126;1400.67;0.1234;FHUS_40_2025_Q1_fk3g8s1a;2025
4001;4001;Porsgrunn;Helse;Langvarige helseproblemer og funksjonsnedsettelser;funksjonsnedsettelse_a;Hvordan påvirker funksjonsnedsettelsen (plagene) din hverdag?;Selectbox;999;I stor grad;186;0.059;642.62;0.0566;FHUS_40_2025_Q1_fk3g8s2a;2025
4001;4001;Porsgrunn;Helse;Nakke- og korsryggsmerter;korsryggsmerte;I løpet av de siste 28 dagene (4 ukene), har du hatt smerter i korsryggen?;Selectbox;999;Ja;1324;0.4436;4771.02;0.4429;FHUS_40_2025_Q1_fk3g9s1;2025
4001;4001;Porsgrunn;Helse;Nakke- og korsryggsmerter;nakkesmerte;I løpet av de siste 28 dagene (4 ukene), har du hatt smerter i nakken?;Selectbox;999;Ja;1173;0.3946;4209.13;0.3924;FHUS_40_2025_Q1_fk3g9s2;2025
4001;4001;Porsgrunn;Helserelatert atferd;Kosthold;sukkerdrikk;Hvor ofte drikker du vanligvis sukkerholdig brus/saft/leskedrikk (inkludert iste, energidrikk, sportsdrikk og nektar)?;Matrix;999;2-3 ganger i uka eller oftere;860;0.291;3086.76;0.2897;FHUS_40_2025_Q1_fk5g13s1_1;2025
4001;4001;Porsgrunn;Helserelatert atferd;Kosthold;frukt;Hvor ofte spiser du vanligvis frukt eller bær (regn ikke med juice eller fruktsaft)?;Matrix;999;Daglig eller oftere;874;0.2956;3164.19;0.2968;FHUS_40_2025_Q1_fk5g13s1_2;2025
4001;4001;Porsgrunn;Helserelatert atferd;Kosthold;groennsaker;Hvor ofte spiser du vanligvis grønnsaker (inkludert salat)? Regn ikke med poteter.;Matrix;999;Daglig eller oftere;1228;0.4154;4474.12;0.4199;FHUS_40_2025_Q1_fk5g13s1_3;2025
4001;4001;Porsgrunn;Helserelatert atferd;Kosthold;fisk;Hvor ofte spiser du vanligvis fisk (som pålegg, til lunsj eller middag)?;Matrix;999;2-3 ganger i uka eller oftere;1208;0.4081;4420.55;0.4142;FHUS_40_2025_Q1_fk5g13s1_4;2025
4001;4001;Porsgrunn;Helserelatert atferd;Tobakk;roeyking_a;Hvor ofte røyker du?;Selectbox;999;Daglig;263;0.0835;916.61;0.0809;FHUS_40_2025_Q1_fk5g14s1a;2025
4001;4001;Porsgrunn;Helserelatert atferd;Tobakk;snus_a;Hvor ofte bruker du snus?;Selectbox;999;Daglig;355;0.1126;1277.53;0.1125;FHUS_40_2025_Q1_fk5g14s2a;2025
4001;4001;Porsgrunn;Helserelatert atferd;Alkohol;alkohol_a;I løpet av de siste 12 måneder, hvor ofte har du drukket alkohol?;Selectbox;999;2-3 ganger i uka eller oftere;585;0.1855;2164.84;0.1906;FHUS_40_2025_Q1_fk5g15s1a;2025
4001;4001;Porsgrunn;Helserelatert atferd;Alkohol;alkohol_c;Hvor ofte drikker du seks alkoholenheter eller mer ved én og samme anledning?;Selectbox;999;Månedlig eller oftere;466;0.1478;1686.4;0.1486;FHUS_40_2025_Q1_fk5g15s1a2;2025
4001;4001;Porsgrunn;Skader og fysisk miljø;Skader;skade;Har du i løpet av de siste 12 måneder vært utsatt for en eller flere skader som førte til at du oppsøkte lege eller tannlege?;Selectbox;999;Ja minst én;684;0.2331;2404.54;0.2272;FHUS_40_2025_Q1_fk6g17s1;2025
4001;4001;Porsgrunn;Bakgrunn;Famile og bolig situasjon;bolig;Eier eller leier du boligen din?;Selectbox;999;Eier;2398;0.8165;8641.04;0.8158;FHUS_40_2025_Q1_fk8g30s4;2025
4001;4001;Porsgrunn;Skader og fysisk miljø;Bolig;boligbytte;Hvor sannsynlig er det at du bytter bolig de neste 10 årene?;Selectbox;999;svært sannsynlig eller litt sannsynlig;1579;0.5371;5763.22;0.5435;FHUS_40_2025_Q1_fk6g18s2;2025
4001;4001;Porsgrunn;Skader og fysisk miljø;Støy;veitrafikkstoey;Hvis du tenker på de siste 12 månedene, hvor plaget er du av støy fra veitrafikk når du er hjemme?;Selectbox;999;Middels plaget eller mer;384;0.1307;1381.89;0.1304;FHUS_40_2025_Q1_fk6g19s1;2025
4001;4001;Porsgrunn;Skader og fysisk miljø;Støy;annenstoey;Hvis du tenker på de siste 12 månedene, hvor plaget er du av støy fra andre utendørs støykilder enn veitrafikk når du er hjemme?;Selectbox;999;Middels plaget eller mer;331;0.1127;1230.81;0.1162;FHUS_40_2025_Q1_fk6g19s2;2025
4001;4001;Porsgrunn;Livskvalitet;Livstilfredshet;tilfredshet;Alt i alt, hvor fornøyd er du med livet ditt for tiden?;Selectbox;999;Andel som svarer 6 eller høyere;2480;0.8464;8948.34;0.8465;FHUS_40_2025_Q1_fk7g20s1;2025
4001;4001;Porsgrunn;Livskvalitet;Livstilfredshet;fremtidsoptimisme;Hvor fornøyd tror du at du vil være med livet ditt fem år fra nå?;Selectbox;999;Andel som svarer 6 eller høyere;2553;0.8752;9211.94;0.8745;FHUS_40_2025_Q1_fk7g20s2;2025
4001;4001;Porsgrunn;Livskvalitet;Livstilfredshet;meningsfylt;Alt i alt, i hvilken grad opplever du at det du gjør i livet er meningsfylt?;Selectbox;999;Andel som svarer 6 eller høyere;2470;0.8419;8918.65;0.8423;FHUS_40_2025_Q1_fk7g20s3;2025
4001;4001;Porsgrunn;Livskvalitet;Engasjement;engasjert;Tenk på hvordan du har følt deg de siste 7 dagene. I hvilken grad var du engasjert?;Selectbox;999;Andel som svarer 6 eller høyere;1931;0.6629;7004.62;0.667;FHUS_40_2025_Q1_fk7g24s1;2025
4001;4001;Porsgrunn;Livskvalitet;Sosiale relasjoner;givende;Mine sosiale relasjoner er støttende og givende;Matrix;999;Andel som svarer 6 eller høyere;2349;0.8148;8507.56;0.8175;FHUS_40_2025_Q1_fk7g25s1_1;2025
4001;4001;Porsgrunn;Livskvalitet;Sosiale relasjoner;andreslykke;Jeg bidrar aktivt til andres lykke og livskvalitet;Matrix;999;Andel som svarer 6 eller høyere;2332;0.8117;8438.43;0.814;FHUS_40_2025_Q1_fk7g25s1_2;2025
4001;4001;Porsgrunn;Livskvalitet;Sosiale relasjoner;venner;Hvor ofte er du sammen med gode venner?;Selectbox;999;Ukentlig eller oftere;1516;0.5222;5491.69;0.5242;FHUS_40_2025_Q1_fk7g25s3;2025
4001;4001;Porsgrunn;Livskvalitet;Lokalsamfunn / trygghet;tilhoerighet;I hvilken grad føler du at du hører til på stedet der du bor?;Selectbox;999;Andel som svarer 6 eller høyere;2302;0.793;8296.3;0.792;FHUS_40_2025_Q1_fk7g26s2;2025
4001;4001;Porsgrunn;Livskvalitet;Lokalsamfunn / trygghet;trygg;Alt i alt, hvor trygg føler du deg når du er ute og går i nærmiljøet?;Selectbox;999;Andel som svarer 6 eller høyere;2680;0.9235;9678.89;0.9243;FHUS_40_2025_Q1_fk7g26s3;2025
4001;4001;Porsgrunn;Bakgrunn;Økonomi;oekonomi;Dersom du bor alene, tenk på din samlede inntekt. Dersom du bor sammen med andre, tenk på den samlede inntekten til alle i husholdningen. Hvor lett eller vanskelig er det for deg/dere å få pengene til å strekke til i det daglige, med denne inntekten?;Selectbox;999;Andel med økonomiske vansker;709;0.2464;2533.98;0.2441;FHUS_40_2025_Q1_fk8g28s1;2025
4001;4001;Porsgrunn;Utledet variabel;Sosial støtte;oslo_sum_3kat;oslo_sum_3kat;;999;Høy sosial støtte;937;0.3163;3391.34;0.3175;oslo_sum_3kat;2025
4001;4001;Porsgrunn;Utledet variabel;Psykiske plager;HSCL_2kat;HSCL_2kat;;999;Symptomer på psykiske plager;474;0.1573;1653.28;0.1522;HSCL_2kat;2025
4001;4001;Porsgrunn;Utledet variabel;Ensomhet;ucla_2kat;ucla_2kat;;999;Høyt nivå;345;0.117;1180.79;0.111;ucla_2kat;2025
4001;4001;Porsgrunn;Utledet variabel;Søvn;INSOMNIA;INSOMNIA;;999;Søvnproblemer;372;0.124;1318.88;0.1219;INSOMNIA;2025
4001;4001;Porsgrunn;Utledet variabel;Kontroll i livet;kontroll_SUM_3kat;kontroll_SUM_3kat;;999;Høy grad av mestring;555;0.1925;2001.07;0.1923;kontroll_SUM_3kat;2025
4001;4001;Porsgrunn;Utledet variabel;Fysisk aktivitet;FYSAK_2kat;FYSAK_2kat;;999;Minst 30 min. moderat fysisk aktivitet minst fire dager i uka;596;0.2015;2167.03;0.2032;FYSAK_2kat;2025
4003;4003;Skien;Nærmiljøet;Trivsel;trivsel;I hvilken grad trives du i nærmiljøet ditt?;Selectbox;999;I stor grad;4789;0.6978;11988.29;0.6968;FHUS_40_2025_Q1_fk1g1s1;2025
4003;4003;Skien;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;kultur;Hvordan opplever du tilgjengeligheten til kulturtilbud (eksempelvis kino, bibliotek, kulturhus, konserter og teater)?;Selectbox;999;God eller svært god;5442;0.8077;13562.89;0.8037;FHUS_40_2025_Q1_fk1g2s1;2025
4003;4003;Skien;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;idrett;Hvordan opplever du tilgjengeligheten til idrettstilbud (eksempelvis idrettshall, svømmehall, treningssenter, ski/lys-løyper)?;Selectbox;999;God eller svært god;5638;0.838;13833.82;0.8209;FHUS_40_2025_Q1_fk1g2s2;2025
4003;4003;Skien;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;butikk;Hvordan opplever du tilgjengeligheten til butikker, spisesteder og andre servicetilbud?;Selectbox;999;God eller svært god;5410;0.8033;13670.12;0.8104;FHUS_40_2025_Q1_fk1g2s3;2025
4003;4003;Skien;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;transport;Hvordan opplever du tilgjengeligheten til offentlig transport?;Selectbox;999;God eller svært god;4295;0.6382;10278.63;0.6099;FHUS_40_2025_Q1_fk1g2s4;2025
4003;4003;Skien;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;natur;Hvordan opplever du tilgjengeligheten til natur- og friluftsområder, inkludert parker og andre grøntarealer?;Selectbox;999;God eller svært god;6112;0.909;15118.42;0.8975;FHUS_40_2025_Q1_fk1g2s5;2025
4003;4003;Skien;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;sjoe;Hvordan opplever du tilgjengeligheten til kystlinje/strand eller sjø/innsjø der du bor?;Selectbox;999;God eller svært god;4195;0.6231;10495.54;0.6225;FHUS_40_2025_Q1_fk1g2s6;2025
4003;4003;Skien;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;gang;Opplever du at gang- og sykkelveier er godt utbygde i ditt nærområde?;Selectbox;999;God eller svært god;4288;0.6367;10155.36;0.6021;FHUS_40_2025_Q1_fk1g2s7;2025
4003;4003;Skien;Deltakelse i aktiviteter;Deltagelse i aktiviteter;organisert;Hvor ofte deltar du i organisert aktivitet / frivillig arbeid, som f.eks. idrettslag, politiske lag, trossamfunn, kor eller lignende?;Selectbox;999;Ukentlig eller oftere;2021;0.3035;5007.11;0.3002;FHUS_40_2025_Q1_fk2g3s1;2025
