Kommunenummer,Kommune,År,Bygningstype,Sort_Bygningstype,Bygningstype_4_gr,Sort_Bygningstype_4_gr,Antall
4003,Skien,01.01.2023,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,3355
4003,Skien,01.01.2023,Boligblokk,2,Leilighet,2,5654
4003,Skien,01.01.2023,Bygning for bofellesskap,6,Annen boligbygging,4,157
4003,Skien,01.01.2023,Andre bygningstyper,5,Annen boligbygging,4,863
4003,Skien,01.01.2024,Enebolig,1,Enebolig,1,14267
4003,Skien,01.01.2024,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,2835
4003,Skien,01.01.2024,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,3394
4003,Skien,01.01.2024,Boligblokk,2,Leilighet,2,5759
4003,Skien,01.01.2024,Bygning for bofellesskap,6,Annen boligbygging,4,157
4003,Skien,01.01.2024,Andre bygningstyper,5,Annen boligbygging,4,858
4003,Skien,01.01.2025,Enebolig,1,Enebolig,1,14285
4003,Skien,01.01.2025,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,2856
4003,Skien,01.01.2025,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,3419
4003,Skien,01.01.2025,Boligblokk,2,Leilighet,2,5905
4003,Skien,01.01.2025,Bygning for bofellesskap,6,Annen boligbygging,4,157
4003,Skien,01.01.2025,Andre bygningstyper,5,Annen boligbygging,4,863
4003,Skien,01.01.2026,Enebolig,1,Enebolig,1,14297
4003,Skien,01.01.2026,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,2864
4003,Skien,01.01.2026,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,3430
4003,Skien,01.01.2026,Boligblokk,2,Leilighet,2,5912
4003,Skien,01.01.2026,Bygning for bofellesskap,6,Annen boligbygging,4,157
4003,Skien,01.01.2026,Andre bygningstyper,5,Annen boligbygging,4,856
4005,Notodden,01.01.2013,Enebolig,1,Enebolig,1,4459
4005,Notodden,01.01.2013,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,649
4005,Notodden,01.01.2013,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,524
4005,Notodden,01.01.2013,Boligblokk,2,Leilighet,2,423
4005,Notodden,01.01.2013,Bygning for bofellesskap,6,Annen boligbygging,4,293
4005,Notodden,01.01.2013,Andre bygningstyper,5,Annen boligbygging,4,381
4005,Notodden,01.01.2014,Enebolig,1,Enebolig,1,4466
4005,Notodden,01.01.2014,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,648
4005,Notodden,01.01.2014,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,532
4005,Notodden,01.01.2014,Boligblokk,2,Leilighet,2,425
4005,Notodden,01.01.2014,Bygning for bofellesskap,6,Annen boligbygging,4,294
4005,Notodden,01.01.2014,Andre bygningstyper,5,Annen boligbygging,4,380
4005,Notodden,01.01.2015,Enebolig,1,Enebolig,1,4478
4005,Notodden,01.01.2015,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,638
4005,Notodden,01.01.2015,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,546
4005,Notodden,01.01.2015,Boligblokk,2,Leilighet,2,421
4005,Notodden,01.01.2015,Bygning for bofellesskap,6,Annen boligbygging,4,294
4005,Notodden,01.01.2015,Andre bygningstyper,5,Annen boligbygging,4,393
4005,Notodden,01.01.2016,Enebolig,1,Enebolig,1,4495
4005,Notodden,01.01.2016,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,627
4005,Notodden,01.01.2016,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,555
4005,Notodden,01.01.2016,Boligblokk,2,Leilighet,2,421
4005,Notodden,01.01.2016,Bygning for bofellesskap,6,Annen boligbygging,4,295
4005,Notodden,01.01.2016,Andre bygningstyper,5,Annen boligbygging,4,415
4005,Notodden,01.01.2017,Enebolig,1,Enebolig,1,4504
4005,Notodden,01.01.2017,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,623
4005,Notodden,01.01.2017,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,565
4005,Notodden,01.01.2017,Boligblokk,2,Leilighet,2,421
4005,Notodden,01.01.2017,Bygning for bofellesskap,6,Annen boligbygging,4,297
4005,Notodden,01.01.2017,Andre bygningstyper,5,Annen boligbygging,4,430
4005,Notodden,01.01.2018,Enebolig,1,Enebolig,1,4511
4005,Notodden,01.01.2018,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,631
4005,Notodden,01.01.2018,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,577
