Kommunenummer,Kommune,År,Bygningstype,Sort_Bygningstype,Bygningstype_6_gr,Sort_Bygningstype_6_gr,Bygningstype_5_gr,Sort_Bygningstype_5_gr,Antall
4020,Midt-Telemark,01.01.2018,Enebolig,1,Enebolig,1,Enebolig,1,31
4020,Midt-Telemark,01.01.2019,Enebolig,1,Enebolig,1,Enebolig,1,32
4020,Midt-Telemark,01.01.2020,Enebolig,1,Enebolig,1,Enebolig,1,35
4020,Midt-Telemark,01.01.2021,Enebolig,1,Enebolig,1,Enebolig,1,31
4020,Midt-Telemark,01.01.2022,Enebolig,1,Enebolig,1,Enebolig,1,32
4020,Midt-Telemark,01.01.2023,Enebolig,1,Enebolig,1,Enebolig,1,20
4020,Midt-Telemark,01.01.2024,Enebolig,1,Enebolig,1,Enebolig,1,7
4020,Midt-Telemark,01.01.2025,Enebolig,1,Enebolig,1,Enebolig,1,19
4022,Seljord,01.01.2000,Enebolig,1,Enebolig,1,Enebolig,1,10
4022,Seljord,01.01.2001,Enebolig,1,Enebolig,1,Enebolig,1,4
4022,Seljord,01.01.2002,Enebolig,1,Enebolig,1,Enebolig,1,7
4022,Seljord,01.01.2003,Enebolig,1,Enebolig,1,Enebolig,1,3
4022,Seljord,01.01.2004,Enebolig,1,Enebolig,1,Enebolig,1,4
4022,Seljord,01.01.2005,Enebolig,1,Enebolig,1,Enebolig,1,2
4022,Seljord,01.01.2006,Enebolig,1,Enebolig,1,Enebolig,1,3
4022,Seljord,01.01.2007,Enebolig,1,Enebolig,1,Enebolig,1,2
4022,Seljord,01.01.2008,Enebolig,1,Enebolig,1,Enebolig,1,2
4022,Seljord,01.01.2009,Enebolig,1,Enebolig,1,Enebolig,1,5
4022,Seljord,01.01.2010,Enebolig,1,Enebolig,1,Enebolig,1,4
4022,Seljord,01.01.2011,Enebolig,1,Enebolig,1,Enebolig,1,7
4022,Seljord,01.01.2012,Enebolig,1,Enebolig,1,Enebolig,1,4
4022,Seljord,01.01.2013,Enebolig,1,Enebolig,1,Enebolig,1,5
4022,Seljord,01.01.2014,Enebolig,1,Enebolig,1,Enebolig,1,2
4022,Seljord,01.01.2015,Enebolig,1,Enebolig,1,Enebolig,1,4
4022,Seljord,01.01.2016,Enebolig,1,Enebolig,1,Enebolig,1,2
4022,Seljord,01.01.2017,Enebolig,1,Enebolig,1,Enebolig,1,0
4022,Seljord,01.01.2018,Enebolig,1,Enebolig,1,Enebolig,1,4
4022,Seljord,01.01.2019,Enebolig,1,Enebolig,1,Enebolig,1,5
4022,Seljord,01.01.2020,Enebolig,1,Enebolig,1,Enebolig,1,5
4022,Seljord,01.01.2021,Enebolig,1,Enebolig,1,Enebolig,1,6
4022,Seljord,01.01.2022,Enebolig,1,Enebolig,1,Enebolig,1,5
4022,Seljord,01.01.2023,Enebolig,1,Enebolig,1,Enebolig,1,9
4022,Seljord,01.01.2024,Enebolig,1,Enebolig,1,Enebolig,1,3
4022,Seljord,01.01.2025,Enebolig,1,Enebolig,1,Enebolig,1,3
4024,Hjartdal,01.01.2000,Enebolig,1,Enebolig,1,Enebolig,1,3
4024,Hjartdal,01.01.2001,Enebolig,1,Enebolig,1,Enebolig,1,0
4024,Hjartdal,01.01.2002,Enebolig,1,Enebolig,1,Enebolig,1,2
4024,Hjartdal,01.01.2003,Enebolig,1,Enebolig,1,Enebolig,1,1
4024,Hjartdal,01.01.2004,Enebolig,1,Enebolig,1,Enebolig,1,1
4024,Hjartdal,01.01.2005,Enebolig,1,Enebolig,1,Enebolig,1,0
4024,Hjartdal,01.01.2006,Enebolig,1,Enebolig,1,Enebolig,1,0
4024,Hjartdal,01.01.2007,Enebolig,1,Enebolig,1,Enebolig,1,2
4024,Hjartdal,01.01.2008,Enebolig,1,Enebolig,1,Enebolig,1,0
4024,Hjartdal,01.01.2009,Enebolig,1,Enebolig,1,Enebolig,1,1
4024,Hjartdal,01.01.2010,Enebolig,1,Enebolig,1,Enebolig,1,14
