Kommunenummer,Kommune,År,Bygningstype,SortBygningstype,Største bygningstyper,SortStorsteBygningstype,Antall
4001,Porsgrunn,01.01.2006,Rekkehus,7,Rekkehus,7,40
4001,Porsgrunn,01.01.2006,Kjedehus inkl.atriumhus,14,Andre,10,0
4001,Porsgrunn,01.01.2006,Terrassehus,18,Andre,10,0
4001,Porsgrunn,01.01.2006,Andre småhus med 3 boliger eller flere,6,Andre småhus med 3 boliger eller flere,6,10
4001,Porsgrunn,01.01.2006,Store frittliggende boligbygg på 2 etasjer,12,Andre,10,24
4001,Porsgrunn,01.01.2006,Store frittliggende boligbygg på 3 og 4 etasjer,3,Store frittliggende boligbygg på 3 og 4 etasjer,3,47
4001,Porsgrunn,01.01.2006,Store frittliggende boligbygg på 5 etasjer eller over,2,Store frittliggende boligbygg på 5 etasjer eller over,2,43
4001,Porsgrunn,01.01.2006,Stort sammenbygd boligbygg på 2 etasjer,17,Andre,10,0
4001,Porsgrunn,01.01.2006,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,0
4001,Porsgrunn,01.01.2006,Stort sammenbygd boligbygg på 5 etasjer eller over,10,Andre,10,0
4001,Porsgrunn,01.01.2006,Bo- og servicesenter,16,Andre,10,0
4001,Porsgrunn,01.01.2006,Studenthjem/studentboliger,15,Andre,10,0
4001,Porsgrunn,01.01.2006,Annen bygning for bofellesskap,19,Andre,10,0
4001,Porsgrunn,01.01.2006,Andre bygg enn boligbygg,11,Andre,10,6
4001,Porsgrunn,01.01.2007,Enebolig,1,Enebolig,1,30
4001,Porsgrunn,01.01.2007,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,4
4001,Porsgrunn,01.01.2007,Våningshus,8,Våningshus,8,1
4001,Porsgrunn,01.01.2007,"Del av tomannsbolig, vertikaldelt",4,"Del av tomannsbolig, vertikaldelt",4,18
4001,Porsgrunn,01.01.2007,"Tomannsbolig, horisontaldelt",13,Andre,10,0
4001,Porsgrunn,01.01.2007,"Del av våninghus  tomannsbustad, vertikaltdelt",21,Andre,10,0
4001,Porsgrunn,01.01.2007,"Våningshus tomannsbolig, horisontaltdelt",20,Andre,10,0
4001,Porsgrunn,01.01.2007,Rekkehus,7,Rekkehus,7,33
4001,Porsgrunn,01.01.2007,Kjedehus inkl.atriumhus,14,Andre,10,19
4001,Porsgrunn,01.01.2007,Terrassehus,18,Andre,10,0
4001,Porsgrunn,01.01.2007,Andre småhus med 3 boliger eller flere,6,Andre småhus med 3 boliger eller flere,6,8
4001,Porsgrunn,01.01.2007,Store frittliggende boligbygg på 2 etasjer,12,Andre,10,0
4001,Porsgrunn,01.01.2007,Store frittliggende boligbygg på 3 og 4 etasjer,3,Store frittliggende boligbygg på 3 og 4 etasjer,3,16
4001,Porsgrunn,01.01.2007,Store frittliggende boligbygg på 5 etasjer eller over,2,Store frittliggende boligbygg på 5 etasjer eller over,2,24
4001,Porsgrunn,01.01.2007,Stort sammenbygd boligbygg på 2 etasjer,17,Andre,10,0
4001,Porsgrunn,01.01.2007,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,10
4001,Porsgrunn,01.01.2007,Stort sammenbygd boligbygg på 5 etasjer eller over,10,Andre,10,0
4001,Porsgrunn,01.01.2007,Bo- og servicesenter,16,Andre,10,0
