Kommunenummer,Kommune,Alder,SortAlder,År,Bygningstype,SortBygningstype,Antall,Andel
4014,Kragerø,40-66 år,3,01.01.2024,Tomannsbolig,5,328.0,0.18303571428571427
4014,Kragerø,67-79 år,4,01.01.2024,Annen boligbygning,6,69.0,0.08801020408163265
4014,Kragerø,67-79 år,4,01.01.2024,Boligblokk,3,132.0,0.1312127236580517
4014,Kragerø,67-79 år,4,01.01.2024,Boliger i alt,1,1831.0,0.08950919045756746
4014,Kragerø,67-79 år,4,01.01.2024,Enebolig,2,1242.0,0.08400974025974026
4014,Kragerø,67-79 år,4,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,227.0,0.10861244019138756
4014,Kragerø,67-79 år,4,01.01.2024,Tomannsbolig,5,161.0,0.08984375
4014,Kragerø,80+,5,01.01.2024,Annen boligbygning,6,58.0,0.07397959183673469
4014,Kragerø,80+,5,01.01.2024,Boligblokk,3,81.0,0.0805168986083499
4014,Kragerø,80+,5,01.01.2024,Boliger i alt,1,634.0,0.030993351583887368
4014,Kragerø,80+,5,01.01.2024,Enebolig,2,359.0,0.02428300865800866
4014,Kragerø,80+,5,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,71.0,0.03397129186602871
4014,Kragerø,80+,5,01.01.2024,Tomannsbolig,5,65.0,0.03627232142857143
4014,Kragerø,Alle aldre,6,01.01.2024,Annen boligbygning,6,392.0,0.5
4014,Kragerø,Alle aldre,6,01.01.2024,Boligblokk,3,503.0,0.5
4014,Kragerø,Alle aldre,6,01.01.2024,Boliger i alt,1,10228.0,0.5
4014,Kragerø,Alle aldre,6,01.01.2024,Enebolig,2,7392.0,0.5
4014,Kragerø,Alle aldre,6,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,1045.0,0.5
4014,Kragerø,Alle aldre,6,01.01.2024,Tomannsbolig,5,896.0,0.5
4020,Midt-Telemark,0-19 år,1,01.01.2024,Annen boligbygning,6,87.0,0.060584958217270196
4020,Midt-Telemark,0-19 år,1,01.01.2024,Boligblokk,3,57.0,0.04384615384615385
4020,Midt-Telemark,0-19 år,1,01.01.2024,Boliger i alt,1,2448.0,0.10902289124432173
4020,Midt-Telemark,0-19 år,1,01.01.2024,Enebolig,2,2061.0,0.1189679057954283
4020,Midt-Telemark,0-19 år,1,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,130.0,0.0948905109489051
4020,Midt-Telemark,0-19 år,1,01.01.2024,Tomannsbolig,5,113.0,0.1103515625
4020,Midt-Telemark,20-39 år,2,01.01.2024,Annen boligbygning,6,387.0,0.2694986072423398
4020,Midt-Telemark,20-39 år,2,01.01.2024,Boligblokk,3,366.0,0.2815384615384615
4020,Midt-Telemark,20-39 år,2,01.01.2024,Boliger i alt,1,3194.0,0.14224637035717466
4020,Midt-Telemark,20-39 år,2,01.01.2024,Enebolig,2,2068.0,0.11937196952205033
4020,Midt-Telemark,20-39 år,2,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,210.0,0.15328467153284672
4020,Midt-Telemark,20-39 år,2,01.01.2024,Tomannsbolig,5,163.0,0.1591796875
4020,Midt-Telemark,40-66 år,3,01.01.2024,Annen boligbygning,6,105.0,0.07311977715877438
4020,Midt-Telemark,40-66 år,3,01.01.2024,Boligblokk,3,112.0,0.08615384615384615
4020,Midt-Telemark,40-66 år,3,01.01.2024,Boliger i alt,1,3594.0,0.1600605682729135
4020,Midt-Telemark,40-66 år,3,01.01.2024,Enebolig,2,3021.0,0.17438235973216348
4020,Midt-Telemark,40-66 år,3,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,204.0,0.14890510948905109
4020,Midt-Telemark,40-66 år,3,01.01.2024,Tomannsbolig,5,152.0,0.1484375
4020,Midt-Telemark,67-79 år,4,01.01.2024,Annen boligbygning,6,51.0,0.035515320334261836
4020,Midt-Telemark,67-79 år,4,01.01.2024,Boligblokk,3,78.0,0.06
4020,Midt-Telemark,67-79 år,4,01.01.2024,Boliger i alt,1,1425.0,0.06346308007481963
4020,Midt-Telemark,67-79 år,4,01.01.2024,Enebolig,2,1139.0,0.06574694066035558
4020,Midt-Telemark,67-79 år,4,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,92.0,0.06715328467153285
4020,Midt-Telemark,67-79 år,4,01.01.2024,Tomannsbolig,5,65.0,0.0634765625
4020,Midt-Telemark,80+,5,01.01.2024,Annen boligbygning,6,88.0,0.06128133704735376
4020,Midt-Telemark,80+,5,01.01.2024,Boligblokk,3,37.0,0.02846153846153846
4020,Midt-Telemark,80+,5,01.01.2024,Boliger i alt,1,566.0,0.025207090050770466
4020,Midt-Telemark,80+,5,01.01.2024,Enebolig,2,373.0,0.021530824290002307
4020,Midt-Telemark,80+,5,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,49.0,0.03576642335766423
4020,Midt-Telemark,80+,5,01.01.2024,Tomannsbolig,5,19.0,0.0185546875
4020,Midt-Telemark,Alle aldre,6,01.01.2024,Annen boligbygning,6,718.0,0.5
4020,Midt-Telemark,Alle aldre,6,01.01.2024,Boligblokk,3,650.0,0.5
4020,Midt-Telemark,Alle aldre,6,01.01.2024,Boliger i alt,1,11227.0,0.5
4020,Midt-Telemark,Alle aldre,6,01.01.2024,Enebolig,2,8662.0,0.5
4020,Midt-Telemark,Alle aldre,6,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,685.0,0.5
4020,Midt-Telemark,Alle aldre,6,01.01.2024,Tomannsbolig,5,512.0,0.5
