Kommune,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortKommune
Hele landet,2016-01-01,Kjønn samlet,65-74 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",46.7,1,10,2
Hele landet,2016-01-01,Kjønn samlet,65-74 år,KOLS (J44),"per 1000, standardisert",5.5,1,10,2
Hele landet,2016-01-01,Kjønn samlet,65-74 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",35.7,1,10,2
Hele landet,2016-01-01,Kjønn samlet,65-74 år,Personskader (S00-T78),"per 1000, standardisert",17.3,1,10,2
Hele landet,2016-01-01,Kjønn samlet,65-74 år,Hodeskader (S00-S09),"per 1000, standardisert",2.4,1,10,2
Hele landet,2016-01-01,Kjønn samlet,65-74 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.9,1,10,2
Hele landet,2016-01-01,Kjønn samlet,65-74 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.6,1,10,2
Hele landet,2016-01-01,Kjønn samlet,75 år+,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",85.8,1,11,2
Hele landet,2016-01-01,Kjønn samlet,75 år+,KOLS (J44),"per 1000, standardisert",8.8,1,11,2
Hele landet,2016-01-01,Kjønn samlet,75 år+,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",35.0,1,11,2
Hele landet,2016-01-01,Kjønn samlet,75 år+,Personskader (S00-T78),"per 1000, standardisert",42.4,1,11,2
Hele landet,2016-01-01,Kjønn samlet,75 år+,Hodeskader (S00-S09),"per 1000, standardisert",6.2,1,11,2
Hele landet,2016-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",15.9,1,11,2
Hele landet,2016-01-01,Kjønn samlet,75 år+,Forgiftninger (T36-T65),"per 1000, standardisert",1.1,1,11,2
Hele landet,2016-01-01,Kjønn samlet,75-79 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",69.5,1,12,2
Hele landet,2016-01-01,Kjønn samlet,75-79 år,KOLS (J44),"per 1000, standardisert",8.5,1,12,2
Hele landet,2016-01-01,Kjønn samlet,75-79 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",40.9,1,12,2
Hele landet,2016-01-01,Kjønn samlet,75-79 år,Personskader (S00-T78),"per 1000, standardisert",27.0,1,12,2
Hele landet,2016-01-01,Kjønn samlet,75-79 år,Hodeskader (S00-S09),"per 1000, standardisert",4.1,1,12,2
