ssbid_250,År,Populasjon
21920006584750,2001-01-01,5
21922506567750,2001-01-01,15
21922506568000,2001-01-01,12
21922506568250,2001-01-01,4
21922506571500,2001-01-01,3
21922506572000,2001-01-01,3
21922506572500,2001-01-01,4
21922506574000,2001-01-01,32
21922506574250,2001-01-01,7
21922506574750,2001-01-01,94
21922506575000,2001-01-01,121
21922506575250,2001-01-01,173
21922506575500,2001-01-01,116
21922506575750,2001-01-01,145
21922506576000,2001-01-01,30
21922506576250,2001-01-01,1
21922506576500,2001-01-01,31
21922506576750,2001-01-01,481
21922506577000,2001-01-01,25
21922506577250,2001-01-01,67
21922506577500,2001-01-01,31
21922506577750,2001-01-01,18
21922506578500,2001-01-01,2
21922506578750,2001-01-01,20
21922506579000,2001-01-01,41
21922506579250,2001-01-01,28
21922506579500,2001-01-01,54
21922506579750,2001-01-01,57
21922506580000,2001-01-01,31
21922506580250,2001-01-01,4
21922506580500,2001-01-01,5
21922506581000,2001-01-01,2
21922506581250,2001-01-01,1
21922506581750,2001-01-01,9
21922506582000,2001-01-01,4
21925006566500,2001-01-01,3
21925006567500,2001-01-01,1
21925006568500,2001-01-01,10
21925006569250,2001-01-01,3
21925006569500,2001-01-01,2
21925006570500,2001-01-01,5
21925006572500,2001-01-01,35
21925006572750,2001-01-01,54
21925006573000,2001-01-01,94
21925006573250,2001-01-01,143
21925006573500,2001-01-01,7
21925006573750,2001-01-01,8
21925006574000,2001-01-01,79
21925006574250,2001-01-01,14
21925006574750,2001-01-01,144
21925006575000,2001-01-01,172
21925006575250,2001-01-01,209
21925006575500,2001-01-01,156
21925006575750,2001-01-01,85
21925006576000,2001-01-01,168
21925006576250,2001-01-01,129
21925006576500,2001-01-01,32
21925006576750,2001-01-01,85
21925006577000,2001-01-01,89
21925006577250,2001-01-01,80
21925006577750,2001-01-01,17
21925006578000,2001-01-01,91
21925006578250,2001-01-01,101
21925006578500,2001-01-01,116
21925006578750,2001-01-01,32
21925006579000,2001-01-01,136
21925006579250,2001-01-01,112
21925006579500,2001-01-01,80
21925006580000,2001-01-01,2
21925006580250,2001-01-01,10
21925006580500,2001-01-01,1
21925006580750,2001-01-01,2
21925006581000,2001-01-01,2
21925006581500,2001-01-01,9
21925006582000,2001-01-01,8
21925006596000,2001-01-01,2
21927506566750,2001-01-01,27
21927506567000,2001-01-01,3
21927506567500,2001-01-01,2
21927506567750,2001-01-01,11
21927506568250,2001-01-01,7
21927506568500,2001-01-01,16
21927506568750,2001-01-01,50
21927506569000,2001-01-01,101
21927506569250,2001-01-01,270
21927506569500,2001-01-01,219
21927506570000,2001-01-01,5
21927506570500,2001-01-01,3
21927506571750,2001-01-01,12
21927506572000,2001-01-01,38
21927506572250,2001-01-01,16
21927506572500,2001-01-01,75
21927506572750,2001-01-01,53
21927506573000,2001-01-01,104
