Kommune,År,Kategori,Antall
Hjartdal,1999-01-01,Faktisk bosetting,0.0
Hjartdal,1999-01-01,Vedtak om bosetting,10.0
Hjartdal,2000-01-01,Anmodning om bosetting,15.0
Hjartdal,2000-01-01,Faktisk bosetting,0.0
Hjartdal,2000-01-01,Vedtak om bosetting,0.0
Hjartdal,2001-01-01,Anmodning om bosetting,15.0
Hjartdal,2001-01-01,Faktisk bosetting,0.0
Hjartdal,2001-01-01,Vedtak om bosetting,0.0
Hjartdal,2002-01-01,Anmodning om bosetting,10.0
Hjartdal,2002-01-01,Faktisk bosetting,0.0
Hjartdal,2002-01-01,Vedtak om bosetting,0.0
Hjartdal,2003-01-01,Anmodning om bosetting,10.0
Hjartdal,2003-01-01,Faktisk bosetting,0.0
Hjartdal,2003-01-01,Vedtak om bosetting,0.0
Hjartdal,2004-01-01,Anmodning om bosetting,0.0
Hjartdal,2004-01-01,Faktisk bosetting,0.0
Hjartdal,2004-01-01,Vedtak om bosetting,0.0
Hjartdal,2005-01-01,Anmodning om bosetting,0.0
Hjartdal,2005-01-01,Faktisk bosetting,0.0
Hjartdal,2005-01-01,Vedtak om bosetting,0.0
Hjartdal,2006-01-01,Anmodning om bosetting,0.0
Hjartdal,2006-01-01,Faktisk bosetting,0.0
Hjartdal,2006-01-01,Vedtak om bosetting,0.0
Hjartdal,2007-01-01,Anmodning om bosetting,0.0
Hjartdal,2007-01-01,Faktisk bosetting,0.0
Hjartdal,2007-01-01,Vedtak om bosetting,0.0
Hjartdal,2008-01-01,Anmodning om bosetting,0.0
Hjartdal,2008-01-01,Faktisk bosetting,0.0
Hjartdal,2008-01-01,Vedtak om bosetting,0.0
Hjartdal,2009-01-01,Anmodning om bosetting,0.0
Hjartdal,2009-01-01,Faktisk bosetting,0.0
Hjartdal,2009-01-01,Vedtak om bosetting,0.0
Hjartdal,2010-01-01,Anmodning om bosetting,0.0
Hjartdal,2010-01-01,Faktisk bosetting,0.0
Hjartdal,2010-01-01,Vedtak om bosetting,0.0
Hjartdal,2011-01-01,Anmodning om bosetting,0.0
Hjartdal,2011-01-01,Faktisk bosetting,0.0
Hjartdal,2011-01-01,Vedtak om bosetting,0.0
Hjartdal,2012-01-01,Anmodning om bosetting,0.0
Hjartdal,2012-01-01,Faktisk bosetting,0.0
Hjartdal,2012-01-01,Vedtak om bosetting,0.0
Hjartdal,2013-01-01,Anmodning om bosetting,10.0
Hjartdal,2013-01-01,Faktisk bosetting,7.0
Hjartdal,2013-01-01,Vedtak om bosetting,8.0
Hjartdal,2014-01-01,Anmodning om bosetting,10.0
Hjartdal,2014-01-01,Faktisk bosetting,9.0
Hjartdal,2014-01-01,Vedtak om bosetting,11.0
Hjartdal,2015-01-01,Anmodning om bosetting,10.0
Hjartdal,2015-01-01,Faktisk bosetting,18.0
Hjartdal,2015-01-01,Vedtak om bosetting,17.0
Hjartdal,2016-01-01,Anmodning om bosetting,15.0
Hjartdal,2016-01-01,Faktisk bosetting,6.0
Hjartdal,2016-01-01,Vedtak om bosetting,14.0
Hjartdal,2017-01-01,Anmodning om bosetting,10.0
