Geografi,År,Kjønn,Alder vises ikke,Fornøydhet med helsa,SOES,Måltall,value
Skien,2024,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",75.3332940904797
Skien,2024,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",59.3935878935189
Skien,2025,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2025,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2025,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Notodden,2016,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Notodden,2016,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Notodden,2016,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Notodden,2017,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Notodden,2017,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Notodden,2017,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Notodden,2018,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",64.756869336783
Notodden,2018,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",74.2101608930294
Notodden,2018,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",55.4168965099155
Notodden,2019,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Notodden,2019,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Notodden,2019,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Notodden,2020,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Notodden,2020,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Notodden,2020,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Notodden,2021,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",72.0900729563085
Notodden,2021,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",79.8767908817096
Notodden,2021,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",64.5359097025869
Notodden,2022,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Notodden,2022,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Notodden,2022,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
