Geografi,År,Kjønn,Alder,Plagegrad,Sosioøkonomiske ressurser (SØR),Måltall,value
Siljan,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.3540408870065
Bamble,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",9.52849216403861
Bamble,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",17.194423582182
Bamble,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.4933636262307
Bamble,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",9.54111355060363
Bamble,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",21.5018247477409
Bamble,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
