ogc_fid;SSBID0250M;pop_tot
576;19442506597500;57
577;19442506597750;38
578;19442506611250;4
579;19442506611500;21
580;19442506611750;1
581;19442506612500;3
582;19442506612750;5
583;19442506613000;57
584;19442506613250;60
585;19442506613500;78
586;19442506613750;73
587;19442506614000;57
588;19442506614250;13
589;19442506616500;10
590;19442506616750;24
591;19442506757250;2
592;19442506757500;3
593;19442506757750;5
594;19442506759500;3
595;19442506759750;91
596;19442506760000;3
597;19442506760250;4
598;19442506762750;2
599;19442506763000;10
600;19442506764000;5
601;19442506768000;9
602;19442506768250;4
603;19442506807500;3
604;19445006596750;13
605;19445006597000;96
606;19445006597250;123
607;19445006597500;66
608;19445006597750;104
609;19445006598000;33
610;19445006611000;2
611;19445006611500;22
612;19445006611750;7
613;19445006612500;3
614;19445006612750;25
615;19445006613000;61
616;19445006613250;101
617;19445006613500;99
618;19445006613750;115
619;19445006614000;64
620;19445006614750;18
621;19445006616500;12
622;19445006616750;17
623;19445006759500;2
624;19445006759750;14
625;19445006760000;9
626;19445006760500;5
627;19445006760750;9
628;19445006763000;8
629;19445006763750;14
630;19445006764000;8
631;19445006768750;1
632;19445006808000;2
633;19447506596500;7
634;19447506596750;29
635;19447506597000;32
636;19447506597250;117
637;19447506597500;98
638;19447506597750;67
639;19447506598000;13
640;19447506598250;7
641;19447506598500;2
642;19447506598750;4
643;19447506599000;9
644;19447506599500;1
645;19447506611500;2
646;19447506612000;14
647;19447506612250;36
648;19447506612500;40
649;19447506612750;40
650;19447506613000;38
651;19447506613250;78
652;19447506613500;78
653;19447506613750;4
654;19447506614250;3
655;19447506614500;22
656;19447506614750;20
657;19447506616750;7
658;19447506620000;3
659;19447506646500;7
660;19447506646750;28
661;19447506647000;5
662;19447506759500;17
663;19447506759750;9
664;19447506760000;16
665;19447506760250;18
666;19447506760500;26
667;19447506760750;3
668;19447506761000;2
669;19447506763750;3
670;19447506764000;1
671;19447506766500;13
672;19447506806000;3
673;19447506807750;1
674;19450006597500;13
675;19450006597750;17
676;19450006598000;13
677;19450006598250;6
678;19450006599000;2
679;19450006599750;3
680;19450006600750;7
681;19450006601250;2
682;19450006611500;5
683;19450006612000;6
684;19450006612250;73
685;19450006612500;129
686;19450006612750;25
687;19450006613000;44
688;19450006613250;8
689;19450006614000;8
690;19450006614250;13
691;19450006614500;2
692;19450006614750;4
693;19450006615000;10
694;19450006615500;2
695;19450006619750;4
696;19450006620250;13
697;19450006620500;3
698;19450006646750;22
699;19450006647000;10
700;19450006760250;12
701;19450006760750;12
702;19450006761000;12
703;19450006761250;31
704;19450006761500;2
705;19450006763500;2
706;19450006766500;2
707;19450006766750;4
708;19450006808250;1
709;19450006815500;29
710;19450006838500;7
711;19450006838750;18
712;19450006839250;8
713;19452506597500;8
714;19452506597750;7
715;19452506598250;1
716;19452506598500;3
717;19452506598750;3
718;19452506599000;18
719;19452506612250;49
720;19452506612500;136
721;19452506612750;1
722;19452506613000;6
723;19452506613500;4
724;19452506613750;21
725;19452506614000;20
726;19452506614750;3
727;19452506617000;2
728;19452506617250;4
729;19452506620000;50
730;19452506620250;22
731;19452506620500;2
732;19452506621000;4
733;19452506646750;3
734;19452506647000;29
735;19452506728250;1
736;19452506752750;9
737;19452506753000;19
738;19452506753250;17
739;19452506756000;4
740;19452506756250;22
741;19452506757000;2
742;19452506757500;11
743;19452506757750;4
744;19452506760000;6
745;19452506760250;4
746;19452506760500;8
747;19452506760750;32
748;19452506761000;23
749;19452506761250;5
750;19452506762750;2
751;19452506763500;10
752;19452506763750;4
753;19452506764000;2
754;19452506815250;7
755;19452506815500;1
756;19452506816000;5
757;19452506838250;12
758;19452506838500;14
759;19452506838750;6
760;19452506839000;7
761;19452506839250;14
762;19452506839500;12
763;19452506839750;2
764;19455006597000;6
765;19455006597250;5
766;19455006597500;11
767;19455006598500;5
768;19455006599250;1
769;19455006599500;7
770;19455006599750;5
771;19455006613250;35
772;19455006613500;19
773;19455006616500;3
774;19455006619750;6
775;19455006620000;39
776;19455006620250;26
777;19455006620750;7
778;19455006621000;4
779;19455006623750;5
780;19455006647000;19
781;19455006647250;10
782;19455006658250;2
783;19455006752500;14
784;19455006752750;19
785;19455006753000;21
786;19455006753250;9
787;19455006753500;27
788;19455006753750;12
789;19455006754000;2
790;19455006754250;4
791;19455006756000;5
792;19455006756250;11
793;19455006756500;59
794;19455006756750;58
795;19455006757000;36
796;19455006757250;3
797;19455006757500;11
798;19455006757750;5
799;19455006759750;4
800;19455006760000;11
801;19455006760250;5
802;19455006761000;3
803;19455006806500;7
804;19455006806750;5
805;19455006815250;5
806;19455006815500;13
807;19455006838000;9
808;19455006838250;47
809;19455006838500;2
810;19455006838750;7
811;19455006839000;25
812;19455006839500;3
813;19457506596250;7
814;19457506596500;1
815;19457506597000;4
816;19457506610750;40
817;19457506611000;98
818;19457506611250;50
819;19457506612500;2
820;19457506613000;9
821;19457506613250;21
822;19457506620000;15
823;19457506620250;6
824;19457506620500;18
825;19457506620750;9
826;19457506622750;6
827;19457506623500;5
828;19457506623750;6
829;19457506624000;5
830;19457506624500;1
831;19457506625000;4
832;19457506678000;2
833;19457506752500;12
834;19457506752750;6
835;19457506753000;5
836;19457506753250;19
837;19457506753500;18
838;19457506753750;31
839;19457506754000;15
840;19457506754250;17
841;19457506756250;2
842;19457506756750;6
843;19457506757250;3
844;19457506757500;33
845;19457506757750;25
846;19457506758000;12
847;19457506759250;2
848;19457506806750;13
849;19457506814250;5
850;19457506815500;2
851;19457506816000;3
852;19457506816250;6
853;19457506838250;3
854;19457506838500;10
855;19457506838750;13
856;19457506839000;2
857;19457506839500;2
858;19457506839750;3
859;19460006596500;1
860;19460006597500;7
861;19460006600500;5
862;19460006601250;3
863;19460006611250;35
864;19460006611500;20
865;19460006611750;34
866;19460006612000;38
867;19460006612250;7
868;19460006612500;54
869;19460006612750;17
870;19460006613250;7
871;19460006619750;2
872;19460006620000;6
873;19460006620250;76
874;19460006620500;98
875;19460006622000;4
876;19460006622250;3
877;19460006622500;5
878;19460006622750;5
879;19460006623000;6
880;19460006623250;11
881;19460006623750;25
882;19460006624000;5
883;19460006624250;5
884;19460006624500;1
885;19460006624750;14
886;19460006625000;5
887;19460006668500;4
888;19460006675000;2
889;19460006678000;2
890;19460006743750;2
891;19460006752250;5
892;19460006753000;3
893;19460006753250;7
894;19460006753500;15
895;19460006753750;9
896;19460006754000;10
897;19460006757750;7
898;19460006758000;6
899;19460006838750;4
900;19462506598750;3
901;19462506600000;2
902;19462506600250;15
903;19462506600500;2
904;19462506600750;2
905;19462506601000;4
906;19462506611250;3
907;19462506611500;9
908;19462506611750;10
909;19462506612000;43
910;19462506612250;35
911;19462506612500;2
912;19462506620000;14
913;19462506620250;46
914;19462506620500;34
915;19462506620750;5
916;19462506622500;4
917;19462506622750;1
918;19462506623000;5
919;19462506623250;7
920;19462506623500;5
921;19462506623750;16
922;19462506624000;10
923;19462506624250;11
924;19462506624500;8
925;19462506625500;6
926;19462506662250;2
927;19462506662750;5
928;19462506666750;5
929;19462506668000;9
930;19462506668250;3
931;19462506674750;7
932;19462506676250;2
933;19462506722750;16
934;19462506743500;5
935;19462506743750;24
936;19462506751000;1
937;19462506753000;12
938;19462506753250;26
939;19462506753500;13
940;19462506753750;9
941;19462506754000;3
942;19465006598250;6
943;19465006598750;4
944;19465006599500;2
945;19465006599750;1
946;19465006611250;2
947;19465006611500;18
948;19465006611750;38
949;19465006612000;14
950;19465006612250;77
951;19465006612500;89
952;19465006618500;2
953;19465006619750;28
954;19465006620000;36
955;19465006620250;27
956;19465006620500;21
957;19465006620750;4
958;19465006621000;5
959;19465006622250;2
960;19465006622500;10
961;19465006623000;9
962;19465006624000;22
963;19465006624250;17
964;19465006624500;6
965;19465006625250;6
966;19465006625500;8
967;19465006653500;1
968;19465006662500;2
969;19465006662750;4
970;19465006663000;3
971;19465006663250;4
972;19465006666750;22
973;19465006667000;12
974;19465006667750;4
975;19465006668000;6
976;19465006668250;19
