Kommuner 2023;Kommunenr 2023;Kommunenavn 2023;Kommuner 2024;Kommunenr 2024;Kommunenavn 2024;Fylke 2023;Fylkesnr 2023;Fylkesnavn 2023;Fylke 2024;Fylkesnr 2024;Fylkesnavn 2024;Fylkesnr 2019;Alle kommuner;Alle kommunenr;Alle kommunenavn;Alle kommunenavn uten parentes
3825 - Vinje;3825;Vinje;4036 - Vinje;4036;Vinje;38 - Vestfold og Telemark;38;Vestfold og Telemark;40 - Telemark;40;Telemark;08;4036 Vinje;4036;Vinje;Vinje
0301 - Oslo;0301;Oslo;0301 - Oslo;0301;Oslo;03 - Oslo;03;Oslo;03 - Oslo;03;Oslo;;;;;
1101 - Eigersund;1101;Eigersund;1101 - Eigersund;1101;Eigersund;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1103 - Stavanger;1103;Stavanger;1103 - Stavanger;1103;Stavanger;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1106 - Haugesund;1106;Haugesund;1106 - Haugesund;1106;Haugesund;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1108 - Sandnes;1108;Sandnes;1108 - Sandnes;1108;Sandnes;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1111 - Sokndal;1111;Sokndal;1111 - Sokndal;1111;Sokndal;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1112 - Lund;1112;Lund;1112 - Lund;1112;Lund;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1114 - Bjerkreim;1114;Bjerkreim;1114 - Bjerkreim;1114;Bjerkreim;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1119 - Hå;1119;Hå;1119 - Hå;1119;Hå;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1120 - Klepp;1120;Klepp;1120 - Klepp;1120;Klepp;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1121 - Time;1121;Time;1121 - Time;1121;Time;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1122 - Gjesdal;1122;Gjesdal;1122 - Gjesdal;1122;Gjesdal;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1124 - Sola;1124;Sola;1124 - Sola;1124;Sola;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1127 - Randaberg;1127;Randaberg;1127 - Randaberg;1127;Randaberg;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1130 - Strand;1130;Strand;1130 - Strand;1130;Strand;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1133 - Hjelmeland;1133;Hjelmeland;1133 - Hjelmeland;1133;Hjelmeland;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1134 - Suldal;1134;Suldal;1134 - Suldal;1134;Suldal;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1135 - Sauda;1135;Sauda;1135 - Sauda;1135;Sauda;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1144 - Kvitsøy;1144;Kvitsøy;1144 - Kvitsøy;1144;Kvitsøy;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1145 - Bokn;1145;Bokn;1145 - Bokn;1145;Bokn;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1146 - Tysvær;1146;Tysvær;1146 - Tysvær;1146;Tysvær;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1149 - Karmøy;1149;Karmøy;1149 - Karmøy;1149;Karmøy;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1151 - Utsira;1151;Utsira;1151 - Utsira;1151;Utsira;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1160 - Vindafjord;1160;Vindafjord;1160 - Vindafjord;1160;Vindafjord;11 - Rogaland;11;Rogaland;11 - Rogaland;11;Rogaland;;;;;
1505 - Kristiansund;1505;Kristiansund;1505 - Kristiansund;1505;Kristiansund;15 - Møre og Romsdal;15;Møre og Romsdal;15 - Møre og Romsdal;15;Møre og Romsdal;;;;;
1506 - Molde;1506;Molde;1506 - Molde;1506;Molde;15 - Møre og Romsdal;15;Møre og Romsdal;15 - Møre og Romsdal;15;Møre og Romsdal;;;;;
1507 - Ålesund;1507;Ålesund;1508 - Ålesund;1508;Ålesund;15 - Møre og Romsdal;15;Møre og Romsdal;15 - Møre og Romsdal;15;Møre og Romsdal;;;;;
1507 - Ålesund;1507;Ålesund;1580 - Haram;1580;Haram;15 - Møre og Romsdal;15;Møre og Romsdal;15 - Møre og Romsdal;15;Møre og Romsdal;;;;;
1511 - Vanylven;1511;Vanylven;1511 - Vanylven;1511;Vanylven;15 - Møre og Romsdal;15;Møre og Romsdal;15 - Møre og Romsdal;15;Møre og Romsdal;;;;;
1514 - Sande;1514;Sande;1514 - Sande;1514;Sande;15 - Møre og Romsdal;15;Møre og Romsdal;15 - Møre og Romsdal;15;Møre og Romsdal;;;;;
1515 - Herøy (Møre og Romsdal);1515;Herøy (Møre og Romsdal);1515 - Herøy (Møre og Romsdal);1515;Herøy (Møre og Romsdal);15 - Møre og Romsdal;15;Møre og Romsdal;15 - Møre og Romsdal;15;Møre og Romsdal;;;;;
1516 - Ulstein;1516;Ulstein;1516 - Ulstein;1516;Ulstein;15 - Møre og Romsdal;15;Møre og Romsdal;15 - Møre og Romsdal;15;Møre og Romsdal;;;;;
1517 - Hareid;1517;Hareid;1517 - Hareid;1517;Hareid;15 - Møre og Romsdal;15;Møre og Romsdal;15 - Møre og Romsdal;15;Møre og Romsdal;;;;;
1520 - Ørsta;1520;Ørsta;1520 - Ørsta;1520;Ørsta;15 - Møre og Romsdal;15;Møre og Romsdal;15 - Møre og Romsdal;15;Møre og Romsdal;;;;;
1525 - Stranda;1525;Stranda;1525 - Stranda;1525;Stranda;15 - Møre og Romsdal;15;Møre og Romsdal;15 - Møre og Romsdal;15;Møre og Romsdal;;;;;
1528 - Sykkylven;1528;Sykkylven;1528 - Sykkylven;1528;Sykkylven;15 - Møre og Romsdal;15;Møre og Romsdal;15 - Møre og Romsdal;15;Møre og Romsdal;;;;;
1531 - Sula;1531;Sula;1531 - Sula;1531;Sula;15 - Møre og Romsdal;15;Møre og Romsdal;15 - Møre og Romsdal;15;Møre og Romsdal;;;;;
1532 - Giske;1532;Giske;1532 - Giske;1532;Giske;15 - Møre og Romsdal;15;Møre og Romsdal;15 - Møre og Romsdal;15;Møre og Romsdal;;;;;
