Dato,Nivå,Geografisk enhet,Yrke,Antall søkere,Antall utlyste stillinger
2025-06-01,Fylker,Svalbard og øvrige områder,Kontorarbeid,5.0,
2025-06-01,Fylker,Svalbard og øvrige områder,Meglere og konsulenter,3.0,
2025-06-01,Fylker,Svalbard og øvrige områder,Reiseliv og transport,3.0,
2025-06-01,Fylker,Svalbard og øvrige områder,Serviceyrker og annet arbeid,1.0,
2025-06-01,Fylker,Svalbard og øvrige områder,Undervisning,2.0,
2025-06-01,Fylker,Telemark,Akademiske yrker,53.0,11.0
2025-06-01,Fylker,Telemark,Barne- og ungdomsarbeid,171.0,26.0
2025-06-01,Fylker,Telemark,Butikk- og salgsarbeid,398.0,171.0
2025-06-01,Fylker,Telemark,Bygg og anlegg,355.0,50.0
2025-06-01,Fylker,Telemark,"Helse, pleie og omsorg",263.0,246.0
2025-06-01,Fylker,Telemark,Industriarbeid,342.0,55.0
2025-06-01,Fylker,Telemark,Ingen yrkesbakgrunn eller uoppgitt,540.0,4.0
2025-06-01,Fylker,Telemark,Ingeniør- og ikt-fag,160.0,35.0
2025-06-01,Fylker,Telemark,"Jordbruk, skogbruk og fiske",42.0,4.0
2025-06-01,Fylker,Telemark,Kontorarbeid,207.0,52.0
2025-06-01,Fylker,Telemark,Ledere,109.0,19.0
2025-06-01,Fylker,Telemark,Meglere og konsulenter,55.0,12.0
2025-06-01,Fylker,Telemark,Reiseliv og transport,293.0,64.0
2025-06-01,Fylker,Telemark,Serviceyrker og annet arbeid,362.0,102.0
2025-06-01,Fylker,Telemark,Undervisning,111.0,44.0
2025-06-01,Fylker,Troms,Akademiske yrker,43.0,19.0
2025-06-01,Fylker,Troms,Barne- og ungdomsarbeid,93.0,169.0
2025-06-01,Fylker,Troms,Butikk- og salgsarbeid,163.0,144.0
2025-06-01,Fylker,Troms,Bygg og anlegg,186.0,80.0
2025-06-01,Fylker,Troms,"Helse, pleie og omsorg",143.0,591.0
2025-06-01,Fylker,Troms,Industriarbeid,235.0,69.0
2025-06-01,Fylker,Troms,Ingen yrkesbakgrunn eller uoppgitt,283.0,1.0
2025-06-01,Fylker,Troms,Ingeniør- og ikt-fag,76.0,51.0
2025-06-01,Fylker,Troms,"Jordbruk, skogbruk og fiske",40.0,4.0
2025-06-01,Fylker,Troms,Kontorarbeid,117.0,141.0
2025-06-01,Fylker,Troms,Ledere,48.0,31.0
2025-06-01,Fylker,Troms,Meglere og konsulenter,30.0,22.0
2025-06-01,Fylker,Troms,Reiseliv og transport,217.0,92.0
2025-06-01,Fylker,Troms,Serviceyrker og annet arbeid,197.0,155.0
2025-06-01,Fylker,Troms,Undervisning,93.0,189.0
2025-06-01,Fylker,Trøndelag,Akademiske yrker,132.0,52.0
2025-06-01,Fylker,Trøndelag,Barne- og ungdomsarbeid,320.0,171.0
2025-06-01,Fylker,Trøndelag,Butikk- og salgsarbeid,724.0,511.0
2025-06-01,Fylker,Trøndelag,Bygg og anlegg,754.0,226.0
2025-06-01,Fylker,Trøndelag,"Helse, pleie og omsorg",500.0,500.0
2025-06-01,Fylker,Trøndelag,Industriarbeid,734.0,267.0
2025-06-01,Fylker,Trøndelag,Ingen yrkesbakgrunn eller uoppgitt,1055.0,
2025-06-01,Fylker,Trøndelag,Ingeniør- og ikt-fag,418.0,150.0
2025-06-01,Fylker,Trøndelag,"Jordbruk, skogbruk og fiske",116.0,25.0
2025-06-01,Fylker,Trøndelag,Kontorarbeid,408.0,161.0
2025-06-01,Fylker,Trøndelag,Ledere,249.0,66.0
2025-06-01,Fylker,Trøndelag,Meglere og konsulenter,139.0,110.0
2025-06-01,Fylker,Trøndelag,Reiseliv og transport,671.0,183.0
2025-06-01,Fylker,Trøndelag,Serviceyrker og annet arbeid,760.0,239.0
2025-06-01,Fylker,Trøndelag,Undervisning,392.0,165.0
2025-06-01,Fylker,UKJENT,Ledere,,3.0
2025-06-01,Fylker,UTLAND,Bygg og anlegg,,16.0
2025-06-01,Fylker,UTLAND,Industriarbeid,,17.0
2025-06-01,Fylker,UTLAND,Ingeniør- og ikt-fag,,22.0
2025-06-01,Fylker,UTLAND,Kontorarbeid,,20.0
2025-06-01,Fylker,UTLAND,Serviceyrker og annet arbeid,,1.0
2025-06-01,Fylker,Ukjent,Barne- og ungdomsarbeid,4.0,
2025-06-01,Fylker,Ukjent,Butikk- og salgsarbeid,5.0,
2025-06-01,Fylker,Ukjent,Bygg og anlegg,90.0,
2025-06-01,Fylker,Ukjent,"Helse, pleie og omsorg",9.0,
2025-06-01,Fylker,Ukjent,Industriarbeid,52.0,
2025-06-01,Fylker,Ukjent,Ingen yrkesbakgrunn eller uoppgitt,20.0,
2025-06-01,Fylker,Ukjent,Ingeniør- og ikt-fag,5.0,
2025-06-01,Fylker,Ukjent,"Jordbruk, skogbruk og fiske",3.0,
2025-06-01,Fylker,Ukjent,Kontorarbeid,8.0,
2025-06-01,Fylker,Ukjent,Ledere,2.0,
2025-06-01,Fylker,Ukjent,Meglere og konsulenter,1.0,
2025-06-01,Fylker,Ukjent,Reiseliv og transport,12.0,
2025-06-01,Fylker,Ukjent,Serviceyrker og annet arbeid,17.0,
2025-06-01,Fylker,Ukjent,Undervisning,3.0,
2025-06-01,Fylker,Vestfold,Akademiske yrker,95.0,33.0
2025-06-01,Fylker,Vestfold,Barne- og ungdomsarbeid,258.0,136.0
2025-06-01,Fylker,Vestfold,Butikk- og salgsarbeid,524.0,182.0
2025-06-01,Fylker,Vestfold,Bygg og anlegg,519.0,128.0
2025-06-01,Fylker,Vestfold,"Helse, pleie og omsorg",350.0,191.0
2025-06-01,Fylker,Vestfold,Industriarbeid,360.0,125.0
2025-06-01,Fylker,Vestfold,Ingen yrkesbakgrunn eller uoppgitt,606.0,
2025-06-01,Fylker,Vestfold,Ingeniør- og ikt-fag,255.0,118.0
2025-06-01,Fylker,Vestfold,"Jordbruk, skogbruk og fiske",50.0,5.0
2025-06-01,Fylker,Vestfold,Kontorarbeid,424.0,69.0
2025-06-01,Fylker,Vestfold,Ledere,226.0,23.0
2025-06-01,Fylker,Vestfold,Meglere og konsulenter,150.0,33.0
2025-06-01,Fylker,Vestfold,Reiseliv og transport,417.0,177.0
2025-06-01,Fylker,Vestfold,Serviceyrker og annet arbeid,486.0,94.0
2025-06-01,Fylker,Vestfold,Undervisning,156.0,87.0
2025-06-01,Fylker,Vestland,Akademiske yrker,201.0,88.0
2025-06-01,Fylker,Vestland,Barne- og ungdomsarbeid,435.0,201.0
2025-06-01,Fylker,Vestland,Butikk- og salgsarbeid,834.0,473.0
2025-06-01,Fylker,Vestland,Bygg og anlegg,762.0,466.0
2025-06-01,Fylker,Vestland,"Helse, pleie og omsorg",572.0,789.0
2025-06-01,Fylker,Vestland,Industriarbeid,936.0,388.0
2025-06-01,Fylker,Vestland,Ingen yrkesbakgrunn eller uoppgitt,1517.0,
2025-06-01,Fylker,Vestland,Ingeniør- og ikt-fag,529.0,296.0
2025-06-01,Fylker,Vestland,"Jordbruk, skogbruk og fiske",109.0,17.0
