Navn,Org. nr.,Overordnet enhet,Antall ansatte,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje
Geiteryggen cafe AS,966733918,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Ulefoss smakeverk AS,918478086,,13,2100,Private aksjeselskaper mv.,,Nome,Nome,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Victoria café & dine AS,917295328,,13,2100,Private aksjeselskaper mv.,,Nome,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Bø blad AS,842831032,,13,2100,Private aksjeselskaper mv.,,Midt-Telemark,Midt-Telemark,Aksjeselskap,58.130,Utgivelse av aviser,,,,
Gat-ship AS,989126377,,13,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,58.290,Utgivelse av annen programvare,,,,
Informatiq AS,921069308,,13,2100,Private aksjeselskaper mv.,,Kragerø,Bærum,Aksjeselskap,62.020,Konsulentvirksomhet tilknyttet informasjonsteknologi,,,,
Jes eiendom AS,859790992,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,68.209,Utleie av egen eller leid fast eiendom ellers,,,,
Vestmar regnskap AS,982913195,,13,2100,Private aksjeselskaper mv.,,Drangedal,,Aksjeselskap,69.201,Regnskap og bokføring,,,,
Trainee Vestfold og Telemark AS,913492099,,13,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,70.220,Bedriftsrådgivning og annen administrativ rådgivning,,,,
Feste landskap arkitektur sør AS,960910680,,13,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,71.113,Landskapsarkitekttjenester,,,,
Plan og eiendom AS,913997425,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,71.121,Byggeteknisk konsulentvirksomhet,,,,
Cemit AS,921161042,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,74.909,"Annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted",,,,
Maskintjenester AS,996787028,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,81.299,Annen rengjøringsvirksomhet ikke nevnt annet sted,,,,
Hjartdal kommune setraladministrasjon,974644010,964963649,13,6500,Kommuneforvaltningen,,Hjartdal,Hjartdal,Organisasjonsledd,84.110,Generell offentlig administrasjon,,,,
Hjartdal kommune seksjon for drift og utbygging,983631118,964963649,13,6500,Kommuneforvaltningen,,Hjartdal,,Organisasjonsledd,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Kilebygda montessoriskole sa,994833499,,13,2100,Private aksjeselskaper mv.,,Skien,,Samvirkeforetak,85.201,Ordinær grunnskoleundervisning,,,,
Kragerøskjærgården montessoriskole,998169070,,13,2100,Private aksjeselskaper mv.,,Kragerø,,Forening/lag/innretning,85.201,Ordinær grunnskoleundervisning,,,,
Kulturlandskaperne AS,999336744,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,85.609,Andre tjenester tilknyttet undervisning,,,,
Idea plast og mekanisk AS,925880809,,13,1520,Kommunalt eide aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,88.994,Varig tilrettelagt arbeid,22.220,Produksjon av plastemballasje,,
Kviteseid sokn,876991772,,13,6500,Kommuneforvaltningen,,Kviteseid,,Den norske kirke,94.910,Religiøse organisasjoner,,,,
Siljan sokn,976991346,,13,6500,Kommuneforvaltningen,,Siljan,Siljan,Den norske kirke,94.910,Religiøse organisasjoner,,,,
Vinje kyrkjelege fellesråd,976991966,,13,6500,Kommuneforvaltningen,,Vinje,Vinje,Den norske kirke,94.910,Religiøse organisasjoner,,,,
Løvenskiold-fossum forvaltning ans,987868856,,12,2300,Personlige foretak,,Skien,,Ansvarlig selskap med solidarisk ansvar,01.110,"Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster",,,,
Telemark frukthageservice AS,920239854,,12,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,01.610,Tjenester tilknyttet planteproduksjon,,,,
Telemarkrøye AS,998090458,,12,2100,Private aksjeselskaper mv.,,Fyresdal,,Aksjeselskap,03.221,Produksjon av matfisk og skalldyr i ferskvannsbasert fiskeoppdrett,,,,
Epleblomsten AS,914968682,,12,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,10.320,Produksjon av juice av frukt og grønnsaker,,,,
Norsk formblåsing AS,992789921,,12,2100,Private aksjeselskaper mv.,,Notodden,Sandefjord,Aksjeselskap,22.290,Produksjon av plastprodukter ellers,,,,
Frontal aluminium AS,959957592,,12,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,25.120,Produksjon av dører og vinduer av metall,,,,
Glassmester thoresen AS,954769526,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,25.120,Produksjon av dører og vinduer av metall,,,,
Moflaten smie og verksted AS,914365074,,12,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,33.120,Reparasjon av maskiner,,,,
Byggfirma magnar larsen AS,983651445,,12,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Gs bygg AS,927336359,,12,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Kv bygg AS,922699658,,12,2100,Private aksjeselskaper mv.,,Drangedal,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Steinhaug & kleven AS,989974211,,12,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Jernbaneteknikk AS,922383650,,12,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,42.120,Bygging av jernbaner og undergrunnsbaner,,,,
Sønstegård AS,989158457,,12,2100,Private aksjeselskaper mv.,,Notodden,Oslo,Aksjeselskap,42.990,Bygging av andre anlegg ikke nevnt annet sted,,,,
Sk anlegg AS,925450324,,12,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,43.120,Grunnarbeid,,,,
Vinje maskin AS,817436722,,12,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,43.120,Grunnarbeid,,,,
Brevik elektro AS,922189838,,12,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
Elektriker'n sauherad AS,992886366,,12,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
