Geografi,År,Kjønn,Alder,Dødsårsak,Måltall,Antall,SortKjonn,SortAlder
Porsgrunn,2002-2011,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",1037.3,1,1
Porsgrunn,2002-2011,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",20.4,1,1
Porsgrunn,2002-2011,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",364.0,1,1
Porsgrunn,2002-2011,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",46.8,1,1
Porsgrunn,2002-2011,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",274.6,1,1
Porsgrunn,2002-2011,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",102.9,1,1
Porsgrunn,2002-2011,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",53.9,1,1
Porsgrunn,2003-2012,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",1017.1,1,1
Porsgrunn,2003-2012,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",20.4,1,1
Porsgrunn,2003-2012,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",342.7,1,1
Porsgrunn,2003-2012,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",48.9,1,1
Porsgrunn,2003-2012,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",268.8,1,1
Porsgrunn,2003-2012,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",102.9,1,1
Porsgrunn,2003-2012,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",54.4,1,1
Porsgrunn,2004-2013,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",991.7,1,1
Porsgrunn,2004-2013,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",17.2,1,1
Porsgrunn,2004-2013,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",325.0,1,1
Porsgrunn,2004-2013,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",48.1,1,1
Porsgrunn,2004-2013,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",260.2,1,1
Porsgrunn,2004-2013,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",99.7,1,1
Porsgrunn,2004-2013,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",55.5,1,1
Porsgrunn,2005-2014,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",984.4,1,1
Porsgrunn,2005-2014,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",15.4,1,1
Porsgrunn,2005-2014,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",312.3,1,1
Porsgrunn,2005-2014,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",49.0,1,1
