Geografi,År,Kjønn,Alder,Vaksine mot,Måltall,Andel,SortKjonn,SortAlder
Drangedal,2013-2017,Kjønn samlet,9 år,Difteri,andel (prosent),87.2,1,1
Drangedal,2013-2017,Kjønn samlet,9 år,Kikhoste,andel (prosent),86.8,1,1
Drangedal,2013-2017,Kjønn samlet,9 år,Meslinger,andel (prosent),87.6,1,1
Drangedal,2013-2017,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),88.0,1,1
Drangedal,2014-2018,Kjønn samlet,9 år,Difteri,andel (prosent),87.3,1,1
Drangedal,2014-2018,Kjønn samlet,9 år,Kikhoste,andel (prosent),86.9,1,1
Drangedal,2014-2018,Kjønn samlet,9 år,Meslinger,andel (prosent),89.4,1,1
Drangedal,2014-2018,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),88.6,1,1
Drangedal,2015-2019,Kjønn samlet,9 år,Difteri,andel (prosent),90.0,1,1
Drangedal,2015-2019,Kjønn samlet,9 år,Kikhoste,andel (prosent),90.0,1,1
Drangedal,2015-2019,Kjønn samlet,9 år,Meslinger,andel (prosent),92.7,1,1
Drangedal,2015-2019,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),91.8,1,1
Drangedal,2016-2020,Kjønn samlet,9 år,Difteri,andel (prosent),92.4,1,1
Drangedal,2016-2020,Kjønn samlet,9 år,Kikhoste,andel (prosent),92.4,1,1
Drangedal,2016-2020,Kjønn samlet,9 år,Meslinger,andel (prosent),96.6,1,1
Drangedal,2016-2020,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.1,1,1
Drangedal,2017-2021,Kjønn samlet,9 år,Difteri,andel (prosent),93.9,1,1
Drangedal,2017-2021,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.9,1,1
Drangedal,2017-2021,Kjønn samlet,9 år,Meslinger,andel (prosent),97.8,1,1
Drangedal,2017-2021,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.2,1,1
Drangedal,2018-2022,Kjønn samlet,9 år,Difteri,andel (prosent),95.7,1,1
Drangedal,2018-2022,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.7,1,1
Drangedal,2018-2022,Kjønn samlet,9 år,Meslinger,andel (prosent),97.4,1,1
Drangedal,2018-2022,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.6,1,1
Drangedal,2019-2023,Kjønn samlet,9 år,Difteri,andel (prosent),95.3,1,1
Drangedal,2019-2023,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.3,1,1
Drangedal,2019-2023,Kjønn samlet,9 år,Meslinger,andel (prosent),97.0,1,1
Drangedal,2019-2023,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.7,1,1
Drangedal,2020-2024,Kjønn samlet,9 år,Difteri,andel (prosent),95.0,1,1
Drangedal,2020-2024,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.0,1,1
Drangedal,2020-2024,Kjønn samlet,9 år,Meslinger,andel (prosent),96.8,1,1
Drangedal,2020-2024,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.5,1,1
Nome,2011-2015,Kjønn samlet,9 år,Difteri,andel (prosent),92.8,1,1
Nome,2011-2015,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.6,1,1
Nome,2011-2015,Kjønn samlet,9 år,Meslinger,andel (prosent),95.6,1,1
Nome,2011-2015,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),92.2,1,1
Nome,2012-2016,Kjønn samlet,9 år,Difteri,andel (prosent),93.5,1,1
Nome,2012-2016,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.3,1,1
Nome,2012-2016,Kjønn samlet,9 år,Meslinger,andel (prosent),96.7,1,1
Nome,2012-2016,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),93.2,1,1
Nome,2013-2017,Kjønn samlet,9 år,Difteri,andel (prosent),92.9,1,1
Nome,2013-2017,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.8,1,1
Nome,2013-2017,Kjønn samlet,9 år,Meslinger,andel (prosent),96.9,1,1
Nome,2013-2017,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),92.7,1,1
Nome,2014-2018,Kjønn samlet,9 år,Difteri,andel (prosent),94.0,1,1
Nome,2014-2018,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.4,1,1
Nome,2014-2018,Kjønn samlet,9 år,Meslinger,andel (prosent),98.3,1,1
Nome,2014-2018,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),93.7,1,1
Nome,2015-2019,Kjønn samlet,9 år,Difteri,andel (prosent),94.4,1,1
Nome,2015-2019,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.1,1,1
