ogc_fid;SSBID250M;est_tot;emp_tot
1020;19487506738750;1;1
1021;19487506740500;1;0
1022;19487506740750;3;1
1023;19487506741000;1;2
1024;19487506746500;1;0
1025;19487506747000;3;48
1026;19487506747250;3;67
1027;19487506748000;8;83
1028;19487506748250;1;0
1029;19487506813250;1;0
1030;19490006605250;1;3
1031;19490006606250;4;0
1032;19490006607000;1;0
1033;19490006609500;1;0
1034;19490006610250;1;0
1035;19490006610500;5;0
1036;19490006610750;2;1
1037;19490006611000;4;58
1038;19490006611250;6;5
1039;19490006611500;11;15
1040;19490006611750;34;94
1041;19490006612000;6;1
1042;19490006612250;3;0
1043;19490006612500;8;0
1044;19490006612750;1;0
1045;19490006613500;2;210
1046;19490006614750;1;0
1047;19490006616000;1;0
1048;19490006618000;9;321
1049;19490006618250;5;23
1050;19490006619000;4;0
1051;19490006619250;2;0
1052;19490006619750;1;15
1053;19490006621500;3;0
1054;19490006622250;4;0
1055;19490006622500;2;0
1056;19490006623000;1;0
1057;19490006623250;4;66
1058;19490006625500;7;449
1059;19490006625750;57;183
1060;19490006626000;158;889
1061;19490006626250;138;1151
1062;19490006626500;69;348
1063;19490006626750;29;39
1064;19490006627000;12;17
1065;19490006627250;10;1
1066;19490006627500;15;122
1067;19490006627750;13;44
1068;19490006628000;10;3
1069;19490006628250;8;1
1070;19490006628500;4;0
1071;19490006628750;3;1
1072;19490006629000;5;26
1073;19490006629250;2;0
1074;19490006629500;5;4
1075;19490006629750;4;2
1076;19490006630000;5;1
1077;19490006632000;4;0
1078;19490006632250;1;0
1079;19490006634500;1;2
1080;19490006634750;8;38
1081;19490006647500;3;8
1082;19490006648250;1;1
1083;19490006648500;2;0
1084;19490006648750;1;0
1085;19490006666250;1;0
1086;19490006668750;8;1
1087;19490006669000;3;10
1088;19490006669250;4;3
1089;19490006669750;2;6
1090;19490006670000;3;0
1091;19490006670250;1;0
1092;19490006706250;1;0
1093;19490006712750;1;0
1094;19490006713250;2;0
1095;19490006713500;2;0
1096;19490006716000;1;0
1097;19490006716250;1;0
1098;19490006716500;2;3
1099;19490006731000;1;2
1100;19490006731250;1;0
1101;19490006733500;1;0
1102;19490006734250;2;2
1103;19490006734750;1;0
1104;19490006735750;1;0
1105;19490006738750;1;0
1106;19490006739500;1;0
1107;19490006740000;3;47
1108;19490006741000;1;0
1109;19490006741250;1;0
1110;19490006741500;4;4
1111;19490006741750;2;1
1112;19490006742000;4;0
1113;19490006742500;1;0
1114;19490006743250;1;0
1115;19490006743750;1;0
1116;19490006744000;1;0
1117;19490006745000;4;2
1118;19490006745750;2;5
1119;19490006746000;3;0
1120;19490006746250;2;0
1121;19492506607250;1;0
1122;19492506607500;1;0
1123;19492506608000;1;0
1124;19492506608250;2;1
1125;19492506608500;2;25
1126;19492506608750;2;0
1127;19492506609250;1;0
1128;19492506610250;2;0
1129;19492506610500;1;0
1130;19492506610750;5;1
1131;19492506611000;3;1
1132;19492506611250;5;0
1133;19492506611500;9;3
1134;19492506611750;23;54
1135;19492506612000;1;0
1136;19492506612250;3;2
1137;19492506612500;2;5
1138;19492506612750;3;0
1139;19492506613000;1;0
1140;19492506617500;1;73
1141;19492506619750;1;2
1142;19492506621250;5;1
1143;19492506621500;1;7
1144;19492506622000;4;15
1145;19492506622500;1;0
