År;Region;Alder;Utflytting;Innflytting;Nettoflytting
2016;3814 Kragerø;0 år;5;4;-1
2016;3814 Kragerø;1 år;8;5;-3
2016;3814 Kragerø;10 år;4;2;-2
2016;3814 Kragerø;11 år;2;5;3
2016;3814 Kragerø;12 år;;2;2
2016;3814 Kragerø;13 år;4;2;-2
2016;3814 Kragerø;14 år;8;1;-7
2016;3814 Kragerø;15 år;2;3;1
2016;3814 Kragerø;16 år;2;4;2
2016;3814 Kragerø;17 år;7;8;1
2016;3814 Kragerø;18 år;2;8;6
2016;3814 Kragerø;19 år;14;14;0
2016;3814 Kragerø;2 år;7;6;-1
2016;3814 Kragerø;20 år;21;14;-7
2016;3814 Kragerø;21 år;24;11;-13
2016;3814 Kragerø;22 år;15;17;2
2016;3814 Kragerø;23 år;12;14;2
2016;3814 Kragerø;24 år;17;6;-11
2016;3814 Kragerø;25 år;16;14;-2
2016;3814 Kragerø;26 år;8;15;7
2016;3814 Kragerø;27 år;13;14;1
2016;3814 Kragerø;28 år;11;6;-5
2016;3814 Kragerø;29 år;15;11;-4
2016;3814 Kragerø;3 år;5;6;1
2016;3814 Kragerø;30 år;8;12;4
2016;3814 Kragerø;31 år;5;12;7
2016;3814 Kragerø;32 år;6;10;4
2016;3814 Kragerø;33 år;2;10;8
2016;3814 Kragerø;34 år;7;8;1
2016;3814 Kragerø;35 år;3;6;3
2016;3814 Kragerø;36 år;2;8;6
2016;3814 Kragerø;37 år;4;2;-2
2016;3814 Kragerø;38 år;8;7;-1
2016;3814 Kragerø;39 år;5;5;0
2016;3814 Kragerø;4 år;4;7;3
2016;3814 Kragerø;40 år;2;3;1
2016;3814 Kragerø;41 år;2;3;1
2016;3814 Kragerø;42 år;5;5;0
2016;3814 Kragerø;43 år;5;2;-3
2016;3814 Kragerø;44 år;7;3;-4
2016;3814 Kragerø;45 år;7;4;-3
2016;3814 Kragerø;46 år;5;2;-3
2016;3814 Kragerø;47 år;2;3;1
2016;3814 Kragerø;48 år;7;3;-4
2016;3814 Kragerø;49 år;3;4;1
2016;3814 Kragerø;5 år;2;4;2
2016;3814 Kragerø;50 år;4;4;0
2016;3814 Kragerø;51 år;7;12;5
2016;3814 Kragerø;52 år;3;2;-1
