ULYKKESDATO;ULYKKESKLOKKESLETT;UKEDAG;ULYKKESKODE;ANTALL ENHETER;VEGTYPE;STEDSFORHOLD;TETTSTED;FARTSGRENSE;HISTORISK VEGKATEGORI;HISTORISK VEGNUMMER;UID;UKEDAGSTYPE;ULYKKESTYPE;ULYKKESTYPE UNDERKATEGORI;ÅR;ANTALL ANDRE ENHETER;ANTALL BUSS;ANTALL FOTGJENGERE;ANTALL LASTEBIL;ANTALL LETT MC;ANTALL MC;ANTALL MOPED;ANTALL PERSONBIL;ANTALL SKINNEGÅENDE MATERIELL;ANTALL LITEN ELEKTRISK MOTORVOGN;ANTALL SYKKEL;ANTALL TRAKTOR;ANTALL UKJENTE ENHETER;ANTALL VAREBIL;VEGBELYSNING;FYLKENAVN;FYLKENUMMER;KOMMUNENAVN;KOMMUNENUMMER;VEGSYSTEMREFERANSE;VEGKATEGORI;VEGNUMMER;VEGOBJEKT_ID;Latitude;Longitude;VEGKATEGORI (grupper);ALVORLIGHETSGRAD;MÅNED;ANTALL DREPTE;ANTALL MEGET ALVORLIG SKADET;ANTALL ALVORLIG SKADET;ANTALL LETTERE SKADET;DEKKETYPE;FØREFORHOLD;VÆRFORHOLD;LYSFORHOLD;KJØREFELTTYPE;ANTALL KJØREFELT;ÅRSDØGNTRAFIKK
tirsdag 17. april 2007;12:07:00;Tirsdag;Venstresving foran kjørende i samme retning;2;Vanlig veg/gate;Annet (P-plass, torv, o. l.);Tettsted;40;Fylkesveg;109;UID1000220236;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;2007;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Nei;Telemark;40;Nome;4018;FV3310 S1D1 m766;Fylkesveg;3310;132212279;59,29897455;9,105028277;Fylkesveg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;;3176
tirsdag 17. april 2007;16:43:00;Tirsdag;Venstresving foran kjørende i samme retning;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Ikke tettsted;60;Riksveg;36;UID1000220248;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;2007;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Nei;Telemark;40;Porsgrunn;4001;FV32 S8D1 m6368;Fylkesveg;32;132212336;59,12613096;9,691523584;Fylkesveg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;3;11124
tirsdag 17. april 2012;09:10:00;Tirsdag;Fotgjenger krysset kjørebanen foran høyresvingende kjøretøy i kryss;2;Vanlig veg/gate;4 armet kryss (X-kryss);Tettsted;50;Fylkesveg;32;UID1000254385;Yrkesdøgn;Fotgjenger/akende;Fotgjenger krysset kjørebanen;2012;0;0;1;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Skien;4003;FV32 S7D1 m1388;Fylkesveg;32;328303101;59,20964139;9,605421514;Fylkesveg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;10000
tirsdag 17. april 2012;17:50:00;Tirsdag;Enslig kjøretøy kjørte utfor på høyre side på rett vegstrekning;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Tettsted;60;Fylkesveg;32;UID1000254387;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2012;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ja;Telemark;40;Porsgrunn;4001;FV32 S8D1 m4733;Fylkesveg;32;328366154;59,1355825;9,669026868;Fylkesveg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;16700
tirsdag 17. august 1993;04:55:00;Tirsdag;Enslig kjøretøy kjørte utfor på venstre side i høyrekurve;1;Ukjent;3-armet kryss (T-kryss, Y-kryss);Tettsted;50;Kommunal veg;1500;UID1000205985;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;1993;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Notodden;4005;KV1500 S1D1 m0;Kommunal veg;1500;107155400;59,55740906;9,256826314;Kommunal veg;;8;;;;;Ukjent;Våt, bar veg;God sikt, nedbør;Tussmørke, skumring;Ukjent;;
tirsdag 17. august 2004;20:11:00;Tirsdag;Møting i kurve;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Europaveg;134;UID1000201494;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;2004;0;0;0;1;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Tokke;4034;;;0;107128672;59,4899112;8,223216116;Fylkesveg;;8;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, nedbør;Dagslys;Vanlig kjørefelt;2;1948
tirsdag 17. august 2010;14:20:00;Tirsdag;Venstresving foran kjørende i motsatt retning;2;Vanlig veg/gate;4 armet kryss (X-kryss);Tettsted;50;Kommunal veg;5225;UID1000244576;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;2010;0;0;0;0;1;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Porsgrunn;4001;KV5225 S1D1 m145;Kommunal veg;5225;262491943;59,14510415;9,645700456;Kommunal veg;;8;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, nedbør;Dagslys;Vanlig kjørefelt;2;
tirsdag 17. august 2021;18:20:00;Tirsdag;Enslig kjøretøy kjørte utfor på venstre side på rett vegstrekning;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Fylkesveg;3282;UID9494759582;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2021;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ja;Telemark;40;Skien;4003;FV3282 S1D1 m3581;Fylkesveg;3282;1015550066;59,2417079;9,572658717;Fylkesveg;;8;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Ukjent;Ukjent;2;2620
tirsdag 17. desember 1996;11:30:00;Tirsdag;Ulykke ved av- eller påstigning av kjøretøy;1;Annet (plass m.m.);Annet (P-plass, torv, o. l.);Tettsted;;Kommunal veg;85900;UID1000204647;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);1996;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Ukjent;Telemark;40;Skien;4003;KV85900 S1D1 m382;Kommunal veg;85900;107147243;59,20996038;9,608547528;Kommunal veg;;12;;;;;Asfalt, oljegrus;Delvis snø / isbelagt veg;God sikt, opphold;Dagslys;Busslomme / -holdeplass;;
tirsdag 17. desember 2002;16:30:00;Tirsdag;Påkjøring bakfra;3;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;60;Riksveg;36;UID1000202243;Yrkesdøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;2002;0;0;0;0;0;0;0;3;0;0;0;0;0;0;Nei;Telemark;40;Skien;4003;FV59 S1D10 m1058;Fylkesveg;59;107133067;59,19374489;9,59237569;Fylkesveg;;12;;;;;Asfalt, oljegrus;Snø / isbelagt veg;God sikt, opphold;Mørkt med vegbelysning;Vanlig kjørefelt;2;10800
tirsdag 17. desember 2002;17:10:00;Tirsdag;Enslig kjøretøy kjørte utfor på høyre side på rett vegstrekning;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;60;Riksveg;354;UID1000202254;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2002;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Porsgrunn;4001;FV354 S1D1 m2666;Fylkesveg;354;107133131;59,09478094;9,687182533;Fylkesveg;;12;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Tussmørke, skumring;Vanlig kjørefelt;2;9100
tirsdag 17. februar 1998;06:45:00;Tirsdag;Møting på rett vegstrekning;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Riksveg;356;UID1000204162;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;1998;0;0;0;0;1;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Skien;4003;FV356 S2D1 m4988;Fylkesveg;356;107144273;59,128087;9,559565532;Fylkesveg;;2;;;;;Asfalt, oljegrus;Snø / isbelagt veg;God sikt, opphold;Mørkt uten vegbelysning;Forbikjøringsfelt;2;
tirsdag 17. februar 2009;08:58:00;Tirsdag;Kryssende kjøreretninger (uten avsvinging);2;Vanlig veg/gate;4 armet kryss (X-kryss);Ikke tettsted;50;Kommunal veg;1930;UID1000234353;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning uten avsvingning;2009;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Nei;Telemark;40;Porsgrunn;4001;KV1930 S1D1 m241;Kommunal veg;1930;210084715;59,12806255;9,645549035;Kommunal veg;;2;;;;;Asfalt, oljegrus;Snø / isbelagt veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
tirsdag 17. februar 2015;11:59:00;Tirsdag;Enslig kjøretøy kjørte utfor på høyre side på rett vegstrekning;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Fylkesveg;356;UID1000271329;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2015;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Drangedal;4016;FV356 S5D1 m7631;Fylkesveg;356;588032598;59,05871773;9,21441219;Fylkesveg;;2;;;;;Asfalt, oljegrus;Delvis snø / isbelagt veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;1400
tirsdag 17. februar 2015;19:10:00;Tirsdag;Møting på rett vegstrekning;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Fylkesveg;51;UID1000271397;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;2015;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Nei;Telemark;40;Skien;4003;FV3294 S1D1 m1586;Fylkesveg;3294;589470828;59,17272644;9,593127239;Fylkesveg;;2;;;;;Asfalt, oljegrus;Delvis snø / isbelagt veg;God sikt, opphold;Mørkt uten vegbelysning;Vanlig kjørefelt;2;2800
tirsdag 17. januar 2006;15:59:00;Tirsdag;Enslig kjøretøy kjørte utfor på venstre side i venstrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Europaveg;134;UID1000200809;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2006;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Notodden;4005;EV134 S37D1 m9164;Europaveg;134;107124492;59,59644398;9,087235915;Europa- og riksveg;;1;;;;;Asfalt, oljegrus;Snø / isbelagt veg;God sikt, nedbør;Dagslys;Vanlig kjørefelt;2;3788
tirsdag 17. januar 2006;14:05:00;Tirsdag;Kjøring i parallelle kjørefelter forøvrig;6;Motortrafikkveg;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Europaveg;18;UID1000200820;Yrkesdøgn;Samme kjøreretning;Ulykke mellom kjøretøy med samme kjøreretning;2006;0;0;2;1;0;0;0;3;0;0;0;0;0;0;Nei;Telemark;40;Porsgrunn;4001;EV18 S28D1 m619;Europaveg;18;107124586;59,12055304;9,71575437;Europa- og riksveg;;1;;;;;Asfalt, oljegrus;Snø / isbelagt veg;Dårlig sikt, nedbør;Dagslys;Vanlig kjørefelt;3;14062
tirsdag 17. januar 2023;21:59:00;Tirsdag;Enslig kjøretøy veltet i kjørebanen;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;60;Fylkesveg;3310;UID3353925356;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);2023;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Ja;Telemark;40;Nome;4018;FV3310 S1D1 m1525;Fylkesveg;3310;1019204182;59,29566546;9,093827321;Fylkesveg;;1;;;;;Asfalt, oljegrus;Ukjent;Ukjent;Ukjent;Vanlig kjørefelt;2;1500
