ogc_fid;SSBID250M;est_tot;emp_tot
949;19487506618250;12;28
950;19487506618750;8;4
951;19487506619000;3;11
952;19487506619500;1;0
953;19487506619750;5;215
954;19487506620750;2;2
955;19487506621000;5;14
956;19487506623500;5;2
957;19487506624000;3;21
958;19487506624250;1;1
959;19487506625750;4;2
960;19487506626000;14;79
961;19487506626250;186;648
962;19487506626500;227;1381
963;19487506626750;84;209
964;19487506627000;12;10
965;19487506627250;15;67
966;19487506627500;23;35
967;19487506627750;13;12
968;19487506628000;16;59
969;19487506628250;8;1
970;19487506628500;6;3
971;19487506628750;3;15
972;19487506629000;47;255
973;19487506629250;19;185
974;19487506629500;1;0
975;19487506634250;1;0
976;19487506647500;2;0
977;19487506647750;9;63
978;19487506648000;3;16
979;19487506648250;1;0
980;19487506665750;5;15
981;19487506666000;2;0
982;19487506666250;2;1
983;19487506668750;1;0
984;19487506670000;1;0
985;19487506676750;1;0
986;19487506692250;2;0
987;19487506693000;1;0
988;19487506706750;1;0
989;19487506716250;1;0
990;19487506716500;2;1
991;19487506716750;1;0
992;19487506731250;1;0
993;19487506731500;3;3
994;19487506731750;3;3
995;19487506732000;2;1
996;19487506732500;7;34
997;19487506732750;1;1
998;19487506733000;2;0
999;19487506733250;2;0
1000;19487506733500;3;0
1001;19487506734250;1;0
1002;19487506738750;1;1
1003;19487506740250;1;0
1004;19487506740750;3;0
1005;19487506741000;1;2
1006;19487506741500;1;0
1007;19487506746500;4;2
1008;19487506747000;3;41
1009;19487506747250;1;63
1010;19487506747750;1;0
1011;19487506748000;9;77
1012;19487506748250;4;0
1013;19490006605250;1;0
1014;19490006606250;2;0
1015;19490006607000;1;0
1016;19490006609500;1;0
1017;19490006610250;1;0
1018;19490006610500;2;0
1019;19490006610750;3;2
1020;19490006611000;4;62
1021;19490006611250;7;3
1022;19490006611500;10;6
1023;19490006611750;35;69
1024;19490006612000;7;2
1025;19490006612250;2;0
1026;19490006612500;5;1
1027;19490006612750;3;0
1028;19490006613500;3;207
1029;19490006614750;2;0
1030;19490006616000;1;0
1031;19490006618000;9;345
1032;19490006618250;4;41
1033;19490006619250;1;0
1034;19490006619750;1;21
1035;19490006621500;6;0
1036;19490006622250;4;0
1037;19490006622500;2;0
1038;19490006623000;1;0
1039;19490006623250;5;10
1040;19490006623500;1;3
1041;19490006625500;7;469
1042;19490006625750;56;245
1043;19490006626000;166;812
1044;19490006626250;153;1074
1045;19490006626500;63;349
1046;19490006626750;21;35
1047;19490006627000;14;16
1048;19490006627250;5;1
1049;19490006627500;13;117
1050;19490006627750;6;23
1051;19490006628000;5;5
1052;19490006628250;10;1
1053;19490006628500;3;0
1054;19490006628750;3;2
1055;19490006629000;8;27
1056;19490006629250;1;0
1057;19490006629500;5;2
1058;19490006629750;3;3
1059;19490006630000;3;0
1060;19490006630250;1;0
1061;19490006632000;3;0
1062;19490006632250;1;1
1063;19490006634500;1;2
1064;19490006634750;7;2
1065;19490006647500;4;10
1066;19490006648250;1;1
1067;19490006648750;1;0
1068;19490006666000;1;3
1069;19490006668750;10;0
1070;19490006669000;4;7
1071;19490006669250;5;3
1072;19490006670000;1;0
1073;19490006697250;3;0
