ssbid_250,År,ant_virksomheter,ant_ansatte
21930006572250,2013-01-01,1,0
21930006572500,2013-01-01,8,97
21930006573250,2013-01-01,4,16
21930006573500,2013-01-01,18,35
21930006573750,2013-01-01,10,1
21930006574000,2013-01-01,2,3
21930006574250,2013-01-01,4,1
21930006574500,2013-01-01,5,0
21930006574750,2013-01-01,5,9
21930006575000,2013-01-01,2,0
21930006575250,2013-01-01,3,0
21930006575500,2013-01-01,3,0
21930006575750,2013-01-01,6,2
21930006576000,2013-01-01,7,65
21930006576250,2013-01-01,5,0
21930006576500,2013-01-01,5,10
21930006579750,2013-01-01,1,2
21932506564500,2013-01-01,3,12
21932506564750,2013-01-01,3,6
21932506565000,2013-01-01,5,41
21932506565500,2013-01-01,1,1
21932506566500,2013-01-01,5,30
21932506566750,2013-01-01,5,0
21932506567000,2013-01-01,4,4
21932506567250,2013-01-01,14,37
21932506567500,2013-01-01,13,84
21932506567750,2013-01-01,10,85
21932506568000,2013-01-01,20,288
21932506568250,2013-01-01,8,5
21932506568500,2013-01-01,2,53
21932506568750,2013-01-01,4,3
21932506569000,2013-01-01,5,21
21932506569250,2013-01-01,9,201
21932506569500,2013-01-01,6,4
21932506569750,2013-01-01,8,45
21932506570000,2013-01-01,9,13
21932506570250,2013-01-01,5,27
21932506570500,2013-01-01,24,122
21932506570750,2013-01-01,34,244
21932506571000,2013-01-01,6,2
21932506571250,2013-01-01,10,51
21932506571500,2013-01-01,18,100
21932506571750,2013-01-01,2,4
21932506572000,2013-01-01,1,24
21932506572250,2013-01-01,5,32
21932506572500,2013-01-01,6,67
21932506572750,2013-01-01,4,2
21932506573000,2013-01-01,7,7
21932506573250,2013-01-01,2,1
21932506573500,2013-01-01,1,0
21932506573750,2013-01-01,3,0
21932506574000,2013-01-01,6,51
21932506574250,2013-01-01,9,16
21932506574500,2013-01-01,3,0
21932506574750,2013-01-01,4,0
21932506575000,2013-01-01,5,0
21932506575250,2013-01-01,2,19
