Kommune,Årstall,Bygningstype,Antall
Porsgrunn,01.01.2013,Andre småhus med 3 boliger eller flere,3
Porsgrunn,01.01.2013,Store frittliggende boligbygg på 2 etasjer,0
Porsgrunn,01.01.2013,Store frittliggende boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2013,Store frittliggende boligbygg på 5 etasjer eller over,11
Porsgrunn,01.01.2013,Stort sammenbygd boligbygg på 2 etasjer,0
Porsgrunn,01.01.2013,Stort sammenbygd boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2013,Stort sammenbygd boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2013,Bo- og servicesenter,0
Porsgrunn,01.01.2013,Studenthjem/studentboliger,18
Porsgrunn,01.01.2013,Annen bygning for bofellesskap,0
Porsgrunn,01.01.2013,Andre bygg enn boligbygg,0
Porsgrunn,01.01.2014,Enebolig,40
Porsgrunn,01.01.2014,"Enebolig med hybelleilighet, sokkelleilighet o.l.",9
Porsgrunn,01.01.2014,Våningshus,0
Porsgrunn,01.01.2014,"Del av tomannsbolig, vertikaldelt",2
Porsgrunn,01.01.2014,"Tomannsbolig, horisontaldelt",0
Porsgrunn,01.01.2014,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2014,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2014,Rekkehus,0
Porsgrunn,01.01.2014,Kjedehus inkl.atriumhus,4
Porsgrunn,01.01.2014,Terrassehus,0
Porsgrunn,01.01.2014,Andre småhus med 3 boliger eller flere,0
Porsgrunn,01.01.2014,Store frittliggende boligbygg på 2 etasjer,0
Porsgrunn,01.01.2014,Store frittliggende boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2014,Store frittliggende boligbygg på 5 etasjer eller over,36
Porsgrunn,01.01.2014,Stort sammenbygd boligbygg på 2 etasjer,0
Porsgrunn,01.01.2014,Stort sammenbygd boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2014,Stort sammenbygd boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2014,Bo- og servicesenter,0
Porsgrunn,01.01.2014,Studenthjem/studentboliger,103
Porsgrunn,01.01.2014,Annen bygning for bofellesskap,0
Porsgrunn,01.01.2014,Andre bygg enn boligbygg,3
Porsgrunn,01.01.2015,Enebolig,25
Porsgrunn,01.01.2015,"Enebolig med hybelleilighet, sokkelleilighet o.l.",9
Porsgrunn,01.01.2015,Våningshus,0
Porsgrunn,01.01.2015,"Del av tomannsbolig, vertikaldelt",17
Porsgrunn,01.01.2015,"Tomannsbolig, horisontaldelt",4
Porsgrunn,01.01.2015,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2015,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2015,Rekkehus,0
Porsgrunn,01.01.2015,Kjedehus inkl.atriumhus,0
Porsgrunn,01.01.2015,Terrassehus,0
Porsgrunn,01.01.2015,Andre småhus med 3 boliger eller flere,16
Porsgrunn,01.01.2015,Store frittliggende boligbygg på 2 etasjer,0
Porsgrunn,01.01.2015,Store frittliggende boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2015,Store frittliggende boligbygg på 5 etasjer eller over,20
Porsgrunn,01.01.2015,Stort sammenbygd boligbygg på 2 etasjer,0
Porsgrunn,01.01.2015,Stort sammenbygd boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2015,Stort sammenbygd boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2015,Bo- og servicesenter,0
Porsgrunn,01.01.2015,Studenthjem/studentboliger,0
Porsgrunn,01.01.2015,Annen bygning for bofellesskap,4
Porsgrunn,01.01.2015,Andre bygg enn boligbygg,0
Porsgrunn,01.01.2016,Enebolig,33
Porsgrunn,01.01.2016,"Enebolig med hybelleilighet, sokkelleilighet o.l.",10
Porsgrunn,01.01.2016,Våningshus,0
Porsgrunn,01.01.2016,"Del av tomannsbolig, vertikaldelt",6
Porsgrunn,01.01.2016,"Tomannsbolig, horisontaldelt",3
Porsgrunn,01.01.2016,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2016,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2016,Rekkehus,0
Porsgrunn,01.01.2016,Kjedehus inkl.atriumhus,8
Porsgrunn,01.01.2016,Terrassehus,0
Porsgrunn,01.01.2016,Andre småhus med 3 boliger eller flere,16
Porsgrunn,01.01.2016,Store frittliggende boligbygg på 2 etasjer,12
Porsgrunn,01.01.2016,Store frittliggende boligbygg på 3 og 4 etasjer,8
Porsgrunn,01.01.2016,Store frittliggende boligbygg på 5 etasjer eller over,39
Porsgrunn,01.01.2016,Stort sammenbygd boligbygg på 2 etasjer,0
Porsgrunn,01.01.2016,Stort sammenbygd boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2016,Stort sammenbygd boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2016,Bo- og servicesenter,0
Porsgrunn,01.01.2016,Studenthjem/studentboliger,0
Porsgrunn,01.01.2016,Annen bygning for bofellesskap,0
Porsgrunn,01.01.2016,Andre bygg enn boligbygg,2
Porsgrunn,01.01.2017,Enebolig,16
Porsgrunn,01.01.2017,"Enebolig med hybelleilighet, sokkelleilighet o.l.",14
Porsgrunn,01.01.2017,Våningshus,0
Porsgrunn,01.01.2017,"Del av tomannsbolig, vertikaldelt",12
Porsgrunn,01.01.2017,"Tomannsbolig, horisontaldelt",2
Porsgrunn,01.01.2017,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2017,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2017,Rekkehus,3
Porsgrunn,01.01.2017,Kjedehus inkl.atriumhus,11
Porsgrunn,01.01.2017,Terrassehus,0
Porsgrunn,01.01.2017,Andre småhus med 3 boliger eller flere,12
Porsgrunn,01.01.2017,Store frittliggende boligbygg på 2 etasjer,0
Porsgrunn,01.01.2017,Store frittliggende boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2017,Store frittliggende boligbygg på 5 etasjer eller over,59
Porsgrunn,01.01.2017,Stort sammenbygd boligbygg på 2 etasjer,0
Porsgrunn,01.01.2017,Stort sammenbygd boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2017,Stort sammenbygd boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2017,Bo- og servicesenter,0
Porsgrunn,01.01.2017,Studenthjem/studentboliger,0
Porsgrunn,01.01.2017,Annen bygning for bofellesskap,0
Porsgrunn,01.01.2017,Andre bygg enn boligbygg,1
Porsgrunn,01.01.2018,Enebolig,25
Porsgrunn,01.01.2018,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5
Porsgrunn,01.01.2018,Våningshus,1
Porsgrunn,01.01.2018,"Del av tomannsbolig, vertikaldelt",10
Porsgrunn,01.01.2018,"Tomannsbolig, horisontaldelt",3
Porsgrunn,01.01.2018,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2018,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2018,Rekkehus,0
Porsgrunn,01.01.2018,Kjedehus inkl.atriumhus,9
Porsgrunn,01.01.2018,Terrassehus,4
Porsgrunn,01.01.2018,Andre småhus med 3 boliger eller flere,12
Porsgrunn,01.01.2018,Store frittliggende boligbygg på 2 etasjer,16
Porsgrunn,01.01.2018,Store frittliggende boligbygg på 3 og 4 etasjer,24
Porsgrunn,01.01.2018,Store frittliggende boligbygg på 5 etasjer eller over,89
Porsgrunn,01.01.2018,Stort sammenbygd boligbygg på 2 etasjer,0
Porsgrunn,01.01.2018,Stort sammenbygd boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2018,Stort sammenbygd boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2018,Bo- og servicesenter,0
Porsgrunn,01.01.2018,Studenthjem/studentboliger,0
Porsgrunn,01.01.2018,Annen bygning for bofellesskap,0
Porsgrunn,01.01.2018,Andre bygg enn boligbygg,0
Porsgrunn,01.01.2019,Enebolig,23
