Kommunenummer,Kommune,År,Husholdningstype,Antall
4032,Fyresdal,01.01.2022,Aleneboende,264
4032,Fyresdal,01.01.2022,Aleneforsørger med små barn,6
4032,Fyresdal,01.01.2022,Aleneforsørger med store barn,20
4032,Fyresdal,01.01.2022,Andre husholdninger,0
4032,Fyresdal,01.01.2022,Flerfamiliehusholdninger,11
4032,Fyresdal,01.01.2022,Par eller aleneforsørger med voksne barn,37
4032,Fyresdal,01.01.2022,Par med små barn,31
4032,Fyresdal,01.01.2022,Par med store barn,68
4032,Fyresdal,01.01.2022,Par uten hjemmeboende barn,150
4032,Fyresdal,01.01.2023,Aleneboende,261
4032,Fyresdal,01.01.2023,Aleneforsørger med små barn,5
4032,Fyresdal,01.01.2023,Aleneforsørger med store barn,16
4032,Fyresdal,01.01.2023,Andre husholdninger,0
4032,Fyresdal,01.01.2023,Flerfamiliehusholdninger,14
4032,Fyresdal,01.01.2023,Par eller aleneforsørger med voksne barn,48
4032,Fyresdal,01.01.2023,Par med små barn,35
4032,Fyresdal,01.01.2023,Par med store barn,65
4032,Fyresdal,01.01.2023,Par uten hjemmeboende barn,140
4032,Fyresdal,01.01.2024,Aleneboende,271
4032,Fyresdal,01.01.2024,Aleneforsørger med små barn,4
4032,Fyresdal,01.01.2024,Aleneforsørger med store barn,16
4032,Fyresdal,01.01.2024,Andre husholdninger,0
4032,Fyresdal,01.01.2024,Flerfamiliehusholdninger,21
4032,Fyresdal,01.01.2024,Par eller aleneforsørger med voksne barn,51
4032,Fyresdal,01.01.2024,Par med små barn,37
4032,Fyresdal,01.01.2024,Par med store barn,61
4032,Fyresdal,01.01.2024,Par uten hjemmeboende barn,146
4032,Fyresdal,01.01.2025,Aleneboende,275
4032,Fyresdal,01.01.2025,Aleneforsørger med små barn,2
4032,Fyresdal,01.01.2025,Aleneforsørger med store barn,19
4032,Fyresdal,01.01.2025,Andre husholdninger,0
4032,Fyresdal,01.01.2025,Flerfamiliehusholdninger,13
4032,Fyresdal,01.01.2025,Par eller aleneforsørger med voksne barn,53
4032,Fyresdal,01.01.2025,Par med små barn,40
4032,Fyresdal,01.01.2025,Par med store barn,64
4032,Fyresdal,01.01.2025,Par uten hjemmeboende barn,148
4024,Hjartdal,01.01.2014,Aleneboende,256
4024,Hjartdal,01.01.2014,Aleneforsørger med små barn,3
4024,Hjartdal,01.01.2014,Aleneforsørger med store barn,13
4024,Hjartdal,01.01.2014,Andre husholdninger,0
4024,Hjartdal,01.01.2014,Flerfamiliehusholdninger,29
4024,Hjartdal,01.01.2014,Par eller aleneforsørger med voksne barn,67
4024,Hjartdal,01.01.2014,Par med små barn,54
4024,Hjartdal,01.01.2014,Par med store barn,96
4024,Hjartdal,01.01.2014,Par uten hjemmeboende barn,161
4024,Hjartdal,01.01.2015,Aleneboende,262
4024,Hjartdal,01.01.2015,Aleneforsørger med små barn,6
4024,Hjartdal,01.01.2015,Aleneforsørger med store barn,11
4024,Hjartdal,01.01.2015,Andre husholdninger,0
4024,Hjartdal,01.01.2015,Flerfamiliehusholdninger,26
4024,Hjartdal,01.01.2015,Par eller aleneforsørger med voksne barn,68
4024,Hjartdal,01.01.2015,Par med små barn,51
4024,Hjartdal,01.01.2015,Par med store barn,91
4024,Hjartdal,01.01.2015,Par uten hjemmeboende barn,166
4024,Hjartdal,01.01.2016,Aleneboende,258
4024,Hjartdal,01.01.2016,Aleneforsørger med små barn,5
4024,Hjartdal,01.01.2016,Aleneforsørger med store barn,9
