region,alder,statistikkvariabel,år,bygningstype,value
Notodden,80 år eller eldre,Antall personer,2024,Tomannsbolig,49.0
Notodden,80 år eller eldre,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",53.0
Notodden,80 år eller eldre,Antall personer,2024,Boligblokk,107.0
Notodden,80 år eller eldre,Antall personer,2024,Annen boligbygning,66.0
Notodden,80 år eller eldre,Personer (prosent),2024,Boliger i alt,100.0
Notodden,80 år eller eldre,Personer (prosent),2024,Enebolig,62.6
Notodden,80 år eller eldre,Personer (prosent),2024,Tomannsbolig,6.7
Notodden,80 år eller eldre,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",7.2
Notodden,80 år eller eldre,Personer (prosent),2024,Boligblokk,14.5
Notodden,80 år eller eldre,Personer (prosent),2024,Annen boligbygning,9.0
Bamble,Alder i alt,Antall personer,2024,Boliger i alt,14001.0
Bamble,Alder i alt,Antall personer,2024,Enebolig,11034.0
Bamble,Alder i alt,Antall personer,2024,Tomannsbolig,1040.0
Bamble,Alder i alt,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",1218.0
Bamble,Alder i alt,Antall personer,2024,Boligblokk,365.0
Bamble,Alder i alt,Antall personer,2024,Annen boligbygning,344.0
Bamble,Alder i alt,Personer (prosent),2024,Boliger i alt,100.0
Bamble,Alder i alt,Personer (prosent),2024,Enebolig,78.8
Bamble,Alder i alt,Personer (prosent),2024,Tomannsbolig,7.4
Bamble,Alder i alt,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",8.7
Bamble,Alder i alt,Personer (prosent),2024,Boligblokk,2.6
Bamble,Alder i alt,Personer (prosent),2024,Annen boligbygning,2.5
Bamble,0-19 år,Antall personer,2024,Boliger i alt,3043.0
Bamble,0-19 år,Antall personer,2024,Enebolig,2520.0
Bamble,0-19 år,Antall personer,2024,Tomannsbolig,233.0
Bamble,0-19 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",221.0
Bamble,0-19 år,Antall personer,2024,Boligblokk,35.0
Bamble,0-19 år,Antall personer,2024,Annen boligbygning,34.0
Bamble,0-19 år,Personer (prosent),2024,Boliger i alt,100.0
Bamble,0-19 år,Personer (prosent),2024,Enebolig,82.8
Bamble,0-19 år,Personer (prosent),2024,Tomannsbolig,7.7
Bamble,0-19 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",7.3
Bamble,0-19 år,Personer (prosent),2024,Boligblokk,1.2
Bamble,0-19 år,Personer (prosent),2024,Annen boligbygning,1.1
Bamble,20-29 år,Antall personer,2024,Boliger i alt,1268.0
Bamble,20-29 år,Antall personer,2024,Enebolig,987.0
Bamble,20-29 år,Antall personer,2024,Tomannsbolig,96.0
Bamble,20-29 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",112.0
Bamble,20-29 år,Antall personer,2024,Boligblokk,26.0
Bamble,20-29 år,Antall personer,2024,Annen boligbygning,47.0
Bamble,20-29 år,Personer (prosent),2024,Boliger i alt,100.0
Bamble,20-29 år,Personer (prosent),2024,Enebolig,77.8
Bamble,20-29 år,Personer (prosent),2024,Tomannsbolig,7.6
Bamble,20-29 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",8.8
Bamble,20-29 år,Personer (prosent),2024,Boligblokk,2.1
Bamble,20-29 år,Personer (prosent),2024,Annen boligbygning,3.7
Bamble,30-39 år,Antall personer,2024,Boliger i alt,1729.0
Bamble,30-39 år,Antall personer,2024,Enebolig,1344.0
Bamble,30-39 år,Antall personer,2024,Tomannsbolig,131.0
Bamble,30-39 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",174.0
Bamble,30-39 år,Antall personer,2024,Boligblokk,37.0
Bamble,30-39 år,Antall personer,2024,Annen boligbygning,43.0
Bamble,30-39 år,Personer (prosent),2024,Boliger i alt,100.0
Bamble,30-39 år,Personer (prosent),2024,Enebolig,77.7
Bamble,30-39 år,Personer (prosent),2024,Tomannsbolig,7.6
Bamble,30-39 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",10.1
Bamble,30-39 år,Personer (prosent),2024,Boligblokk,2.1
Bamble,30-39 år,Personer (prosent),2024,Annen boligbygning,2.5
Bamble,40-49 år,Antall personer,2024,Boliger i alt,1584.0
Bamble,40-49 år,Antall personer,2024,Enebolig,1283.0
Bamble,40-49 år,Antall personer,2024,Tomannsbolig,131.0
Bamble,40-49 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",114.0
Bamble,40-49 år,Antall personer,2024,Boligblokk,23.0
