region,statistikkvariabel,år,bygningstype,value
Skien,Boliger (bebodde og ubebodde),2016,Tomannsbolig,2508
Skien,Boliger (bebodde og ubebodde),2016,"Rekkehus, kjedehus og andre småhus",3021
Skien,Boliger (bebodde og ubebodde),2016,Boligblokk,4798
Skien,Boliger (bebodde og ubebodde),2016,Bygning for bofellesskap,129
Skien,Boliger (bebodde og ubebodde),2016,Andre bygningstyper,858
Skien,Boliger (bebodde og ubebodde),2017,Enebolig,13991
Skien,Boliger (bebodde og ubebodde),2017,Tomannsbolig,2575
Skien,Boliger (bebodde og ubebodde),2017,"Rekkehus, kjedehus og andre småhus",3044
Skien,Boliger (bebodde og ubebodde),2017,Boligblokk,4843
Skien,Boliger (bebodde og ubebodde),2017,Bygning for bofellesskap,133
Skien,Boliger (bebodde og ubebodde),2017,Andre bygningstyper,904
Skien,Boliger (bebodde og ubebodde),2018,Enebolig,13996
Skien,Boliger (bebodde og ubebodde),2018,Tomannsbolig,2618
Skien,Boliger (bebodde og ubebodde),2018,"Rekkehus, kjedehus og andre småhus",3146
Skien,Boliger (bebodde og ubebodde),2018,Boligblokk,5014
Skien,Boliger (bebodde og ubebodde),2018,Bygning for bofellesskap,129
Skien,Boliger (bebodde og ubebodde),2018,Andre bygningstyper,913
Skien,Boliger (bebodde og ubebodde),2019,Enebolig,14069
Skien,Boliger (bebodde og ubebodde),2019,Tomannsbolig,2653
Skien,Boliger (bebodde og ubebodde),2019,"Rekkehus, kjedehus og andre småhus",3198
Skien,Boliger (bebodde og ubebodde),2019,Boligblokk,5079
Skien,Boliger (bebodde og ubebodde),2019,Bygning for bofellesskap,129
Skien,Boliger (bebodde og ubebodde),2019,Andre bygningstyper,917
Skien,Boliger (bebodde og ubebodde),2020,Enebolig,14120
Skien,Boliger (bebodde og ubebodde),2020,Tomannsbolig,2678
Skien,Boliger (bebodde og ubebodde),2020,"Rekkehus, kjedehus og andre småhus",3263
