ssbid_250,År,Populasjon
21895006574000,2016-01-01,7
21895006575000,2016-01-01,1
21895006575250,2016-01-01,4
21895006575500,2016-01-01,134
21895006575750,2016-01-01,117
21895006576000,2016-01-01,79
21895006576250,2016-01-01,148
21895006576500,2016-01-01,95
21895006576750,2016-01-01,163
21895006577000,2016-01-01,108
21895006577250,2016-01-01,69
21895006577500,2016-01-01,170
21895006577750,2016-01-01,119
21895006578000,2016-01-01,120
21895006578750,2016-01-01,2
21895006579000,2016-01-01,3
21895006579250,2016-01-01,3
21895006579500,2016-01-01,6
21895006579750,2016-01-01,1
21895006580500,2016-01-01,1
21895006581000,2016-01-01,3
21895006581250,2016-01-01,6
21895006581500,2016-01-01,9
21895006582250,2016-01-01,7
21895006582500,2016-01-01,4
21895006582750,2016-01-01,7
21895006583000,2016-01-01,6
21895006583250,2016-01-01,1
21895006583750,2016-01-01,5
21895006586000,2016-01-01,3
21897506568000,2016-01-01,1
21897506568250,2016-01-01,2
21897506571750,2016-01-01,1
21897506574000,2016-01-01,19
21897506574250,2016-01-01,22
21897506574500,2016-01-01,21
21897506574750,2016-01-01,38
21897506575250,2016-01-01,28
21897506575500,2016-01-01,129
21897506575750,2016-01-01,46
21897506576000,2016-01-01,147
21897506576250,2016-01-01,151
21897506576500,2016-01-01,15
21897506576750,2016-01-01,180
21897506577000,2016-01-01,246
21897506577250,2016-01-01,325
21897506577500,2016-01-01,402
21897506577750,2016-01-01,31
21897506578000,2016-01-01,3
21897506578250,2016-01-01,4
21897506578500,2016-01-01,6
21897506578750,2016-01-01,6
21897506579000,2016-01-01,1
21897506579250,2016-01-01,4
21897506579750,2016-01-01,2
21897506580000,2016-01-01,4
21897506582000,2016-01-01,19
21897506582250,2016-01-01,4
21897506582500,2016-01-01,20
21897506584500,2016-01-01,5
21897506597250,2016-01-01,4
21897506597500,2016-01-01,7
21897506598000,2016-01-01,2
21897506602000,2016-01-01,2
21900006566250,2016-01-01,7
21900006566500,2016-01-01,19
21900006574250,2016-01-01,87
21900006574500,2016-01-01,115
21900006574750,2016-01-01,77
21900006575000,2016-01-01,5
21900006575250,2016-01-01,61
21900006575500,2016-01-01,43
21900006575750,2016-01-01,19
21900006576000,2016-01-01,135
21900006576250,2016-01-01,39
21900006576500,2016-01-01,15
21900006576750,2016-01-01,53
21900006577000,2016-01-01,155
21900006577250,2016-01-01,35
21900006577500,2016-01-01,2
21900006578000,2016-01-01,9
21900006578250,2016-01-01,3
21900006579250,2016-01-01,6
21900006579500,2016-01-01,7
21900006581000,2016-01-01,3
21900006581250,2016-01-01,8
21900006581500,2016-01-01,19
21900006581750,2016-01-01,19
21900006582000,2016-01-01,13
21900006582500,2016-01-01,2
21900006582750,2016-01-01,4
21900006583000,2016-01-01,5
21900006583250,2016-01-01,3
21900006583500,2016-01-01,25
21900006586000,2016-01-01,5
21900006586250,2016-01-01,2
21900006597000,2016-01-01,3
21900006603250,2016-01-01,4
21902506566500,2016-01-01,16
21902506568500,2016-01-01,2
21902506574000,2016-01-01,26
21902506574250,2016-01-01,192
21902506574500,2016-01-01,131
21902506574750,2016-01-01,54
21902506575000,2016-01-01,22
21902506575250,2016-01-01,55
21902506575500,2016-01-01,108
21902506575750,2016-01-01,96
21902506576000,2016-01-01,84
21902506576250,2016-01-01,55
21902506576500,2016-01-01,32
21902506576750,2016-01-01,107
21902506577000,2016-01-01,91
21902506577250,2016-01-01,8
21902506577500,2016-01-01,1
21902506577750,2016-01-01,6
21902506578000,2016-01-01,11
21902506578500,2016-01-01,11
21902506578750,2016-01-01,9
21902506579000,2016-01-01,8
21902506579500,2016-01-01,4
21902506579750,2016-01-01,10
21902506580000,2016-01-01,17
21902506580250,2016-01-01,9
21902506580500,2016-01-01,90
21902506580750,2016-01-01,97
21902506581000,2016-01-01,4
21902506581250,2016-01-01,2
21902506581500,2016-01-01,3
21902506582750,2016-01-01,16
21902506583000,2016-01-01,5
21902506583500,2016-01-01,16
21902506583750,2016-01-01,21
21902506585500,2016-01-01,1
21902506586000,2016-01-01,2
21902506586250,2016-01-01,4
21902506587500,2016-01-01,6
21902506597750,2016-01-01,2
21902506602500,2016-01-01,6
21905006566250,2016-01-01,20
21905006566500,2016-01-01,37
21905006567250,2016-01-01,1
21905006568500,2016-01-01,10
21905006572750,2016-01-01,6
21905006573000,2016-01-01,35
21905006573250,2016-01-01,38
21905006573500,2016-01-01,13
21905006573750,2016-01-01,51
21905006574000,2016-01-01,162
21905006574250,2016-01-01,179
21905006574500,2016-01-01,65
21905006574750,2016-01-01,31
21905006575000,2016-01-01,19
21905006575250,2016-01-01,84
21905006575500,2016-01-01,144
21905006575750,2016-01-01,120
21905006576000,2016-01-01,141
21905006576250,2016-01-01,99
21905006576500,2016-01-01,10
21905006577000,2016-01-01,2
21905006577250,2016-01-01,4
21905006577750,2016-01-01,10
21905006578000,2016-01-01,38
21905006578250,2016-01-01,1
21905006579000,2016-01-01,31
21905006579250,2016-01-01,42
21905006579500,2016-01-01,106
21905006579750,2016-01-01,87
21905006580000,2016-01-01,34
21905006580250,2016-01-01,74
21905006580500,2016-01-01,34
21905006580750,2016-01-01,7
21905006581500,2016-01-01,11
21905006582250,2016-01-01,2
21905006582500,2016-01-01,27
21905006582750,2016-01-01,51
21905006583000,2016-01-01,22
21905006583250,2016-01-01,1
21905006583500,2016-01-01,1
21905006583750,2016-01-01,22
21905006584000,2016-01-01,3
21905006584250,2016-01-01,2
21905006584750,2016-01-01,5
21905006585000,2016-01-01,18
21905006585500,2016-01-01,4
21905006596250,2016-01-01,3
21907506566250,2016-01-01,13
21907506566500,2016-01-01,8
21907506567000,2016-01-01,10
21907506567250,2016-01-01,5
21907506568500,2016-01-01,1
21907506572750,2016-01-01,21
21907506573000,2016-01-01,93
21907506573250,2016-01-01,100
21907506573500,2016-01-01,92
21907506573750,2016-01-01,118
21907506574000,2016-01-01,51
21907506574250,2016-01-01,28
21907506575000,2016-01-01,30
21907506575250,2016-01-01,128
21907506575500,2016-01-01,87
21907506575750,2016-01-01,73
21907506576000,2016-01-01,32
21907506576250,2016-01-01,76
21907506576500,2016-01-01,162
21907506576750,2016-01-01,170
21907506577000,2016-01-01,13
21907506578250,2016-01-01,12
21907506578500,2016-01-01,19
21907506578750,2016-01-01,34
21907506579000,2016-01-01,7
21907506579250,2016-01-01,18
21907506579500,2016-01-01,3
21907506580250,2016-01-01,6
21907506581000,2016-01-01,4
21907506581250,2016-01-01,6
21907506581500,2016-01-01,3
21907506581750,2016-01-01,1
21907506582000,2016-01-01,6
21907506582250,2016-01-01,5
21907506582500,2016-01-01,8
21907506583000,2016-01-01,4
21907506583750,2016-01-01,5
21907506584000,2016-01-01,4
21907506584250,2016-01-01,10
21907506584500,2016-01-01,4
21907506584750,2016-01-01,10
21907506585000,2016-01-01,8
21907506585250,2016-01-01,3
21907506597000,2016-01-01,1
21910006567000,2016-01-01,3
21910006567750,2016-01-01,1
21910006568000,2016-01-01,4
21910006568250,2016-01-01,11
21910006573250,2016-01-01,17
21910006573500,2016-01-01,173
21910006573750,2016-01-01,115
21910006575000,2016-01-01,28
21910006575250,2016-01-01,114
21910006575500,2016-01-01,96
21910006575750,2016-01-01,143
21910006576000,2016-01-01,152
21910006576250,2016-01-01,158
21910006576500,2016-01-01,341
21910006576750,2016-01-01,190
21910006577000,2016-01-01,11
21910006577750,2016-01-01,5
21910006578000,2016-01-01,37
21910006578250,2016-01-01,20
21910006578500,2016-01-01,76
21910006578750,2016-01-01,13
21910006579750,2016-01-01,11
21910006580000,2016-01-01,1
21910006580250,2016-01-01,7
21910006580500,2016-01-01,12
21910006580750,2016-01-01,6
21910006581000,2016-01-01,4
21910006581250,2016-01-01,5
21910006581750,2016-01-01,3
21910006584500,2016-01-01,1
21910006584750,2016-01-01,3
21912506567750,2016-01-01,7
21912506568000,2016-01-01,12
21912506568250,2016-01-01,4
21912506572000,2016-01-01,2
21912506572500,2016-01-01,2
21912506574750,2016-01-01,87
21912506575000,2016-01-01,111
21912506575250,2016-01-01,189
21912506575500,2016-01-01,127
21912506575750,2016-01-01,125
21912506576000,2016-01-01,73
21912506576250,2016-01-01,5
21912506576500,2016-01-01,44
21912506576750,2016-01-01,477
21912506577000,2016-01-01,63
21912506577250,2016-01-01,95
21912506577500,2016-01-01,24
21912506577750,2016-01-01,19
21912506578500,2016-01-01,5
21912506578750,2016-01-01,60
21912506579000,2016-01-01,44
21912506579250,2016-01-01,32
21912506579500,2016-01-01,63
21912506579750,2016-01-01,45
21912506580000,2016-01-01,33
21912506580250,2016-01-01,4
21912506580500,2016-01-01,6
21912506581250,2016-01-01,8
21912506581750,2016-01-01,6
21912506582000,2016-01-01,4
21915006566500,2016-01-01,5
21915006567500,2016-01-01,4
21915006568500,2016-01-01,5
21915006569250,2016-01-01,5
21915006569500,2016-01-01,1
21915006570500,2016-01-01,4
21915006572500,2016-01-01,29
21915006572750,2016-01-01,47
21915006573000,2016-01-01,102
21915006573250,2016-01-01,161
21915006573500,2016-01-01,3
21915006573750,2016-01-01,1
21915006574000,2016-01-01,79
21915006574250,2016-01-01,14
21915006574750,2016-01-01,114
21915006575000,2016-01-01,196
21915006575250,2016-01-01,192
21915006575500,2016-01-01,143
21915006575750,2016-01-01,112
21915006576000,2016-01-01,217
21915006576250,2016-01-01,88
21915006576500,2016-01-01,44
