region,statistikkvariabel,år,alder,value,Framskriving,Tabell
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2040,13-15 år,1124,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2040,16-19 år,1522,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2040,20-44 år,10893,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2040,45-66 år,10630,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2040,67-79 år,6013,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2040,80-89 år,2784,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2040,90 år eller eldre,772,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2041,0 år,352,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2041,1-5 år,1873,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2041,6-12 år,2673,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2041,13-15 år,1135,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2041,16-19 år,1517,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2041,20-44 år,10841,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2041,45-66 år,10619,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2041,67-79 år,6066,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2041,80-89 år,2827,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2041,90 år eller eldre,800,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2042,0 år,350,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2042,1-5 år,1866,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2042,6-12 år,2697,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2042,13-15 år,1144,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2042,16-19 år,1521,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2042,20-44 år,10774,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2042,45-66 år,10616,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2042,67-79 år,6124,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2042,80-89 år,2861,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2042,90 år eller eldre,834,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2043,0 år,346,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2043,1-5 år,1860,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2043,6-12 år,2716,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2043,13-15 år,1155,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2043,16-19 år,1531,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2043,20-44 år,10713,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2043,45-66 år,10634,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2043,67-79 år,6167,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2043,80-89 år,2883,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2043,90 år eller eldre,862,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2044,0 år,344,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2044,1-5 år,1852,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2044,6-12 år,2733,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2044,13-15 år,1164,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2044,16-19 år,1542,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2044,20-44 år,10672,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2044,45-66 år,10654,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2044,67-79 år,6149,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2044,80-89 år,2932,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2044,90 år eller eldre,900,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2045,0 år,342,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2045,1-5 år,1841,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2045,6-12 år,2744,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2045,13-15 år,1172,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2045,16-19 år,1555,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2045,20-44 år,10621,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2045,45-66 år,10698,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2045,67-79 år,6102,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2045,80-89 år,3006,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2045,90 år eller eldre,931,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2046,0 år,340,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2046,1-5 år,1831,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2046,6-12 år,2754,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2046,13-15 år,1182,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2046,16-19 år,1569,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2046,20-44 år,10568,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2046,45-66 år,10725,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2046,67-79 år,6075,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2046,80-89 år,3073,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2046,90 år eller eldre,960,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2047,0 år,337,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2047,1-5 år,1820,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2047,6-12 år,2755,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2047,13-15 år,1190,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2047,16-19 år,1580,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2047,20-44 år,10536,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2047,45-66 år,10742,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2047,67-79 år,6023,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2047,80-89 år,3161,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2047,90 år eller eldre,994,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2048,0 år,335,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2048,1-5 år,1806,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2048,6-12 år,2755,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2048,13-15 år,1201,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2048,16-19 år,1593,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2048,20-44 år,10518,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2048,45-66 år,10755,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2048,67-79 år,5968,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2048,80-89 år,3234,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2048,90 år eller eldre,1029,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2049,0 år,333,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2049,1-5 år,1795,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2049,6-12 år,2748,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2049,13-15 år,1210,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2049,16-19 år,1604,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2049,20-44 år,10498,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2049,45-66 år,10760,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2049,67-79 år,5918,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2049,80-89 år,3325,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2049,90 år eller eldre,1053,2020,12882
