region,statistikkvariabel,år,alder,value,Framskriving,Tabell
Porsgrunn (-2019),Folkemengde,2032,1-5 år,2378,2011,08825
Porsgrunn (-2019),Folkemengde,2032,6-12 år,3579,2011,08825
Porsgrunn (-2019),Folkemengde,2032,13-15 år,1527,2011,08825
Porsgrunn (-2019),Folkemengde,2032,16-19 år,1982,2011,08825
Porsgrunn (-2019),Folkemengde,2032,20-66 år,24770,2011,08825
Porsgrunn (-2019),Folkemengde,2032,67-79 år,5255,2011,08825
Porsgrunn (-2019),Folkemengde,2032,80-89 år,2362,2011,08825
Porsgrunn (-2019),Folkemengde,2032,90 år eller eldre,394,2011,08825
Porsgrunn (-2019),Folkemengde,2033,0 år,438,2011,08825
Porsgrunn (-2019),Folkemengde,2033,1-5 år,2362,2011,08825
Porsgrunn (-2019),Folkemengde,2033,6-12 år,3588,2011,08825
Porsgrunn (-2019),Folkemengde,2033,13-15 år,1546,2011,08825
Porsgrunn (-2019),Folkemengde,2033,16-19 år,2004,2011,08825
Porsgrunn (-2019),Folkemengde,2033,20-66 år,24804,2011,08825
Porsgrunn (-2019),Folkemengde,2033,67-79 år,5342,2011,08825
Porsgrunn (-2019),Folkemengde,2033,80-89 år,2411,2011,08825
Porsgrunn (-2019),Folkemengde,2033,90 år eller eldre,423,2011,08825
Porsgrunn (-2019),Folkemengde,2034,0 år,436,2011,08825
Porsgrunn (-2019),Folkemengde,2034,1-5 år,2347,2011,08825
Porsgrunn (-2019),Folkemengde,2034,6-12 år,3587,2011,08825
Porsgrunn (-2019),Folkemengde,2034,13-15 år,1562,2011,08825
Porsgrunn (-2019),Folkemengde,2034,16-19 år,2029,2011,08825
Porsgrunn (-2019),Folkemengde,2034,20-66 år,24804,2011,08825
Porsgrunn (-2019),Folkemengde,2034,67-79 år,5457,2011,08825
Porsgrunn (-2019),Folkemengde,2034,80-89 år,2466,2011,08825
Porsgrunn (-2019),Folkemengde,2034,90 år eller eldre,452,2011,08825
Porsgrunn (-2019),Folkemengde,2035,0 år,434,2011,08825
Porsgrunn (-2019),Folkemengde,2035,1-5 år,2335,2011,08825
Porsgrunn (-2019),Folkemengde,2035,6-12 år,3583,2011,08825
Porsgrunn (-2019),Folkemengde,2035,13-15 år,1576,2011,08825
Porsgrunn (-2019),Folkemengde,2035,16-19 år,2056,2011,08825
Porsgrunn (-2019),Folkemengde,2035,20-66 år,24830,2011,08825
Porsgrunn (-2019),Folkemengde,2035,67-79 år,5550,2011,08825
Porsgrunn (-2019),Folkemengde,2035,80-89 år,2500,2011,08825
Porsgrunn (-2019),Folkemengde,2035,90 år eller eldre,494,2011,08825
Porsgrunn (-2019),Folkemengde,2036,0 år,434,2011,08825
Porsgrunn (-2019),Folkemengde,2036,1-5 år,2321,2011,08825
Porsgrunn (-2019),Folkemengde,2036,6-12 år,3572,2011,08825
Porsgrunn (-2019),Folkemengde,2036,13-15 år,1584,2011,08825
Porsgrunn (-2019),Folkemengde,2036,16-19 år,2079,2011,08825
Porsgrunn (-2019),Folkemengde,2036,20-66 år,24854,2011,08825
Porsgrunn (-2019),Folkemengde,2036,67-79 år,5630,2011,08825
Porsgrunn (-2019),Folkemengde,2036,80-89 år,2549,2011,08825
Porsgrunn (-2019),Folkemengde,2036,90 år eller eldre,527,2011,08825
Porsgrunn (-2019),Folkemengde,2037,0 år,432,2011,08825
Porsgrunn (-2019),Folkemengde,2037,1-5 år,2308,2011,08825
Porsgrunn (-2019),Folkemengde,2037,6-12 år,3557,2011,08825
Porsgrunn (-2019),Folkemengde,2037,13-15 år,1591,2011,08825
Porsgrunn (-2019),Folkemengde,2037,16-19 år,2103,2011,08825
Porsgrunn (-2019),Folkemengde,2037,20-66 år,24840,2011,08825
Porsgrunn (-2019),Folkemengde,2037,67-79 år,5753,2011,08825
Porsgrunn (-2019),Folkemengde,2037,80-89 år,2598,2011,08825
Porsgrunn (-2019),Folkemengde,2037,90 år eller eldre,565,2011,08825
Porsgrunn (-2019),Folkemengde,2038,0 år,432,2011,08825
Porsgrunn (-2019),Folkemengde,2038,1-5 år,2297,2011,08825
Porsgrunn (-2019),Folkemengde,2038,6-12 år,3539,2011,08825
Porsgrunn (-2019),Folkemengde,2038,13-15 år,1594,2011,08825
Porsgrunn (-2019),Folkemengde,2038,16-19 år,2122,2011,08825
Porsgrunn (-2019),Folkemengde,2038,20-66 år,24875,2011,08825
Porsgrunn (-2019),Folkemengde,2038,67-79 år,5831,2011,08825
Porsgrunn (-2019),Folkemengde,2038,80-89 år,2632,2011,08825
Porsgrunn (-2019),Folkemengde,2038,90 år eller eldre,608,2011,08825
Porsgrunn (-2019),Folkemengde,2039,0 år,434,2011,08825
Porsgrunn (-2019),Folkemengde,2039,1-5 år,2290,2011,08825
Porsgrunn (-2019),Folkemengde,2039,6-12 år,3518,2011,08825
Porsgrunn (-2019),Folkemengde,2039,13-15 år,1595,2011,08825
Porsgrunn (-2019),Folkemengde,2039,16-19 år,2136,2011,08825
Porsgrunn (-2019),Folkemengde,2039,20-66 år,24888,2011,08825
Porsgrunn (-2019),Folkemengde,2039,67-79 år,5951,2011,08825
Porsgrunn (-2019),Folkemengde,2039,80-89 år,2659,2011,08825
Porsgrunn (-2019),Folkemengde,2039,90 år eller eldre,631,2011,08825
Porsgrunn (-2019),Folkemengde,2040,0 år,434,2011,08825
Porsgrunn (-2019),Folkemengde,2040,1-5 år,2289,2011,08825
Porsgrunn (-2019),Folkemengde,2040,6-12 år,3498,2011,08825
Porsgrunn (-2019),Folkemengde,2040,13-15 år,1591,2011,08825
Porsgrunn (-2019),Folkemengde,2040,16-19 år,2147,2011,08825
Porsgrunn (-2019),Folkemengde,2040,20-66 år,24906,2011,08825
Porsgrunn (-2019),Folkemengde,2040,67-79 år,6057,2011,08825
Porsgrunn (-2019),Folkemengde,2040,80-89 år,2694,2011,08825
Porsgrunn (-2019),Folkemengde,2040,90 år eller eldre,651,2011,08825
Skien (-2019),Folkemengde,2011,0 år,579,2011,08825
Skien (-2019),Folkemengde,2011,1-5 år,2908,2011,08825
Skien (-2019),Folkemengde,2011,6-12 år,4305,2011,08825
Skien (-2019),Folkemengde,2011,13-15 år,2098,2011,08825
Skien (-2019),Folkemengde,2011,16-19 år,2922,2011,08825
Skien (-2019),Folkemengde,2011,20-66 år,32002,2011,08825
Skien (-2019),Folkemengde,2011,67-79 år,4684,2011,08825
Skien (-2019),Folkemengde,2011,80-89 år,2165,2011,08825
Skien (-2019),Folkemengde,2011,90 år eller eldre,414,2011,08825
Skien (-2019),Folkemengde,2012,0 år,571,2011,08825
Skien (-2019),Folkemengde,2012,1-5 år,2959,2011,08825
Skien (-2019),Folkemengde,2012,6-12 år,4304,2011,08825
Skien (-2019),Folkemengde,2012,13-15 år,2058,2011,08825
Skien (-2019),Folkemengde,2012,16-19 år,2898,2011,08825
Skien (-2019),Folkemengde,2012,20-66 år,32219,2011,08825
Skien (-2019),Folkemengde,2012,67-79 år,4909,2011,08825
Skien (-2019),Folkemengde,2012,80-89 år,2093,2011,08825
Skien (-2019),Folkemengde,2012,90 år eller eldre,458,2011,08825
Skien (-2019),Folkemengde,2013,0 år,578,2011,08825
Skien (-2019),Folkemengde,2013,1-5 år,3004,2011,08825
Skien (-2019),Folkemengde,2013,6-12 år,4309,2011,08825
Skien (-2019),Folkemengde,2013,13-15 år,2004,2011,08825
Skien (-2019),Folkemengde,2013,16-19 år,2886,2011,08825
Skien (-2019),Folkemengde,2013,20-66 år,32443,2011,08825
Skien (-2019),Folkemengde,2013,67-79 år,5133,2011,08825
Skien (-2019),Folkemengde,2013,80-89 år,2072,2011,08825
Skien (-2019),Folkemengde,2013,90 år eller eldre,471,2011,08825
Skien (-2019),Folkemengde,2014,0 år,588,2011,08825
Skien (-2019),Folkemengde,2014,1-5 år,3057,2011,08825
Skien (-2019),Folkemengde,2014,6-12 år,4302,2011,08825
Skien (-2019),Folkemengde,2014,13-15 år,1978,2011,08825
Skien (-2019),Folkemengde,2014,16-19 år,2871,2011,08825
Skien (-2019),Folkemengde,2014,20-66 år,32551,2011,08825
Skien (-2019),Folkemengde,2014,67-79 år,5490,2011,08825
Skien (-2019),Folkemengde,2014,80-89 år,2022,2011,08825
Skien (-2019),Folkemengde,2014,90 år eller eldre,487,2011,08825
Skien (-2019),Folkemengde,2015,0 år,600,2011,08825
Skien (-2019),Folkemengde,2015,1-5 år,3078,2011,08825
Skien (-2019),Folkemengde,2015,6-12 år,4382,2011,08825
Skien (-2019),Folkemengde,2015,13-15 år,1942,2011,08825
Skien (-2019),Folkemengde,2015,16-19 år,2810,2011,08825
Skien (-2019),Folkemengde,2015,20-66 år,32733,2011,08825
Skien (-2019),Folkemengde,2015,67-79 år,5780,2011,08825
