Geografi,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortKommune
Hele landet,2019-01-01,Kjønn samlet,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",176.4,1,7,2
Hele landet,2019-01-01,Kjønn samlet,45-74 år,Psykiske symptomer,"per 1000, standardisert",127.5,1,7,2
Hele landet,2019-01-01,Kjønn samlet,45-74 år,Psykiske lidelser,"per 1000, standardisert",75.6,1,7,2
Hele landet,2019-01-01,Kjønn samlet,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",171.7,1,8,2
Hele landet,2019-01-01,Kjønn samlet,75-79 år,Psykiske symptomer,"per 1000, standardisert",126.9,1,8,2
Hele landet,2019-01-01,Kjønn samlet,75-79 år,Psykiske lidelser,"per 1000, standardisert",66.3,1,8,2
Hele landet,2019-01-01,Menn,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",133.4,2,1,2
Hele landet,2019-01-01,Menn,0-74 år,Psykiske symptomer,"per 1000, standardisert",91.0,2,1,2
Hele landet,2019-01-01,Menn,0-74 år,Psykiske lidelser,"per 1000, standardisert",64.1,2,1,2
Hele landet,2019-01-01,Menn,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",127.1,2,4,2
Hele landet,2019-01-01,Menn,0-44 år,Psykiske symptomer,"per 1000, standardisert",83.0,2,4,2
Hele landet,2019-01-01,Menn,0-44 år,Psykiske lidelser,"per 1000, standardisert",66.5,2,4,2
Hele landet,2019-01-01,Menn,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",100.1,2,3,2
Hele landet,2019-01-01,Menn,0-24 år,Psykiske symptomer,"per 1000, standardisert",64.1,2,3,2
Hele landet,2019-01-01,Menn,0-24 år,Psykiske lidelser,"per 1000, standardisert",50.3,2,3,2
Hele landet,2019-01-01,Menn,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",72.1,2,2,2
