Kommune,Forbrukergruppe,År,Verdi
Vinje,Sekundærnæringer,2022,10.7
Vinje,Tertiærnæringer,2022,29.7
Bamble,Boliger,2023,103.8
Bamble,Husholdninger,2023,114.4
Bamble,Hytter og fritidshus,2023,10.6
Bamble,I alt,2023,1367.1
Bamble,Primærnæringer,2023,0.3
Bamble,Sekundærnæringer,2023,1193.9
Bamble,Tertiærnæringer,2023,58.5
Drangedal,Boliger,2023,27.6
Drangedal,Husholdninger,2023,36.1
Drangedal,Hytter og fritidshus,2023,8.5
Drangedal,I alt,2023,50.3
Drangedal,Primærnæringer,2023,1.8
Drangedal,Sekundærnæringer,2023,1.1
Drangedal,Tertiærnæringer,2023,11.3
Fyresdal,Boliger,2023,8.8
Fyresdal,Husholdninger,2023,11.7
Fyresdal,Hytter og fritidshus,2023,2.8
Fyresdal,I alt,2023,21.0
Fyresdal,Primærnæringer,2023,0.2
Fyresdal,Sekundærnæringer,2023,3.9
Fyresdal,Tertiærnæringer,2023,5.2
Hjartdal,Boliger,2023,11.9
Hjartdal,Husholdninger,2023,22.1
Hjartdal,Hytter og fritidshus,2023,10.2
Hjartdal,I alt,2023,29.9
Hjartdal,Primærnæringer,2023,0.7
Hjartdal,Sekundærnæringer,2023,1.9
Hjartdal,Tertiærnæringer,2023,5.2
Kragerø,Boliger,2023,71.8
Kragerø,Husholdninger,2023,89.4
Kragerø,Hytter og fritidshus,2023,17.6
Kragerø,I alt,2023,188.2
Kragerø,Primærnæringer,2023,2.2
Kragerø,Sekundærnæringer,2023,58.8
Kragerø,Tertiærnæringer,2023,37.7
Kviteseid,Boliger,2023,19.6
Kviteseid,Husholdninger,2023,27.7
Kviteseid,Hytter og fritidshus,2023,8.1
Kviteseid,I alt,2023,43.0
Kviteseid,Primærnæringer,2023,0.2
Kviteseid,Sekundærnæringer,2023,2.2
Kviteseid,Tertiærnæringer,2023,12.9
Midt-Telemark,Boliger,2023,79.4
Midt-Telemark,Husholdninger,2023,85.0
Midt-Telemark,Hytter og fritidshus,2023,5.6
Midt-Telemark,I alt,2023,141.6
Midt-Telemark,Primærnæringer,2023,4.6
Midt-Telemark,Sekundærnæringer,2023,9.5
Midt-Telemark,Tertiærnæringer,2023,42.5
Nissedal,Boliger,2023,10.5
Nissedal,Husholdninger,2023,24.8
Nissedal,Hytter og fritidshus,2023,14.3
Nissedal,I alt,2023,33.8
Nissedal,Primærnæringer,2023,0.0
Nissedal,Sekundærnæringer,2023,3.3
Nissedal,Tertiærnæringer,2023,5.6
Nome,Boliger,2023,48.4
Nome,Husholdninger,2023,49.2
Nome,Hytter og fritidshus,2023,0.8
Nome,I alt,2023,95.5
Nome,Primærnæringer,2023,1.0
