Kommune,År (intervall),År,Kjønn,Alder,Utdanningsnivå,Måltall,Antall,SortKjonn,SortKommune
Skien,2018-2024,2018-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.9,3,16
Notodden,2004-2010,2004-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,76.7,2,12
Notodden,2004-2010,2004-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.6,3,12
Notodden,2005-2011,2005-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,77.0,2,12
Notodden,2005-2011,2005-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.3,3,12
Notodden,2006-2012,2006-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.0,2,12
Notodden,2006-2012,2006-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.4,3,12
Notodden,2007-2013,2007-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.7,2,12
Notodden,2007-2013,2007-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.6,3,12
Notodden,2008-2014,2008-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.2,2,12
Notodden,2008-2014,2008-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.0,3,12
Notodden,2009-2015,2009-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.5,2,12
Notodden,2009-2015,2009-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.4,3,12
Notodden,2010-2016,2010-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.8,2,12
Notodden,2010-2016,2010-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.3,3,12
Notodden,2011-2017,2011-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.6,2,12
Notodden,2011-2017,2011-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.6,3,12
Notodden,2012-2018,2012-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.0,2,12
Notodden,2012-2018,2012-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.7,3,12
Notodden,2013-2019,2013-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.7,2,12
Notodden,2013-2019,2013-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.9,3,12
Notodden,2014-2020,2014-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.6,2,12
Notodden,2014-2020,2014-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.0,3,12
Notodden,2015-2021,2015-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.1,2,12
Notodden,2015-2021,2015-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.6,3,12
Notodden,2016-2022,2016-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.0,2,12
Notodden,2016-2022,2016-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.1,3,12
Notodden,2017-2023,2017-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.5,2,12
Notodden,2017-2023,2017-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.4,3,12
Notodden,2018-2024,2018-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.1,2,12
Notodden,2018-2024,2018-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.4,3,12
Siljan,2004-2010,2004-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.3,2,15
Siljan,2004-2010,2004-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.8,3,15
Siljan,2005-2011,2005-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.7,2,15
Siljan,2005-2011,2005-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.1,3,15
Siljan,2006-2012,2006-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.4,2,15
Siljan,2006-2012,2006-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.9,3,15
Siljan,2007-2013,2007-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.6,2,15
Siljan,2007-2013,2007-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.8,3,15
Siljan,2008-2014,2008-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.2,2,15
Siljan,2008-2014,2008-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.4,3,15
Siljan,2009-2015,2009-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.1,2,15
Siljan,2009-2015,2009-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.1,3,15
Siljan,2010-2016,2010-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.1,2,15
Siljan,2010-2016,2010-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.1,3,15
Siljan,2011-2017,2011-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.0,2,15
Siljan,2011-2017,2011-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.8,3,15
Siljan,2012-2018,2012-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.8,2,15
Siljan,2012-2018,2012-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,85.1,3,15
Siljan,2013-2019,2013-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.6,2,15
Siljan,2013-2019,2013-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.7,3,15
Siljan,2014-2020,2014-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.8,2,15
Siljan,2014-2020,2014-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.4,3,15
Siljan,2015-2021,2015-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.3,2,15
Siljan,2015-2021,2015-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.9,3,15
Siljan,2016-2022,2016-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,83.7,2,15
Siljan,2016-2022,2016-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.3,3,15
Siljan,2017-2023,2017-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,83.7,2,15
Siljan,2017-2023,2017-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.6,3,15
Siljan,2018-2024,2018-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,83.5,2,15
Siljan,2018-2024,2018-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.8,3,15
