Kommunenummer,Kommune,År,Husholdningsstørrelse,Etterspørsel
4010,Siljan,2050-01-01,3,143
4010,Siljan,2050-01-01,4,131
4010,Siljan,2050-01-01,5,57
4010,Siljan,2050-01-01,6+,16
4012,Bamble,2026-01-01,1,2736
4012,Bamble,2026-01-01,2,2364
4012,Bamble,2026-01-01,3,806
4012,Bamble,2026-01-01,4,724
4012,Bamble,2026-01-01,5,252
4012,Bamble,2026-01-01,6+,72
4012,Bamble,2027-01-01,1,2772
4012,Bamble,2027-01-01,2,2387
4012,Bamble,2027-01-01,3,803
4012,Bamble,2027-01-01,4,720
4012,Bamble,2027-01-01,5,251
4012,Bamble,2027-01-01,6+,71
4012,Bamble,2028-01-01,1,2799
4012,Bamble,2028-01-01,2,2400
4012,Bamble,2028-01-01,3,802
4012,Bamble,2028-01-01,4,721
4012,Bamble,2028-01-01,5,252
4012,Bamble,2028-01-01,6+,72
4012,Bamble,2029-01-01,1,2821
4012,Bamble,2029-01-01,2,2415
4012,Bamble,2029-01-01,3,797
4012,Bamble,2029-01-01,4,720
4012,Bamble,2029-01-01,5,253
4012,Bamble,2029-01-01,6+,72
4012,Bamble,2030-01-01,1,2838
4012,Bamble,2030-01-01,2,2429
4012,Bamble,2030-01-01,3,795
4012,Bamble,2030-01-01,4,718
4012,Bamble,2030-01-01,5,253
4012,Bamble,2030-01-01,6+,72
4012,Bamble,2031-01-01,1,2853
4012,Bamble,2031-01-01,2,2438
4012,Bamble,2031-01-01,3,793
4012,Bamble,2031-01-01,4,718
4012,Bamble,2031-01-01,5,254
4012,Bamble,2031-01-01,6+,73
4012,Bamble,2032-01-01,1,2870
4012,Bamble,2032-01-01,2,2451
4012,Bamble,2032-01-01,3,790
4012,Bamble,2032-01-01,4,718
4012,Bamble,2032-01-01,5,254
4012,Bamble,2032-01-01,6+,73
4012,Bamble,2033-01-01,1,2885
4012,Bamble,2033-01-01,2,2465
4012,Bamble,2033-01-01,3,786
4012,Bamble,2033-01-01,4,716
4012,Bamble,2033-01-01,5,255
4012,Bamble,2033-01-01,6+,73
4012,Bamble,2034-01-01,1,2896
4012,Bamble,2034-01-01,2,2473
4012,Bamble,2034-01-01,3,785
4012,Bamble,2034-01-01,4,714
4012,Bamble,2034-01-01,5,254
4012,Bamble,2034-01-01,6+,73
4012,Bamble,2035-01-01,1,2908
4012,Bamble,2035-01-01,2,2480
4012,Bamble,2035-01-01,3,785
4012,Bamble,2035-01-01,4,712
4012,Bamble,2035-01-01,5,254
4012,Bamble,2035-01-01,6+,73
4012,Bamble,2036-01-01,1,2916
4012,Bamble,2036-01-01,2,2484
4012,Bamble,2036-01-01,3,783
4012,Bamble,2036-01-01,4,712
4012,Bamble,2036-01-01,5,254
4012,Bamble,2036-01-01,6+,73
4012,Bamble,2037-01-01,1,2927
4012,Bamble,2037-01-01,2,2491
4012,Bamble,2037-01-01,3,782
4012,Bamble,2037-01-01,4,711
