municipality_code,municipality_name,year,household_size,housing_demand
4010,Siljan,2032,SIZE_2,397
4010,Siljan,2032,SIZE_3,133
4010,Siljan,2032,SIZE_4,124
4010,Siljan,2032,SIZE_5,54
4010,Siljan,2032,SIZE_6_INF,15
4010,Siljan,2033,SIZE_1,460
4010,Siljan,2033,SIZE_2,401
4010,Siljan,2033,SIZE_3,134
4010,Siljan,2033,SIZE_4,125
4010,Siljan,2033,SIZE_5,54
4010,Siljan,2033,SIZE_6_INF,15
4010,Siljan,2034,SIZE_1,465
4010,Siljan,2034,SIZE_2,404
4010,Siljan,2034,SIZE_3,135
4010,Siljan,2034,SIZE_4,126
4010,Siljan,2034,SIZE_5,55
4010,Siljan,2034,SIZE_6_INF,16
4010,Siljan,2035,SIZE_1,471
4010,Siljan,2035,SIZE_2,408
4010,Siljan,2035,SIZE_3,135
4010,Siljan,2035,SIZE_4,126
4010,Siljan,2035,SIZE_5,55
4010,Siljan,2035,SIZE_6_INF,16
4010,Siljan,2036,SIZE_1,475
4010,Siljan,2036,SIZE_2,411
4010,Siljan,2036,SIZE_3,136
4010,Siljan,2036,SIZE_4,128
4010,Siljan,2036,SIZE_5,56
4010,Siljan,2036,SIZE_6_INF,16
4010,Siljan,2037,SIZE_1,480
4010,Siljan,2037,SIZE_2,413
4010,Siljan,2037,SIZE_3,136
4010,Siljan,2037,SIZE_4,128
4010,Siljan,2037,SIZE_5,56
4010,Siljan,2037,SIZE_6_INF,16
4010,Siljan,2038,SIZE_1,484
4010,Siljan,2038,SIZE_2,416
4010,Siljan,2038,SIZE_3,137
4010,Siljan,2038,SIZE_4,129
4010,Siljan,2038,SIZE_5,56
4010,Siljan,2038,SIZE_6_INF,16
4010,Siljan,2039,SIZE_1,489
4010,Siljan,2039,SIZE_2,418
4010,Siljan,2039,SIZE_3,138
4010,Siljan,2039,SIZE_4,130
4010,Siljan,2039,SIZE_5,57
4010,Siljan,2039,SIZE_6_INF,16
4010,Siljan,2040,SIZE_1,492
4010,Siljan,2040,SIZE_2,420
4010,Siljan,2040,SIZE_3,139
4010,Siljan,2040,SIZE_4,130
4010,Siljan,2040,SIZE_5,57
4010,Siljan,2040,SIZE_6_INF,16
4010,Siljan,2041,SIZE_1,497
4010,Siljan,2041,SIZE_2,424
4010,Siljan,2041,SIZE_3,140
4010,Siljan,2041,SIZE_4,130
4010,Siljan,2041,SIZE_5,57
4010,Siljan,2041,SIZE_6_INF,16
4010,Siljan,2042,SIZE_1,498
4010,Siljan,2042,SIZE_2,426
4010,Siljan,2042,SIZE_3,140
4010,Siljan,2042,SIZE_4,131
4010,Siljan,2042,SIZE_5,57
4010,Siljan,2042,SIZE_6_INF,16
4010,Siljan,2043,SIZE_1,503
4010,Siljan,2043,SIZE_2,429
4010,Siljan,2043,SIZE_3,141
4010,Siljan,2043,SIZE_4,131
4010,Siljan,2043,SIZE_5,57
4010,Siljan,2043,SIZE_6_INF,16
4010,Siljan,2044,SIZE_1,505
4010,Siljan,2044,SIZE_2,432
4010,Siljan,2044,SIZE_3,142
4010,Siljan,2044,SIZE_4,131
4010,Siljan,2044,SIZE_5,57
4010,Siljan,2044,SIZE_6_INF,16
4010,Siljan,2045,SIZE_1,509
4010,Siljan,2045,SIZE_2,434
4010,Siljan,2045,SIZE_3,142
4010,Siljan,2045,SIZE_4,131
4010,Siljan,2045,SIZE_5,57
4010,Siljan,2045,SIZE_6_INF,16
4010,Siljan,2046,SIZE_1,509
4010,Siljan,2046,SIZE_2,435
4010,Siljan,2046,SIZE_3,143
4010,Siljan,2046,SIZE_4,132
4010,Siljan,2046,SIZE_5,57
4010,Siljan,2046,SIZE_6_INF,16
4010,Siljan,2047,SIZE_1,513
4010,Siljan,2047,SIZE_2,437
4010,Siljan,2047,SIZE_3,143
4010,Siljan,2047,SIZE_4,132
4010,Siljan,2047,SIZE_5,57
4010,Siljan,2047,SIZE_6_INF,16
4010,Siljan,2048,SIZE_1,514
4010,Siljan,2048,SIZE_2,439
4010,Siljan,2048,SIZE_3,143
4010,Siljan,2048,SIZE_4,132
4010,Siljan,2048,SIZE_5,57
4010,Siljan,2048,SIZE_6_INF,16
4010,Siljan,2049,SIZE_1,516
4010,Siljan,2049,SIZE_2,442
4010,Siljan,2049,SIZE_3,143
4010,Siljan,2049,SIZE_4,132
4010,Siljan,2049,SIZE_5,57
4010,Siljan,2049,SIZE_6_INF,16
4010,Siljan,2050,SIZE_1,519
4010,Siljan,2050,SIZE_2,443
4010,Siljan,2050,SIZE_3,143
4010,Siljan,2050,SIZE_4,131
4010,Siljan,2050,SIZE_5,57
4010,Siljan,2050,SIZE_6_INF,16
4012,Bamble,2026,SIZE_1,2736
4012,Bamble,2026,SIZE_2,2364
4012,Bamble,2026,SIZE_3,806
4012,Bamble,2026,SIZE_4,724
4012,Bamble,2026,SIZE_5,252
4012,Bamble,2026,SIZE_6_INF,72
4012,Bamble,2027,SIZE_1,2772
4012,Bamble,2027,SIZE_2,2387
4012,Bamble,2027,SIZE_3,803
4012,Bamble,2027,SIZE_4,720
4012,Bamble,2027,SIZE_5,251
4012,Bamble,2027,SIZE_6_INF,71
4012,Bamble,2028,SIZE_1,2799
4012,Bamble,2028,SIZE_2,2400
4012,Bamble,2028,SIZE_3,802
4012,Bamble,2028,SIZE_4,721
4012,Bamble,2028,SIZE_5,252
4012,Bamble,2028,SIZE_6_INF,72
4012,Bamble,2029,SIZE_1,2821
4012,Bamble,2029,SIZE_2,2415
4012,Bamble,2029,SIZE_3,797
4012,Bamble,2029,SIZE_4,720
4012,Bamble,2029,SIZE_5,253
4012,Bamble,2029,SIZE_6_INF,72
4012,Bamble,2030,SIZE_1,2838
4012,Bamble,2030,SIZE_2,2429
4012,Bamble,2030,SIZE_3,795
4012,Bamble,2030,SIZE_4,718
4012,Bamble,2030,SIZE_5,253
4012,Bamble,2030,SIZE_6_INF,72
4012,Bamble,2031,SIZE_1,2853
4012,Bamble,2031,SIZE_2,2438
4012,Bamble,2031,SIZE_3,793
4012,Bamble,2031,SIZE_4,718
4012,Bamble,2031,SIZE_5,254
4012,Bamble,2031,SIZE_6_INF,73
4012,Bamble,2032,SIZE_1,2870
4012,Bamble,2032,SIZE_2,2451
4012,Bamble,2032,SIZE_3,790
4012,Bamble,2032,SIZE_4,718
4012,Bamble,2032,SIZE_5,254
4012,Bamble,2032,SIZE_6_INF,73
4012,Bamble,2033,SIZE_1,2885
4012,Bamble,2033,SIZE_2,2465
4012,Bamble,2033,SIZE_3,786
4012,Bamble,2033,SIZE_4,716
4012,Bamble,2033,SIZE_5,255
4012,Bamble,2033,SIZE_6_INF,73
4012,Bamble,2034,SIZE_1,2896
4012,Bamble,2034,SIZE_2,2473
4012,Bamble,2034,SIZE_3,785
4012,Bamble,2034,SIZE_4,714
4012,Bamble,2034,SIZE_5,254
4012,Bamble,2034,SIZE_6_INF,73
4012,Bamble,2035,SIZE_1,2908
4012,Bamble,2035,SIZE_2,2480
4012,Bamble,2035,SIZE_3,785
4012,Bamble,2035,SIZE_4,712
4012,Bamble,2035,SIZE_5,254
4012,Bamble,2035,SIZE_6_INF,73
4012,Bamble,2036,SIZE_1,2916
4012,Bamble,2036,SIZE_2,2484
4012,Bamble,2036,SIZE_3,783
4012,Bamble,2036,SIZE_4,712
4012,Bamble,2036,SIZE_5,254
4012,Bamble,2036,SIZE_6_INF,73
4012,Bamble,2037,SIZE_1,2927
4012,Bamble,2037,SIZE_2,2491
4012,Bamble,2037,SIZE_3,782
4012,Bamble,2037,SIZE_4,711
4012,Bamble,2037,SIZE_5,254
4012,Bamble,2037,SIZE_6_INF,73
4012,Bamble,2038,SIZE_1,2935
4012,Bamble,2038,SIZE_2,2495
4012,Bamble,2038,SIZE_3,783
4012,Bamble,2038,SIZE_4,710
4012,Bamble,2038,SIZE_5,253
4012,Bamble,2038,SIZE_6_INF,73
4012,Bamble,2039,SIZE_1,2942
4012,Bamble,2039,SIZE_2,2499
4012,Bamble,2039,SIZE_3,784
4012,Bamble,2039,SIZE_4,709
4012,Bamble,2039,SIZE_5,252
4012,Bamble,2039,SIZE_6_INF,72
4012,Bamble,2040,SIZE_1,2948
4012,Bamble,2040,SIZE_2,2503
4012,Bamble,2040,SIZE_3,783
4012,Bamble,2040,SIZE_4,707
4012,Bamble,2040,SIZE_5,251
4012,Bamble,2040,SIZE_6_INF,72
4012,Bamble,2041,SIZE_1,2952
4012,Bamble,2041,SIZE_2,2506
4012,Bamble,2041,SIZE_3,783
4012,Bamble,2041,SIZE_4,707
4012,Bamble,2041,SIZE_5,251
4012,Bamble,2041,SIZE_6_INF,72
4012,Bamble,2042,SIZE_1,2955
4012,Bamble,2042,SIZE_2,2509
4012,Bamble,2042,SIZE_3,783
4012,Bamble,2042,SIZE_4,705
4012,Bamble,2042,SIZE_5,250
4012,Bamble,2042,SIZE_6_INF,72
4012,Bamble,2043,SIZE_1,2961
4012,Bamble,2043,SIZE_2,2513
4012,Bamble,2043,SIZE_3,782
4012,Bamble,2043,SIZE_4,702
4012,Bamble,2043,SIZE_5,248
4012,Bamble,2043,SIZE_6_INF,71
4012,Bamble,2044,SIZE_1,2960
4012,Bamble,2044,SIZE_2,2514
4012,Bamble,2044,SIZE_3,782
4012,Bamble,2044,SIZE_4,701
4012,Bamble,2044,SIZE_5,248
4012,Bamble,2044,SIZE_6_INF,71
4012,Bamble,2045,SIZE_1,2968
4012,Bamble,2045,SIZE_2,2515
4012,Bamble,2045,SIZE_3,780
4012,Bamble,2045,SIZE_4,698
4012,Bamble,2045,SIZE_5,247
4012,Bamble,2045,SIZE_6_INF,71
4012,Bamble,2046,SIZE_1,2971
4012,Bamble,2046,SIZE_2,2516
4012,Bamble,2046,SIZE_3,780
4012,Bamble,2046,SIZE_4,697
4012,Bamble,2046,SIZE_5,247
4012,Bamble,2046,SIZE_6_INF,71
4012,Bamble,2047,SIZE_1,2978
4012,Bamble,2047,SIZE_2,2515
4012,Bamble,2047,SIZE_3,778
4012,Bamble,2047,SIZE_4,696
4012,Bamble,2047,SIZE_5,246
4012,Bamble,2047,SIZE_6_INF,71
4012,Bamble,2048,SIZE_1,2982
4012,Bamble,2048,SIZE_2,2517
4012,Bamble,2048,SIZE_3,777
4012,Bamble,2048,SIZE_4,694
4012,Bamble,2048,SIZE_5,246
4012,Bamble,2048,SIZE_6_INF,71
4012,Bamble,2049,SIZE_1,2988
4012,Bamble,2049,SIZE_2,2516
4012,Bamble,2049,SIZE_3,775
4012,Bamble,2049,SIZE_4,691
4012,Bamble,2049,SIZE_5,245
4012,Bamble,2049,SIZE_6_INF,71
4012,Bamble,2050,SIZE_1,2993
4012,Bamble,2050,SIZE_2,2517
4012,Bamble,2050,SIZE_3,773
4012,Bamble,2050,SIZE_4,689
4012,Bamble,2050,SIZE_5,244
4012,Bamble,2050,SIZE_6_INF,71
4014,Kragerø,2026,SIZE_1,1952
4014,Kragerø,2026,SIZE_2,1789
4014,Kragerø,2026,SIZE_3,585
4014,Kragerø,2026,SIZE_4,515
4014,Kragerø,2026,SIZE_5,220
4014,Kragerø,2026,SIZE_6_INF,64
4014,Kragerø,2027,SIZE_1,1969
4014,Kragerø,2027,SIZE_2,1794
4014,Kragerø,2027,SIZE_3,582
4014,Kragerø,2027,SIZE_4,512
4014,Kragerø,2027,SIZE_5,219
4014,Kragerø,2027,SIZE_6_INF,64
4014,Kragerø,2028,SIZE_1,1985
4014,Kragerø,2028,SIZE_2,1798
4014,Kragerø,2028,SIZE_3,579
4014,Kragerø,2028,SIZE_4,510
4014,Kragerø,2028,SIZE_5,219
4014,Kragerø,2028,SIZE_6_INF,64
4014,Kragerø,2029,SIZE_1,2004
