Kommunenummer,Geografi,År,Alder,Innvandringsbakgrunn,Andel
4020,Midt-Telemark,2018-01-01,alle aldre,totalt,9.69921332716335
4020,Midt-Telemark,2019-01-01,alle aldre,innvandrere,26.1329305135952
4020,Midt-Telemark,2019-01-01,alle aldre,totalt,9.67503692762186
4020,Midt-Telemark,2020-01-01,alle aldre,innvandrere,25.8208955223881
4020,Midt-Telemark,2020-01-01,alle aldre,totalt,10.1613202299277
4020,Midt-Telemark,2021-01-01,alle aldre,innvandrere,25.954738330976
4020,Midt-Telemark,2021-01-01,alle aldre,totalt,10.4638321369409
4020,Midt-Telemark,2022-01-01,alle aldre,innvandrere,26.514131897712
4020,Midt-Telemark,2022-01-01,alle aldre,totalt,11.0053103827138
4020,Midt-Telemark,2023-01-01,alle aldre,innvandrere,25.2487562189055
4020,Midt-Telemark,2023-01-01,alle aldre,totalt,10.368164591229
4020,Midt-Telemark,2024-01-01,alle aldre,innvandrere,20.552677029361
4020,Midt-Telemark,2024-01-01,alle aldre,totalt,9.21884742139485
4022,Seljord,2015-01-01,alle aldre,innvandrere,
4022,Seljord,2015-01-01,alle aldre,totalt,6.44718792866941
4022,Seljord,2016-01-01,alle aldre,innvandrere,
4022,Seljord,2016-01-01,alle aldre,totalt,6.12525808671714
4022,Seljord,2017-01-01,alle aldre,innvandrere,
4022,Seljord,2017-01-01,alle aldre,totalt,6.67589069526116
4022,Seljord,2018-01-01,alle aldre,innvandrere,
4022,Seljord,2018-01-01,alle aldre,totalt,6.53685674547983
4022,Seljord,2019-01-01,alle aldre,innvandrere,
4022,Seljord,2019-01-01,alle aldre,totalt,6.27615062761506
4022,Seljord,2020-01-01,alle aldre,innvandrere,
4022,Seljord,2020-01-01,alle aldre,totalt,6.56261085491309
4022,Seljord,2021-01-01,alle aldre,innvandrere,21.5094339622642
4022,Seljord,2021-01-01,alle aldre,totalt,6.10955056179775
4022,Seljord,2022-01-01,alle aldre,innvandrere,22.4199288256228
4022,Seljord,2022-01-01,alle aldre,totalt,5.85951288386869
4022,Seljord,2023-01-01,alle aldre,innvandrere,24.1590214067278
4022,Seljord,2023-01-01,alle aldre,totalt,6.2088102670829
4022,Seljord,2024-01-01,alle aldre,innvandrere,20.6521739130435
4022,Seljord,2024-01-01,alle aldre,totalt,6.19226821758467
4024,Hjartdal,2015-01-01,alle aldre,innvandrere,37.6470588235294
4024,Hjartdal,2015-01-01,alle aldre,totalt,9.00131406044678
4024,Hjartdal,2016-01-01,alle aldre,innvandrere,42.156862745098
4024,Hjartdal,2016-01-01,alle aldre,totalt,9.12596401028278
4024,Hjartdal,2017-01-01,alle aldre,innvandrere,38.3177570093458
4024,Hjartdal,2017-01-01,alle aldre,totalt,7.45301360985094
4024,Hjartdal,2018-01-01,alle aldre,innvandrere,34.2105263157895
4024,Hjartdal,2018-01-01,alle aldre,totalt,6.93454309786131
4024,Hjartdal,2019-01-01,alle aldre,innvandrere,25.0
4024,Hjartdal,2019-01-01,alle aldre,totalt,6.40941792020929
4024,Hjartdal,2020-01-01,alle aldre,innvandrere,29.8245614035088
4024,Hjartdal,2020-01-01,alle aldre,totalt,6.47905759162304
