stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:35410,Melum kirke,59.207839,9.428531,,,NSR:StopPlace:20273,,700,
NSR:Quay:35411,Melum kirke,59.208371,9.427409,,,NSR:StopPlace:20273,,700,
NSR:Quay:35412,Funnemark Gåserud,59.311119,9.186784,,,NSR:StopPlace:20274,,700,
NSR:Quay:35413,Funnemark Gåserud,59.311136,9.187114,,,NSR:StopPlace:20274,,700,
NSR:Quay:35416,Melum skole,59.206055,9.410552,,,NSR:StopPlace:20276,,700,
NSR:Quay:35417,Melum skole,59.205994,9.410272,,,NSR:StopPlace:20276,,700,
NSR:Quay:35418,Funnlid,59.678024,8.170913,,,NSR:StopPlace:20277,,700,
NSR:Quay:35419,Funnlid,59.677925,8.170958,,,NSR:StopPlace:20277,,700,
NSR:Quay:35420,Hommo,59.610132,8.020516,,,NSR:StopPlace:20278,,700,
NSR:Quay:35421,Hommo,59.610100,8.020317,,,NSR:StopPlace:20278,,700,
NSR:Quay:35422,Melås,59.593630,9.091746,,,NSR:StopPlace:20279,,700,
NSR:Quay:35423,Melås,59.593650,9.091622,,,NSR:StopPlace:20279,,700,
NSR:Quay:35424,Hommostøylen,59.601700,8.019957,,,NSR:StopPlace:20280,,700,
NSR:Quay:35425,Furuheim,59.170851,9.649191,,,NSR:StopPlace:20281,,700,
NSR:Quay:35426,Hommostøylen,59.601630,8.020064,,,NSR:StopPlace:20280,,700,
NSR:Quay:35427,Furuheim,59.170701,9.649636,,,NSR:StopPlace:20281,,700,
NSR:Quay:35428,Menstad,59.168136,9.647383,,,NSR:StopPlace:20282,,700,
NSR:Quay:35429,Furuholmen brygge,58.860080,9.404823,,,NSR:StopPlace:20283,,1000,
NSR:Quay:35430,Hoppestad,59.254033,9.565098,,,NSR:StopPlace:20284,,700,
NSR:Quay:35431,Hoppestad,59.254695,9.565065,,,NSR:StopPlace:20284,,700,
NSR:Quay:35432,Menstad,59.168234,9.647557,,,NSR:StopPlace:20282,,700,
NSR:Quay:35433,Furulund,59.056493,9.690636,,,NSR:StopPlace:20286,,700,
NSR:Quay:35434,Hoppestad nord,59.258323,9.564006,,,NSR:StopPlace:20287,,700,
NSR:Quay:35435,Hoppestad nord,59.258557,9.563650,,,NSR:StopPlace:20287,,700,
NSR:Quay:35436,Menstadbrua,59.175023,9.640557,,,NSR:StopPlace:20291,,700,
NSR:Quay:35437,Furulund,59.056354,9.691315,,,NSR:StopPlace:20286,,700,
NSR:Quay:35438,Hosum,59.265842,8.079178,,,NSR:StopPlace:20290,,700,
NSR:Quay:35439,Hosum,59.265868,8.078966,,,NSR:StopPlace:20290,,700,
NSR:Quay:35441,Furumoen,59.594486,9.035991,,,NSR:StopPlace:20292,,700,
NSR:Quay:35442,Furumoen,59.594450,9.035937,,,NSR:StopPlace:20292,,700,
NSR:Quay:35443,Merde,59.562006,9.230337,,,NSR:StopPlace:20293,,700,
NSR:Quay:35444,Merde,59.561832,9.230289,,,NSR:StopPlace:20293,,700,
NSR:Quay:35446,Furuvald,59.281886,9.544359,,,NSR:StopPlace:20295,,700,
NSR:Quay:35447,Furuvald,59.281819,9.544308,,,NSR:StopPlace:20295,,700,
NSR:Quay:35451,Merkebekk,58.980757,9.245918,,,NSR:StopPlace:20297,,700,
NSR:Quay:35452,Futehagen,59.146537,9.614673,,,NSR:StopPlace:20298,,700,
NSR:Quay:35453,Hovet kryss,59.800321,8.263510,,,NSR:StopPlace:20299,,700,
NSR:Quay:35454,Hovet kryss,59.800344,8.263350,,,NSR:StopPlace:20299,,700,
NSR:Quay:35455,Bondal,59.236377,7.971498,,,NSR:StopPlace:20300,,700,
NSR:Quay:35456,Bondal,59.236471,7.971311,,,NSR:StopPlace:20300,,700,
NSR:Quay:35457,Futehagen,59.147274,9.614177,,,NSR:StopPlace:20298,,700,
NSR:Quay:35458,Hovin sentrum,59.851720,9.029954,,,NSR:StopPlace:20302,,700,
NSR:Quay:35459,Hovin sentrum,59.851710,9.029751,,,NSR:StopPlace:20302,,700,
NSR:Quay:35460,Meås,59.460976,8.575189,,,NSR:StopPlace:20303,,700,
NSR:Quay:35461,Meås,59.460902,8.574821,,,NSR:StopPlace:20303,,700,
NSR:Quay:35464,Løberg,59.202717,9.657549,,,NSR:StopPlace:20305,,700,
NSR:Quay:35465,Meås nord,59.456460,8.564401,,,NSR:StopPlace:20306,,700,
NSR:Quay:35466,Meås nord,59.456182,8.562864,,,NSR:StopPlace:20306,,700,
NSR:Quay:35467,Løberg,59.202805,9.657550,,,NSR:StopPlace:20305,,700,
NSR:Quay:35469,Fylkeshuset,59.214448,9.610307,,,NSR:StopPlace:20307,,700,
NSR:Quay:35470,Hundsvikkilen,58.940970,9.333535,,,NSR:StopPlace:20308,,700,
NSR:Quay:35471,Midjås kryss,59.445038,7.928409,,,NSR:StopPlace:20312,,700,
NSR:Quay:35474,Hundsvikkilen,58.940972,9.333344,,,NSR:StopPlace:20308,,700,
NSR:Quay:35475,Midjås kryss,59.445053,7.928100,,,NSR:StopPlace:20312,,700,
NSR:Quay:35476,Hustvedt,59.191452,9.464148,,,NSR:StopPlace:20313,,700,
NSR:Quay:35477,Fyrileiv,59.595837,9.139383,,,NSR:StopPlace:20314,,700,
NSR:Quay:35478,Bø sjukeheim,59.414534,9.069750,,,NSR:StopPlace:6034,,700,
NSR:Quay:35479,Midtbygda,59.413501,9.069085,,,NSR:StopPlace:20315,,700,
NSR:Quay:35480,Hustveit,59.565060,9.178608,,,NSR:StopPlace:20316,,700,
NSR:Quay:35481,Hustveit,59.565128,9.178664,,,NSR:StopPlace:20316,,700,
NSR:Quay:35482,Gamle Bamblevei,59.003425,9.739396,,,NSR:StopPlace:20317,,700,
NSR:Quay:35483,Gamle Bamblevei,59.003778,9.738546,,,NSR:StopPlace:20317,,700,
NSR:Quay:35484,Midtbygda kryss,59.412260,9.071648,,,NSR:StopPlace:20318,,700,
NSR:Quay:35485,Midtbygda kryss,59.412785,9.070589,,,NSR:StopPlace:20318,,700,
NSR:Quay:35486,Hydal,59.018447,9.737744,,,NSR:StopPlace:20319,,700,
NSR:Quay:35487,Hydal,59.017708,9.738151,,,NSR:StopPlace:20319,,700,
NSR:Quay:35488,Gamle Heistad skole,59.075722,9.683611,,,NSR:StopPlace:20320,,700,
NSR:Quay:35489,Gamle Heistad skole,59.075691,9.683448,,,NSR:StopPlace:20320,,700,
NSR:Quay:35490,Midtbygda skole,59.271595,9.709176,,,NSR:StopPlace:20321,,700,
NSR:Quay:35492,Gamle Kikutveg,59.250922,9.663766,,,NSR:StopPlace:20323,,700,
NSR:Quay:35493,Gamle Kikutveg,59.250256,9.663087,,,NSR:StopPlace:20323,,700,
NSR:Quay:35494,Midtbø,59.588856,7.916771,,,NSR:StopPlace:20324,,700,
NSR:Quay:35495,Midtbø,59.588703,7.916994,,,NSR:StopPlace:20324,,700,
NSR:Quay:35496,Hylland,59.587852,8.009007,,,NSR:StopPlace:20325,,700,
NSR:Quay:35497,Hylland,59.587820,8.009097,,,NSR:StopPlace:20325,,700,
NSR:Quay:35498,Gamle Meinstad,59.147614,8.512570,,,NSR:StopPlace:20326,,700,
NSR:Quay:35499,Gamle Meinstad,59.147624,8.512733,,,NSR:StopPlace:20326,,700,
NSR:Quay:35500,Midtstrand,59.088601,8.537380,,,NSR:StopPlace:20327,,700,
NSR:Quay:35501,Midtstrand,59.088602,8.537246,,,NSR:StopPlace:20327,,700,
NSR:Quay:35502,Hylland kryss,59.582512,8.008086,,,NSR:StopPlace:20328,,700,
NSR:Quay:35503,Hylland kryss,59.582461,8.007853,,,NSR:StopPlace:20328,,700,
NSR:Quay:35504,Gamle Sollia kryss,58.899507,9.373368,,,NSR:StopPlace:20332,,700,
NSR:Quay:35505,Midtsund,59.398134,8.499904,,,NSR:StopPlace:20330,,700,
NSR:Quay:35506,Midtsund,59.398465,8.499633,,,NSR:StopPlace:20330,,700,
NSR:Quay:35507,Hyllandsfoss,59.580930,8.000907,,,NSR:StopPlace:20331,,700,
NSR:Quay:35508,Hyllandsfoss,59.580975,8.000976,,,NSR:StopPlace:20331,,700,
NSR:Quay:35509,Gamle Sollia kryss,58.899674,9.373843,,,NSR:StopPlace:20332,,700,
NSR:Quay:35510,Miland indre,59.925107,8.753671,,,NSR:StopPlace:20333,,700,
NSR:Quay:35511,Miland indre,59.925094,8.753974,,,NSR:StopPlace:20333,,700,
NSR:Quay:35513,Gamle postveg,59.089535,9.688520,,,NSR:StopPlace:20335,,700,
NSR:Quay:35514,Håkanes,59.938038,8.839622,,,NSR:StopPlace:20336,,700,
NSR:Quay:35515,Miland,59.924168,8.754921,,,NSR:StopPlace:20337,,700,
NSR:Quay:35516,Gamle postveg,59.089577,9.688724,,,NSR:StopPlace:20335,,700,
NSR:Quay:35517,Håstul,59.207155,8.945280,,,NSR:StopPlace:20339,,700,
NSR:Quay:35518,Håstul,59.207061,8.945210,,,NSR:StopPlace:20339,,700,
NSR:Quay:35519,Gamlegrensa,59.218566,9.589493,,,NSR:StopPlace:20340,,700,
NSR:Quay:35523,Håtveit,59.479885,7.854959,,,NSR:StopPlace:20342,,700,
NSR:Quay:35524,Gampedalen,59.203149,9.615633,,,NSR:StopPlace:20343,,700,
NSR:Quay:35525,Gampedalen,59.202173,9.616210,,,NSR:StopPlace:20343,,700,
NSR:Quay:35526,Mjonøy,59.634497,7.801192,,,NSR:StopPlace:20344,,700,
NSR:Quay:35527,Mjonøy,59.633698,7.801073,,,NSR:StopPlace:20344,,700,
NSR:Quay:35528,Snippen,59.615784,9.282722,,,NSR:StopPlace:20345,,700,
NSR:Quay:35529,Snippen,59.615982,9.282156,,,NSR:StopPlace:20345,,700,
NSR:Quay:35530,Garasjene,59.186724,9.632539,,,NSR:StopPlace:20346,,700,
NSR:Quay:35531,Garasjene,59.186623,9.632491,,,NSR:StopPlace:20346,,700,
NSR:Quay:35532,Mo,59.300276,9.557427,,,NSR:StopPlace:20347,,700,
NSR:Quay:35533,Mo,59.300301,9.557585,,,NSR:StopPlace:20347,,700,
NSR:Quay:35534,Høen,59.015484,9.608295,,,NSR:StopPlace:20348,,700,
NSR:Quay:35535,Høen,59.015520,9.608592,,,NSR:StopPlace:20348,,700,
NSR:Quay:35536,Garatun,59.698655,8.108699,,,NSR:StopPlace:20349,,700,
NSR:Quay:35537,Garatun,59.698651,8.108919,,,NSR:StopPlace:20349,,700,
