Fylke,År (intervall),År,Kjønn,Alder,Krefttyper,Måltall,Antall,SortKjonn,SortFylke
Rogaland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,11
Rogaland,2016-2025,2025-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",761.4,2,11
Rogaland,2016-2025,2025-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",94.6,2,11
Rogaland,2016-2025,2025-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",72.2,2,11
Rogaland,2016-2025,2025-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",123.9,2,11
Rogaland,2016-2025,2025-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",52.7,2,11
Rogaland,2016-2025,2025-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",,2,11
Rogaland,2016-2025,2025-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,11
Rogaland,2016-2025,2025-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",222.1,2,11
Rogaland,2016-2025,2025-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",640.0,3,11
Rogaland,2016-2025,2025-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",85.4,3,11
Rogaland,2016-2025,2025-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",64.0,3,11
Rogaland,2016-2025,2025-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",116.2,3,11
Rogaland,2016-2025,2025-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",50.5,3,11
Rogaland,2016-2025,2025-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",147.5,3,11
Rogaland,2016-2025,2025-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",11.7,3,11
Rogaland,2016-2025,2025-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,11
Vestland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",687.5,1,15
Vestland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",95.1,1,15
Vestland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",61.6,1,15
Vestland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",116.3,1,15
Vestland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",52.0,1,15
Vestland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",68.8,1,15
Vestland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,15
Vestland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,15
Vestland,2016-2025,2025-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",736.5,2,15
Vestland,2016-2025,2025-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",100.3,2,15
Vestland,2016-2025,2025-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",65.2,2,15
Vestland,2016-2025,2025-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",120.8,2,15
Vestland,2016-2025,2025-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",53.3,2,15
Vestland,2016-2025,2025-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",1.0,2,15
Vestland,2016-2025,2025-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,15
Vestland,2016-2025,2025-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",204.2,2,15
Vestland,2016-2025,2025-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",637.5,3,15
Vestland,2016-2025,2025-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",89.8,3,15
Vestland,2016-2025,2025-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",57.9,3,15
Vestland,2016-2025,2025-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",111.8,3,15
Vestland,2016-2025,2025-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",50.7,3,15
Vestland,2016-2025,2025-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",137.6,3,15
Vestland,2016-2025,2025-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.5,3,15
Vestland,2016-2025,2025-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,15
Møre og Romsdal,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",615.2,1,8
Møre og Romsdal,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",96.1,1,8
Møre og Romsdal,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",62.6,1,8
Møre og Romsdal,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",64.3,1,8
Møre og Romsdal,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",32.5,1,8
Møre og Romsdal,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",73.4,1,8
Møre og Romsdal,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,8
Møre og Romsdal,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,8
Møre og Romsdal,2016-2025,2025-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",646.0,2,8
Møre og Romsdal,2016-2025,2025-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",97.1,2,8
Møre og Romsdal,2016-2025,2025-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",63.9,2,8
Møre og Romsdal,2016-2025,2025-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",67.9,2,8
Møre og Romsdal,2016-2025,2025-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",32.7,2,8
Møre og Romsdal,2016-2025,2025-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",1.3,2,8
Møre og Romsdal,2016-2025,2025-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,8
Møre og Romsdal,2016-2025,2025-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",175.9,2,8
Møre og Romsdal,2016-2025,2025-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",584.0,3,8
Møre og Romsdal,2016-2025,2025-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",95.3,3,8
Møre og Romsdal,2016-2025,2025-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",61.4,3,8
Møre og Romsdal,2016-2025,2025-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",60.5,3,8
Møre og Romsdal,2016-2025,2025-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",32.3,3,8
Møre og Romsdal,2016-2025,2025-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",146.5,3,8
Møre og Romsdal,2016-2025,2025-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",9.9,3,8
Møre og Romsdal,2016-2025,2025-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,8
Trøndelag Trööndelage,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",639.8,1,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",89.6,1,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",57.8,1,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",94.0,1,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",51.3,1,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",69.9,1,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",660.7,2,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",91.8,2,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",54.1,2,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",96.3,2,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",49.2,2,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",0.9,2,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",178.5,2,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",618.8,3,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",87.3,3,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",61.5,3,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",91.8,3,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",53.5,3,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",140.1,3,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",12.1,3,13
Trøndelag Trööndelage,2016-2025,2025-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,13
Nordland Nordlánnda,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",649.7,1,9
Nordland Nordlánnda,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",93.2,1,9
Nordland Nordlánnda,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",70.6,1,9
Nordland Nordlánnda,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",66.9,1,9
Nordland Nordlánnda,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",30.8,1,9
Nordland Nordlánnda,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",68.0,1,9
Nordland Nordlánnda,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,9
Nordland Nordlánnda,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,9
Nordland Nordlánnda,2016-2025,2025-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",685.6,2,9
Nordland Nordlánnda,2016-2025,2025-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",95.2,2,9
Nordland Nordlánnda,2016-2025,2025-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",68.3,2,9
Nordland Nordlánnda,2016-2025,2025-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",71.8,2,9
Nordland Nordlánnda,2016-2025,2025-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",31.8,2,9
Nordland Nordlánnda,2016-2025,2025-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",,2,9
Nordland Nordlánnda,2016-2025,2025-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,9
Nordland Nordlánnda,2016-2025,2025-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",199.8,2,9
Nordland Nordlánnda,2016-2025,2025-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",613.1,3,9
Nordland Nordlánnda,2016-2025,2025-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",91.2,3,9
Nordland Nordlánnda,2016-2025,2025-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",73.1,3,9
Nordland Nordlánnda,2016-2025,2025-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",61.8,3,9
Nordland Nordlánnda,2016-2025,2025-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",29.8,3,9
Nordland Nordlánnda,2016-2025,2025-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",135.7,3,9
Nordland Nordlánnda,2016-2025,2025-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",11.9,3,9
Nordland Nordlánnda,2016-2025,2025-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,9
Troms Romsa Tromssa,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",639.7,1,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",88.1,1,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",71.1,1,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",72.3,1,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",36.1,1,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",,1,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",664.4,2,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",86.2,2,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",70.9,2,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",74.5,2,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",36.1,2,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",,2,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",166.9,2,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",615.0,3,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",90.2,3,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",71.3,3,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",70.1,3,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",36.1,3,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",131.6,3,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",11.0,3,12
Troms Romsa Tromssa,2016-2025,2025-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,12
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",607.5,1,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",76.6,1,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",81.4,1,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",48.1,1,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",23.6,1,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",,1,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",651.5,2,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",85.4,2,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",87.7,2,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",48.8,2,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",23.3,2,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",,2,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",170.0,2,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",562.0,3,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",67.1,3,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",74.6,3,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",47.5,3,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",23.9,3,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",124.1,3,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.7,3,6
Finnmark Finnmárku Finmarkku,2016-2025,2025-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,6
