Fylke,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Oslo (fylke),2024-01-01,Kvinner,15-24 år,Psykiske lidelser,"per 1000, standardisert",107.4,3,5,10
Oslo (fylke),2024-01-01,Kvinner,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",277.1,3,6,10
Oslo (fylke),2024-01-01,Kvinner,25-44 år,Psykiske symptomer,"per 1000, standardisert",210.3,3,6,10
Oslo (fylke),2024-01-01,Kvinner,25-44 år,Psykiske lidelser,"per 1000, standardisert",128.4,3,6,10
Oslo (fylke),2024-01-01,Kvinner,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",247.8,3,7,10
Oslo (fylke),2024-01-01,Kvinner,45-74 år,Psykiske symptomer,"per 1000, standardisert",192.7,3,7,10
Oslo (fylke),2024-01-01,Kvinner,45-74 år,Psykiske lidelser,"per 1000, standardisert",98.7,3,7,10
Oslo (fylke),2024-01-01,Kvinner,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",245.8,3,8,10
Oslo (fylke),2024-01-01,Kvinner,75-79 år,Psykiske symptomer,"per 1000, standardisert",192.8,3,8,10
Oslo (fylke),2024-01-01,Kvinner,75-79 år,Psykiske lidelser,"per 1000, standardisert",90.9,3,8,10
Østfold,2024-01-01,Kjønn samlet,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",208.6,1,1,16
Østfold,2024-01-01,Kjønn samlet,0-74 år,Psykiske symptomer,"per 1000, standardisert",150.8,1,1,16
Østfold,2024-01-01,Kjønn samlet,0-74 år,Psykiske lidelser,"per 1000, standardisert",99.6,1,1,16
Østfold,2024-01-01,Kjønn samlet,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",203.8,1,2,16
Østfold,2024-01-01,Kjønn samlet,0-44 år,Psykiske symptomer,"per 1000, standardisert",141.0,1,2,16
Østfold,2024-01-01,Kjønn samlet,0-44 år,Psykiske lidelser,"per 1000, standardisert",107.4,1,2,16
Østfold,2024-01-01,Kjønn samlet,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",143.0,1,3,16
Østfold,2024-01-01,Kjønn samlet,0-24 år,Psykiske symptomer,"per 1000, standardisert",95.1,1,3,16
