Fylke,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Hele landet,2025-01-01,Menn,45-74 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",27.5,2,8,2
Hele landet,2025-01-01,Menn,45-74 år,KOLS (J44),"per 1000, standardisert",1.5,2,8,2
Hele landet,2025-01-01,Menn,45-74 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",21.2,2,8,2
Hele landet,2025-01-01,Menn,45-74 år,Personskader (S00-T78),"per 1000, standardisert",12.5,2,8,2
Hele landet,2025-01-01,Menn,45-74 år,Hodeskader (S00-S09),"per 1000, standardisert",2.5,2,8,2
Hele landet,2025-01-01,Menn,45-74 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.9,2,8,2
Hele landet,2025-01-01,Menn,45-74 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.5,2,8,2
Hele landet,2025-01-01,Menn,45-64 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",19.1,2,9,2
Hele landet,2025-01-01,Menn,45-64 år,KOLS (J44),"per 1000, standardisert",0.6,2,9,2
Hele landet,2025-01-01,Menn,45-64 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",17.9,2,9,2
Hele landet,2025-01-01,Menn,45-64 år,Personskader (S00-T78),"per 1000, standardisert",11.1,2,9,2
Hele landet,2025-01-01,Menn,45-64 år,Hodeskader (S00-S09),"per 1000, standardisert",1.9,2,9,2
Hele landet,2025-01-01,Menn,45-64 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.5,2,9,2
Hele landet,2025-01-01,Menn,45-64 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.6,2,9,2
Hele landet,2025-01-01,Menn,65-74 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",49.6,2,10,2
Hele landet,2025-01-01,Menn,65-74 år,KOLS (J44),"per 1000, standardisert",3.6,2,10,2
Hele landet,2025-01-01,Menn,65-74 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",29.9,2,10,2
Hele landet,2025-01-01,Menn,65-74 år,Personskader (S00-T78),"per 1000, standardisert",16.2,2,10,2
Hele landet,2025-01-01,Menn,65-74 år,Hodeskader (S00-S09),"per 1000, standardisert",4.0,2,10,2
Hele landet,2025-01-01,Menn,65-74 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.1,2,10,2
Hele landet,2025-01-01,Menn,65-74 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.4,2,10,2
Hele landet,2025-01-01,Menn,75 år+,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",88.8,2,11,2
Hele landet,2025-01-01,Menn,75 år+,KOLS (J44),"per 1000, standardisert",8.8,2,11,2
Hele landet,2025-01-01,Menn,75 år+,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",33.8,2,11,2
Hele landet,2025-01-01,Menn,75 år+,Personskader (S00-T78),"per 1000, standardisert",36.4,2,11,2
Hele landet,2025-01-01,Menn,75 år+,Hodeskader (S00-S09),"per 1000, standardisert",11.9,2,11,2
Hele landet,2025-01-01,Menn,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",9.8,2,11,2
Hele landet,2025-01-01,Menn,75 år+,Forgiftninger (T36-T65),"per 1000, standardisert",0.6,2,11,2
Hele landet,2025-01-01,Menn,75-79 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",75.9,2,12,2
Hele landet,2025-01-01,Menn,75-79 år,KOLS (J44),"per 1000, standardisert",7.7,2,12,2
Hele landet,2025-01-01,Menn,75-79 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",35.3,2,12,2
Hele landet,2025-01-01,Menn,75-79 år,Personskader (S00-T78),"per 1000, standardisert",24.3,2,12,2
Hele landet,2025-01-01,Menn,75-79 år,Hodeskader (S00-S09),"per 1000, standardisert",7.2,2,12,2
Hele landet,2025-01-01,Menn,75-79 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",5.2,2,12,2
Hele landet,2025-01-01,Menn,75-79 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.6,2,12,2
Hele landet,2025-01-01,Menn,80 år+,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",100.5,2,13,2
Hele landet,2025-01-01,Menn,80 år+,KOLS (J44),"per 1000, standardisert",9.8,2,13,2
Hele landet,2025-01-01,Menn,80 år+,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",32.5,2,13,2
Hele landet,2025-01-01,Menn,80 år+,Personskader (S00-T78),"per 1000, standardisert",47.4,2,13,2
Hele landet,2025-01-01,Menn,80 år+,Hodeskader (S00-S09),"per 1000, standardisert",16.1,2,13,2
Hele landet,2025-01-01,Menn,80 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",14.1,2,13,2
Hele landet,2025-01-01,Menn,80 år+,Forgiftninger (T36-T65),"per 1000, standardisert",0.7,2,13,2
Hele landet,2025-01-01,Kvinner,Alle aldre,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",12.8,3,1,2
Hele landet,2025-01-01,Kvinner,Alle aldre,KOLS (J44),"per 1000, standardisert",1.6,3,1,2
Hele landet,2025-01-01,Kvinner,Alle aldre,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",18.4,3,1,2
Hele landet,2025-01-01,Kvinner,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.5,3,1,2
Hele landet,2025-01-01,Kvinner,Alle aldre,Hodeskader (S00-S09),"per 1000, standardisert",2.4,3,1,2
Hele landet,2025-01-01,Kvinner,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.0,3,1,2
Hele landet,2025-01-01,Kvinner,Alle aldre,Forgiftninger (T36-T65),"per 1000, standardisert",0.9,3,1,2
