Dekning for fast bredbånd på kommunenivå;;;;;;;;;;;;;;;;;;;;;;;;;;
Tettbygd og spredtbygd samlet;;;;;;;;;;;;;;;;;;;;;;;;;;
Mobildekning (4G og 5G) er ikke inkludert i disse tabellene;;Teknologidekning;;;;;;;;Hastighet - alle teknologier på fast bredbånd;;;;;Hastighet uten DSL;;;;;Hastighet i kablede nett;;;;;Hastighet for FTB;
Kommune;Fylke;Fiber;Kabel-TV-nett;DSL;FTB;Fiber + kabel-TV-nett;Fiber + kabel-TV-nett + DSL;Fiber + kabel-TV-nett + FTB;Fast bredbånd totalt;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100
ALVER;VESTLAND;84,1 %;0,0 %;83,3 %;96,2 %;84,1 %;96,5 %;99,6 %;99,9 %;98,7 %;85,5 %;84,1 %;84,1 %;;98,6 %;85,5 %;84,1 %;84,1 %;;86 %;84,1 %;84,1 %;84,1 %;;94 %;11,8 %
ASKVOLL;VESTLAND;93,3 %;0,0 %;71,5 %;94,6 %;93,3 %;98,4 %;99,4 %;100,0 %;96,4 %;93,3 %;93,3 %;93,3 %;;96,4 %;93,3 %;93,3 %;93,3 %;;94 %;93,3 %;93,3 %;93,3 %;;67 %;3,2 %
ASKØY;VESTLAND;95,5 %;1,5 %;91,7 %;87,1 %;96,9 %;99,7 %;100,0 %;100,0 %;100,0 %;98,6 %;96,9 %;95,5 %;;99,9 %;98,6 %;96,9 %;95,5 %;;98 %;96,9 %;96,9 %;95,5 %;;86 %;44,0 %
AURLAND;VESTLAND;92,3 %;55,3 %;87,4 %;99,7 %;93,8 %;99,1 %;99,9 %;100,0 %;99,1 %;93,8 %;92,3 %;92,3 %;;99,1 %;93,8 %;92,3 %;92,3 %;;94 %;93,8 %;92,3 %;92,3 %;;97 %;0,0 %
AUSTEVOLL;VESTLAND;99,1 %;0,0 %;68,0 %;99,7 %;99,1 %;99,6 %;100,0 %;100,0 %;100,0 %;99,1 %;99,1 %;99,1 %;;100,0 %;99,1 %;99,1 %;99,1 %;;99 %;99,1 %;99,1 %;99,1 %;;97 %;0,0 %
AUSTRHEIM;VESTLAND;91,4 %;0,0 %;93,4 %;95,2 %;91,4 %;97,4 %;100,0 %;100,0 %;98,8 %;91,4 %;91,4 %;91,4 %;;98,8 %;91,4 %;91,4 %;91,4 %;;92 %;91,4 %;91,4 %;91,4 %;;85 %;0,0 %
BERGEN;VESTLAND;83,8 %;44,8 %;97,1 %;92,6 %;98,5 %;99,9 %;100,0 %;100,0 %;100,0 %;99,6 %;98,5 %;83,8 %;;100,0 %;99,6 %;98,5 %;83,8 %;;99 %;98,5 %;98,5 %;83,8 %;;92 %;69,2 %
BJØRNAFJORDEN;VESTLAND;95,9 %;1,8 %;86,8 %;59,0 %;96,7 %;99,5 %;99,8 %;100,0 %;99,5 %;96,7 %;96,7 %;95,9 %;;99,5 %;96,7 %;96,7 %;95,9 %;;97 %;96,7 %;96,7 %;95,9 %;;54 %;0,0 %
BREMANGER;VESTLAND;96,0 %;0,0 %;92,7 %;58,2 %;96,0 %;99,1 %;99,9 %;100,0 %;98,9 %;96,0 %;96,0 %;96,0 %;;98,7 %;96,0 %;96,0 %;96,0 %;;97 %;96,0 %;96,0 %;96,0 %;;39 %;0,0 %
BØMLO;VESTLAND;99,8 %;0,0 %;82,6 %;99,7 %;99,8 %;99,9 %;100,0 %;100,0 %;100,0 %;99,8 %;99,8 %;99,8 %;;100,0 %;99,8 %;99,8 %;99,8 %;;100 %;99,8 %;99,8 %;99,8 %;;97 %;0,0 %
EIDFJORD;VESTLAND;26,4 %;0,2 %;64,0 %;99,3 %;26,6 %;64,7 %;99,3 %;99,5 %;81,0 %;26,6 %;26,6 %;26,4 %;;81,0 %;26,6 %;26,6 %;26,4 %;;31 %;26,6 %;26,6 %;26,4 %;;79 %;0,0 %
ETNE;VESTLAND;88,1 %;0,0 %;81,9 %;96,1 %;88,1 %;97,8 %;98,9 %;99,2 %;98,1 %;88,1 %;88,1 %;88,1 %;;97,8 %;88,1 %;88,1 %;88,1 %;;90 %;88,1 %;88,1 %;88,1 %;;90 %;0,0 %
FEDJE;VESTLAND;99,6 %;0,0 %;84,1 %;99,6 %;99,6 %;99,6 %;100,0 %;100,0 %;100,0 %;99,6 %;99,6 %;99,6 %;;100,0 %;99,6 %;99,6 %;99,6 %;;100 %;99,6 %;99,6 %;99,6 %;;98 %;0,0 %
FITJAR;VESTLAND;99,8 %;0,0 %;79,6 %;98,4 %;99,8 %;99,9 %;100,0 %;100,0 %;99,9 %;99,8 %;99,8 %;99,8 %;;99,9 %;99,8 %;99,8 %;99,8 %;;100 %;99,8 %;99,8 %;99,8 %;;83 %;0,0 %
FJALER;VESTLAND;73,5 %;0,0 %;91,2 %;63,5 %;73,5 %;96,4 %;96,8 %;99,4 %;91,7 %;73,5 %;73,5 %;73,5 %;;90,5 %;73,5 %;73,5 %;73,5 %;;76 %;73,5 %;73,5 %;73,5 %;;50 %;0,0 %
GLOPPEN;VESTLAND;99,4 %;0,0 %;85,8 %;91,2 %;99,4 %;99,9 %;99,8 %;100,0 %;99,8 %;99,4 %;99,4 %;99,4 %;;99,8 %;99,4 %;99,4 %;99,4 %;;100 %;99,4 %;99,4 %;99,4 %;;81 %;0,0 %
GULEN;VESTLAND;96,4 %;0,0 %;54,7 %;55,0 %;96,4 %;97,4 %;99,8 %;99,9 %;98,2 %;96,4 %;96,4 %;96,4 %;;98,2 %;96,4 %;96,4 %;96,4 %;;97 %;96,4 %;96,4 %;96,4 %;;27 %;0,0 %
HYLLESTAD;VESTLAND;79,3 %;0,0 %;54,5 %;96,0 %;79,3 %;88,3 %;98,2 %;99,8 %;93,7 %;79,3 %;79,3 %;79,3 %;;93,7 %;79,3 %;79,3 %;79,3 %;;80 %;79,3 %;79,3 %;79,3 %;;60 %;0,0 %
HØYANGER;VESTLAND;94,1 %;0,0 %;80,0 %;97,7 %;94,1 %;97,6 %;99,2 %;99,8 %;97,8 %;94,1 %;94,1 %;94,1 %;;97,7 %;94,1 %;94,1 %;94,1 %;;95 %;94,1 %;94,1 %;94,1 %;;79 %;0,0 %
KINN;VESTLAND;92,2 %;12,8 %;92,3 %;75,7 %;92,3 %;97,7 %;99,1 %;99,9 %;97,9 %;92,3 %;92,3 %;92,2 %;;97,6 %;92,3 %;92,3 %;92,2 %;;94 %;92,3 %;92,3 %;92,2 %;;71 %;0,0 %
KVAM;VESTLAND;90,0 %;0,0 %;80,2 %;98,0 %;90,0 %;95,4 %;99,9 %;100,0 %;99,6 %;90,0 %;90,0 %;90,0 %;;99,6 %;90,0 %;90,0 %;90,0 %;;90 %;90,0 %;90,0 %;90,0 %;;91 %;0,0 %
KVINNHERAD;VESTLAND;93,4 %;0,0 %;86,9 %;83,7 %;93,4 %;98,7 %;99,6 %;99,9 %;98,6 %;93,4 %;93,4 %;93,4 %;;98,6 %;93,4 %;93,4 %;93,4 %;;95 %;93,4 %;93,4 %;93,4 %;;73 %;0,0 %
LUSTER;VESTLAND;89,2 %;0,0 %;81,1 %;90,9 %;89,2 %;97,7 %;98,1 %;99,8 %;98,2 %;89,2 %;89,2 %;89,2 %;;97,4 %;89,2 %;89,2 %;89,2 %;;93 %;89,2 %;89,2 %;89,2 %;;85 %;0,0 %
LÆRDAL;VESTLAND;97,0 %;56,3 %;79,0 %;100,0 %;97,1 %;98,9 %;100,0 %;100,0 %;99,5 %;97,1 %;97,0 %;97,0 %;;99,5 %;97,1 %;97,0 %;97,0 %;;97 %;97,1 %;97,0 %;97,0 %;;84 %;0,0 %
MASFJORDEN;VESTLAND;94,8 %;0,0 %;56,0 %;71,2 %;94,8 %;97,8 %;99,9 %;99,9 %;99,6 %;94,8 %;94,8 %;94,8 %;;99,6 %;94,8 %;94,8 %;94,8 %;;96 %;94,8 %;94,8 %;94,8 %;;51 %;0,0 %
MODALEN;VESTLAND;94,8 %;0,0 %;0,0 %;97,4 %;94,8 %;94,8 %;98,1 %;98,1 %;97,4 %;94,8 %;94,8 %;94,8 %;;97,4 %;94,8 %;94,8 %;94,8 %;;95 %;94,8 %;94,8 %;94,8 %;;71 %;0,0 %
OSTERØY;VESTLAND;94,3 %;0,0 %;89,5 %;76,0 %;94,3 %;98,8 %;99,3 %;99,4 %;99,1 %;94,6 %;94,3 %;94,3 %;;98,8 %;94,6 %;94,3 %;94,3 %;;95 %;94,3 %;94,3 %;94,3 %;;74 %;0,7 %
SAMNANGER;VESTLAND;85,7 %;0,0 %;86,6 %;99,8 %;85,7 %;96,6 %;99,9 %;100,0 %;99,8 %;85,7 %;85,7 %;85,7 %;;99,8 %;85,7 %;85,7 %;85,7 %;;89 %;85,7 %;85,7 %;85,7 %;;97 %;0,0 %
SOGNDAL;VESTLAND;94,9 %;0,0 %;91,3 %;99,7 %;94,9 %;98,3 %;99,9 %;99,9 %;99,2 %;94,9 %;94,9 %;94,9 %;;99,2 %;94,9 %;94,9 %;94,9 %;;95 %;94,9 %;94,9 %;94,9 %;;98 %;0,0 %
SOLUND;VESTLAND;89,0 %;0,0 %;46,5 %;98,7 %;89,0 %;90,3 %;98,7 %;99,0 %;96,3 %;89,0 %;89,0 %;89,0 %;;95,3 %;89,0 %;89,0 %;89,0 %;;90 %;89,0 %;89,0 %;89,0 %;;84 %;0,0 %
STAD;VESTLAND;96,5 %;0,0 %;88,7 %;79,5 %;96,5 %;99,6 %;99,9 %;100,0 %;99,2 %;96,5 %;96,5 %;96,5 %;;99,2 %;96,5 %;96,5 %;96,5 %;;98 %;96,5 %;96,5 %;96,5 %;;69 %;0,0 %
STORD;VESTLAND;99,3 %;0,0 %;94,0 %;96,3 %;99,3 %;99,8 %;100,0 %;100,0 %;99,9 %;99,3 %;99,3 %;99,3 %;;99,9 %;99,3 %;99,3 %;99,3 %;;99 %;99,3 %;99,3 %;99,3 %;;95 %;2,2 %
STRYN;VESTLAND;98,8 %;0,0 %;81,1 %;92,3 %;98,8 %;99,6 %;100,0 %;100,0 %;99,9 %;98,8 %;98,8 %;98,8 %;;99,9 %;98,8 %;98,8 %;98,8 %;;99 %;98,8 %;98,8 %;98,8 %;;84 %;0,0 %
SUNNFJORD;VESTLAND;97,4 %;0,0 %;90,1 %;65,7 %;97,4 %;99,6 %;99,4 %;99,9 %;99,6 %;97,7 %;97,4 %;97,4 %;;99,2 %;97,7 %;97,4 %;97,4 %;;98 %;97,4 %;97,4 %;97,4 %;;57 %;0,3 %
SVEIO;VESTLAND;92,5 %;0,0 %;87,6 %;98,5 %;92,5 %;98,4 %;99,7 %;100,0 %;98,3 %;92,5 %;92,5 %;92,5 %;;98,3 %;92,5 %;92,5 %;92,5 %;;93 %;92,5 %;92,5 %;92,5 %;;88 %;0,0 %
TYSNES;VESTLAND;94,3 %;0,0 %;60,9 %;93,0 %;94,3 %;96,7 %;99,5 %;99,6 %;98,6 %;94,3 %;94,3 %;94,3 %;;98,6 %;94,3 %;94,3 %;94,3 %;;95 %;94,3 %;94,3 %;94,3 %;;80 %;0,0 %
ULLENSVANG;VESTLAND;62,6 %;26,6 %;87,4 %;88,7 %;67,5 %;92,0 %;92,2 %;99,7 %;98,9 %;67,5 %;66,6 %;62,6 %;;98,0 %;67,5 %;66,6 %;62,6 %;;75 %;67,5 %;66,6 %;62,6 %;;84 %;0,0 %
ULVIK;VESTLAND;5,3 %;0,0 %;89,5 %;86,5 %;5,3 %;90,2 %;86,5 %;99,1 %;89,3 %;5,6 %;5,3 %;5,3 %;;84,0 %;5,6 %;5,3 %;5,3 %;;32 %;5,3 %;5,3 %;5,3 %;;84 %;0,2 %
VAKSDAL;VESTLAND;85,9 %;0,0 %;90,2 %;66,4 %;85,9 %;94,7 %;97,6 %;99,3 %;95,9 %;85,9 %;85,9 %;85,9 %;;95,1 %;85,9 %;85,9 %;85,9 %;;88 %;85,9 %;85,9 %;85,9 %;;58 %;0,0 %
VIK;VESTLAND;92,4 %;0,0 %;59,5 %;90,5 %;92,4 %;97,7 %;99,8 %;99,8 %;98,9 %;92,4 %;92,4 %;92,4 %;;98,9 %;92,4 %;92,4 %;92,4 %;;94 %;92,4 %;92,4 %;92,4 %;;79 %;0,0 %
VOSS;VESTLAND;92,4 %;0,0 %;89,1 %;86,0 %;92,4 %;95,8 %;99,4 %;99,7 %;97,4 %;92,4 %;92,4 %;92,4 %;;97,3 %;92,4 %;92,4 %;92,4 %;;93 %;92,4 %;92,4 %;92,4 %;;81 %;0,6 %
ÅRDAL;VESTLAND;98,1 %;1,8 %;96,8 %;99,6 %;99,7 %;100,0 %;100,0 %;100,0 %;100,0 %;99,7 %;98,1 %;98,1 %;;100,0 %;99,7 %;98,1 %;98,1 %;;100 %;99,7 %;98,1 %;98,1 %;;100 %;0,0 %
ØYGARDEN;VESTLAND;96,6 %;0,2 %;90,6 %;95,0 %;96,6 %;99,6 %;100,0 %;100,0 %;99,9 %;96,8 %;96,6 %;96,6 %;;99,8 %;96,8 %;96,6 %;96,6 %;;97 %;96,6 %;96,6 %;96,6 %;;94 %;12,5 %
AREMARK;VIKEN;67,7 %;0,0 %;49,4 %;83,3 %;67,7 %;80,9 %;93,2 %;95,4 %;85,2 %;69,5 %;67,7 %;67,7 %;;84,9 %;69,5 %;67,7 %;67,7 %;;69 %;67,7 %;67,7 %;67,7 %;;61 %;2,7 %
ASKER;VIKEN;83,0 %;49,6 %;91,3 %;84,4 %;94,7 %;99,5 %;99,2 %;100,0 %;99,2 %;95,5 %;94,7 %;83,0 %;;98,9 %;95,5 %;94,7 %;83,0 %;;96 %;94,7 %;94,7 %;83,0 %;;83 %;40,9 %
AURSKOG-HØLAND;VIKEN;83,8 %;0,0 %;90,6 %;68,7 %;83,8 %;96,7 %;95,9 %;99,4 %;93,5 %;84,1 %;83,8 %;83,8 %;;92,9 %;84,1 %;83,8 %;83,8 %;;85 %;83,8 %;83,8 %;83,8 %;;61 %;9,3 %
BÆRUM;VIKEN;73,4 %;73,3 %;92,8 %;85,6 %;98,5 %;99,9 %;100,0 %;100,0 %;100,0 %;99,3 %;98,5 %;73,4 %;;100,0 %;99,3 %;98,5 %;73,4 %;;99 %;98,5 %;98,5 %;73,4 %;;85 %;63,9 %
DRAMMEN;VIKEN;70,8 %;51,5 %;97,2 %;94,3 %;92,8 %;99,8 %;99,7 %;100,0 %;99,7 %;96,4 %;92,8 %;70,8 %;;99,6 %;96,4 %;92,8 %;70,8 %;;95 %;92,8 %;92,8 %;70,8 %;;94 %;54,7 %
EIDSVOLL;VIKEN;78,2 %;37,1 %;91,7 %;51,4 %;85,5 %;97,9 %;95,9 %;99,7 %;94,7 %;85,5 %;85,5 %;78,2 %;;94,4 %;85,5 %;85,5 %;78,2 %;;87 %;85,5 %;85,5 %;78,2 %;;46 %;0,0 %
ENEBAKK;VIKEN;87,6 %;28,0 %;92,8 %;62,1 %;91,2 %;98,3 %;99,2 %;99,7 %;99,0 %;91,2 %;91,2 %;87,6 %;;98,8 %;91,2 %;91,2 %;87,6 %;;92 %;91,2 %;91,2 %;87,6 %;;61 %;0,0 %
FLESBERG;VIKEN;84,5 %;15,4 %;71,1 %;91,3 %;84,7 %;95,6 %;98,8 %;99,3 %;97,0 %;84,7 %;84,7 %;84,5 %;;97,0 %;84,7 %;84,7 %;84,5 %;;86 %;84,7 %;84,7 %;84,5 %;;82 %;0,1 %
FLÅ;VIKEN;56,7 %;0,0 %;83,9 %;69,1 %;56,7 %;91,8 %;93,5 %;98,9 %;90,1 %;56,7 %;56,7 %;56,7 %;;90,1 %;56,7 %;56,7 %;56,7 %;;61 %;56,7 %;56,7 %;56,7 %;;63 %;0,0 %
FREDRIKSTAD;VIKEN;76,6 %;58,7 %;94,6 %;92,5 %;94,9 %;99,5 %;99,6 %;100,0 %;99,5 %;96,8 %;94,9 %;76,6 %;;99,5 %;96,8 %;94,9 %;76,6 %;;96 %;94,9 %;94,9 %;76,6 %;;92 %;45,9 %
FROGN;VIKEN;67,8 %;60,4 %;94,5 %;65,4 %;86,9 %;99,2 %;97,8 %;99,9 %;95,9 %;86,9 %;86,9 %;67,8 %;;95,9 %;86,9 %;86,9 %;67,8 %;;88 %;86,9 %;86,9 %;67,8 %;;62 %;0,0 %
GJERDRUM;VIKEN;88,2 %;0,1 %;91,7 %;75,5 %;88,3 %;99,3 %;100,0 %;100,0 %;99,6 %;88,3 %;88,3 %;88,2 %;;99,6 %;88,3 %;88,3 %;88,2 %;;92 %;88,3 %;88,3 %;88,2 %;;69 %;0,0 %
GOL;VIKEN;87,9 %;0,0 %;84,4 %;69,8 %;87,9 %;96,1 %;98,4 %;99,7 %;98,4 %;88,1 %;87,9 %;87,9 %;;97,9 %;88,1 %;87,9 %;87,9 %;;90 %;87,9 %;87,9 %;87,9 %;;65 %;0,4 %
HALDEN;VIKEN;70,2 %;53,8 %;92,7 %;84,1 %;88,9 %;97,3 %;99,7 %;99,8 %;99,1 %;91,1 %;88,9 %;70,2 %;;99,0 %;91,1 %;88,9 %;70,2 %;;90 %;88,9 %;88,9 %;70,2 %;;83 %;16,9 %
HEMSEDAL;VIKEN;78,1 %;2,8 %;84,8 %;97,6 %;78,1 %;97,7 %;99,6 %;99,8 %;99,8 %;83,9 %;78,1 %;78,1 %;;99,4 %;83,9 %;78,1 %;78,1 %;;86 %;78,1 %;78,1 %;78,1 %;;97 %;11,8 %
HOL;VIKEN;85,0 %;0,9 %;80,8 %;80,7 %;85,0 %;92,6 %;99,0 %;99,1 %;99,0 %;85,0 %;85,0 %;85,0 %;;98,9 %;85,0 %;85,0 %;85,0 %;;88 %;85,0 %;85,0 %;85,0 %;;80 %;0,0 %
HOLE;VIKEN;68,4 %;0,0 %;95,3 %;40,6 %;68,4 %;98,1 %;95,3 %;99,3 %;90,2 %;68,4 %;68,4 %;68,4 %;;89,4 %;68,4 %;68,4 %;68,4 %;;73 %;68,4 %;68,4 %;68,4 %;;34 %;0,0 %
HURDAL;VIKEN;61,7 %;0,0 %;58,9 %;68,6 %;61,7 %;74,8 %;94,0 %;97,0 %;89,9 %;61,7 %;61,7 %;61,7 %;;89,4 %;61,7 %;61,7 %;61,7 %;;63 %;61,7 %;61,7 %;61,7 %;;63 %;0,0 %
HVALER;VIKEN;66,2 %;0,0 %;91,0 %;94,1 %;66,3 %;96,6 %;98,2 %;100,0 %;97,9 %;74,9 %;66,2 %;66,2 %;;97,0 %;74,9 %;66,2 %;66,2 %;;80 %;66,3 %;66,2 %;66,2 %;;91 %;28,7 %
INDRE ØSTFOLD;VIKEN;67,2 %;52,0 %;92,4 %;61,0 %;82,4 %;97,6 %;95,7 %;99,4 %;93,7 %;84,0 %;82,4 %;67,2 %;;93,2 %;84,0 %;82,4 %;67,2 %;;85 %;82,4 %;82,4 %;67,2 %;;55 %;11,9 %
JEVNAKER;VIKEN;78,5 %;58,2 %;89,8 %;34,5 %;93,0 %;99,4 %;97,0 %;99,7 %;97,2 %;93,0 %;93,0 %;78,5 %;;96,2 %;93,0 %;93,0 %;78,5 %;;95 %;93,0 %;93,0 %;78,5 %;;34 %;0,0 %
KONGSBERG;VIKEN;87,4 %;26,1 %;89,4 %;95,1 %;93,1 %;98,8 %;99,9 %;100,0 %;99,4 %;96,3 %;93,1 %;87,4 %;;99,3 %;96,3 %;93,1 %;87,4 %;;95 %;93,1 %;93,1 %;87,4 %;;93 %;61,6 %
KRØDSHERAD;VIKEN;90,9 %;0,7 %;73,8 %;89,5 %;91,5 %;95,5 %;97,5 %;99,3 %;95,9 %;91,9 %;90,9 %;90,9 %;;95,9 %;91,9 %;90,9 %;90,9 %;;91 %;91,5 %;90,9 %;90,9 %;;87 %;16,0 %
LIER;VIKEN;76,4 %;20,2 %;95,8 %;93,6 %;86,7 %;99,4 %;99,5 %;100,0 %;99,5 %;87,1 %;86,7 %;76,4 %;;99,4 %;87,1 %;86,7 %;76,4 %;;90 %;86,7 %;86,7 %;76,4 %;;93 %;2,2 %
LILLESTRØM;VIKEN;72,4 %;64,0 %;93,1 %;89,2 %;93,3 %;99,0 %;98,9 %;99,8 %;98,2 %;93,8 %;93,3 %;72,4 %;;98,0 %;93,8 %;93,3 %;72,4 %;;94 %;93,3 %;93,3 %;72,4 %;;87 %;33,4 %
LUNNER;VIKEN;77,4 %;0,0 %;92,8 %;63,8 %;77,4 %;97,7 %;91,0 %;99,1 %;91,5 %;80,6 %;77,4 %;77,4 %;;90,1 %;80,6 %;77,4 %;77,4 %;;82 %;77,4 %;77,4 %;77,4 %;;62 %;17,2 %
LØRENSKOG;VIKEN;75,8 %;63,8 %;90,2 %;88,5 %;98,4 %;99,9 %;100,0 %;100,0 %;100,0 %;99,0 %;98,4 %;75,8 %;;100,0 %;99,0 %;98,4 %;75,8 %;;99 %;98,4 %;98,4 %;75,8 %;;88 %;45,0 %
MARKER;VIKEN;70,2 %;6,8 %;78,8 %;79,1 %;74,2 %;89,9 %;94,5 %;98,7 %;88,1 %;75,7 %;70,2 %;70,2 %;;87,8 %;75,7 %;70,2 %;70,2 %;;76 %;74,2 %;70,2 %;70,2 %;;70 %;24,4 %
MODUM;VIKEN;73,2 %;35,8 %;82,5 %;50,4 %;93,1 %;96,8 %;97,8 %;100,0 %;97,5 %;93,1 %;73,2 %;73,2 %;;97,4 %;93,1 %;73,2 %;73,2 %;;93 %;93,1 %;73,2 %;73,2 %;;46 %;0,0 %
MOSS;VIKEN;81,6 %;31,5 %;94,3 %;85,2 %;92,7 %;99,4 %;99,6 %;100,0 %;99,6 %;95,0 %;92,7 %;81,6 %;;99,4 %;95,0 %;92,7 %;81,6 %;;95 %;92,7 %;92,7 %;81,6 %;;84 %;38,7 %
NANNESTAD;VIKEN;89,4 %;1,2 %;90,4 %;39,3 %;89,7 %;98,1 %;99,3 %;99,9 %;97,6 %;89,9 %;89,7 %;89,4 %;;97,5 %;89,9 %;89,7 %;89,4 %;;90 %;89,7 %;89,7 %;89,4 %;;34 %;4,1 %
NES;VIKEN;72,1 %;35,7 %;90,0 %;52,8 %;81,5 %;98,1 %;94,6 %;99,0 %;90,7 %;81,5 %;81,5 %;72,1 %;;90,1 %;81,5 %;81,5 %;72,1 %;;83 %;81,5 %;81,5 %;72,1 %;;46 %;0,1 %
NESBYEN;VIKEN;92,6 %;0,0 %;72,4 %;99,0 %;92,6 %;95,4 %;99,6 %;99,6 %;99,0 %;92,6 %;92,6 %;92,6 %;;99,0 %;92,6 %;92,6 %;92,6 %;;94 %;92,6 %;92,6 %;92,6 %;;96 %;0,0 %
NESODDEN;VIKEN;73,9 %;61,6 %;96,0 %;82,9 %;92,6 %;99,5 %;98,7 %;99,9 %;98,2 %;93,1 %;92,6 %;73,9 %;;98,0 %;93,1 %;92,6 %;73,9 %;;94 %;92,6 %;92,6 %;73,9 %;;82 %;7,8 %
NITTEDAL;VIKEN;86,0 %;50,4 %;96,6 %;96,3 %;98,2 %;99,9 %;100,0 %;100,0 %;99,9 %;98,2 %;98,2 %;86,0 %;;99,9 %;98,2 %;98,2 %;86,0 %;;98 %;98,2 %;98,2 %;86,0 %;;96 %;1,8 %
NORDRE FOLLO;VIKEN;70,6 %;71,3 %;93,9 %;85,5 %;95,5 %;98,8 %;99,6 %;99,9 %;99,3 %;96,1 %;95,5 %;70,6 %;;99,2 %;96,1 %;95,5 %;70,6 %;;96 %;95,5 %;95,5 %;70,6 %;;85 %;46,5 %
NORE OG UVDAL;VIKEN;69,5 %;5,5 %;76,8 %;77,6 %;69,8 %;93,4 %;97,6 %;98,9 %;94,7 %;69,8 %;69,8 %;69,5 %;;93,7 %;69,8 %;69,8 %;69,5 %;;75 %;69,8 %;69,8 %;69,5 %;;62 %;0,0 %
RAKKESTAD;VIKEN;63,4 %;24,5 %;86,5 %;37,8 %;69,3 %;92,3 %;86,1 %;97,7 %;83,9 %;70,9 %;69,3 %;63,4 %;;81,2 %;70,9 %;69,3 %;63,4 %;;73 %;69,3 %;69,3 %;63,4 %;;31 %;4,4 %
RINGERIKE;VIKEN;72,4 %;21,6 %;93,2 %;59,0 %;78,2 %;97,7 %;92,2 %;99,1 %;92,1 %;78,2 %;78,0 %;72,4 %;;90,0 %;78,2 %;78,0 %;72,4 %;;83 %;78,2 %;78,0 %;72,4 %;;54 %;0,0 %
ROLLAG;VIKEN;75,3 %;2,4 %;88,7 %;91,3 %;75,5 %;98,2 %;98,8 %;100,0 %;94,8 %;75,5 %;75,5 %;75,3 %;;93,6 %;75,5 %;75,5 %;75,3 %;;80 %;75,5 %;75,5 %;75,3 %;;61 %;0,0 %
RÅDE;VIKEN;66,8 %;46,0 %;86,9 %;69,4 %;79,4 %;93,9 %;99,2 %;100,0 %;96,8 %;82,1 %;79,4 %;66,8 %;;96,7 %;82,1 %;79,4 %;66,8 %;;82 %;79,4 %;79,4 %;66,8 %;;67 %;13,0 %
RÆLINGEN;VIKEN;81,1 %;54,2 %;94,9 %;96,7 %;98,6 %;99,7 %;99,8 %;99,9 %;99,8 %;98,8 %;98,6 %;81,1 %;;99,7 %;98,8 %;98,6 %;81,1 %;;99 %;98,6 %;98,6 %;81,1 %;;95 %;52,2 %
SARPSBORG;VIKEN;66,3 %;76,5 %;92,5 %;91,5 %;91,2 %;98,2 %;99,2 %;99,9 %;98,5 %;92,5 %;91,2 %;66,3 %;;98,3 %;92,5 %;91,2 %;66,3 %;;93 %;91,2 %;91,2 %;66,3 %;;90 %;53,5 %
SIGDAL;VIKEN;70,6 %;0,0 %;79,4 %;81,3 %;70,6 %;90,6 %;98,2 %;99,6 %;95,1 %;70,6 %;70,6 %;70,6 %;;95,0 %;70,6 %;70,6 %;70,6 %;;73 %;70,6 %;70,6 %;70,6 %;;74 %;0,0 %
SKIPTVET;VIKEN;37,5 %;8,7 %;88,8 %;92,0 %;38,5 %;90,3 %;97,2 %;99,9 %;87,8 %;60,6 %;38,5 %;37,5 %;;86,4 %;60,6 %;38,5 %;37,5 %;;46 %;38,5 %;38,5 %;37,5 %;;80 %;44,2 %
ULLENSAKER;VIKEN;81,4 %;31,5 %;91,7 %;90,4 %;91,8 %;99,0 %;99,5 %;99,9 %;98,5 %;91,9 %;91,8 %;81,4 %;;98,5 %;91,9 %;91,8 %;81,4 %;;93 %;91,8 %;91,8 %;81,4 %;;88 %;0,1 %
VESTBY;VIKEN;60,4 %;31,4 %;91,7 %;92,5 %;79,6 %;97,1 %;99,0 %;99,8 %;96,1 %;79,6 %;79,6 %;60,4 %;;96,0 %;79,6 %;79,6 %;60,4 %;;83 %;79,6 %;79,6 %;60,4 %;;87 %;0,0 %
VÅLER (VIKEN);VIKEN;77,9 %;17,1 %;85,3 %;70,1 %;78,7 %;95,7 %;93,5 %;99,3 %;90,3 %;78,8 %;78,7 %;77,9 %;;89,7 %;78,8 %;78,7 %;77,9 %;;81 %;78,7 %;78,7 %;77,9 %;;60 %;0,1 %
ÅL;VIKEN;79,0 %;0,0 %;79,0 %;61,1 %;79,0 %;90,2 %;95,5 %;98,5 %;95,8 %;79,0 %;79,0 %;79,0 %;;95,4 %;79,0 %;79,0 %;79,0 %;;81 %;79,0 %;79,0 %;79,0 %;;60 %;0,0 %
ÅS;VIKEN;73,7 %;40,7 %;91,7 %;86,1 %;85,3 %;96,8 %;97,9 %;98,5 %;97,6 %;85,4 %;85,3 %;73,7 %;;97,5 %;85,4 %;85,3 %;73,7 %;;86 %;85,3 %;85,3 %;73,7 %;;84 %;2,4 %
ØVRE EIKER;VIKEN;90,6 %;20,5 %;92,1 %;82,5 %;94,3 %;99,4 %;99,2 %;99,9 %;99,3 %;94,4 %;94,3 %;90,6 %;;98,9 %;94,4 %;94,3 %;90,6 %;;96 %;94,3 %;94,3 %;90,6 %;;76 %;0,6 %
