Dekning for fast bredbånd på kommunenivå;;;;;;;;;;;;;;;;;;;;;;;;;;
Tettbygd og spredtbygd samlet;;;;;;;;;;;;;;;;;;;;;;;;;;
Mobildekning (4G og 5G) er ikke inkludert i disse tabellene;;Teknologidekning;;;;;;;;Hastighet - alle teknologier på fast bredbånd;;;;;Hastighet uten DSL;;;;;Hastighet i kablede nett;;;;;Hastighet for FTB;
Kommune;Fylke;Fiber;Kabel-TV-nett;DSL;FTB;Fiber + kabel-TV-nett;Fiber + kabel-TV-nett + DSL;Fiber + kabel-TV-nett + FTB;Fast bredbånd totalt;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100
ØYSTRE SLIDRE;INNLANDET;64,2 %;6,5 %;89,9 %;95,0 %;64,4 %;97,0 %;98,6 %;99,8 %;97,1 %;66,7 %;64,2 %;64,2 %;;96,6 %;66,7 %;64,2 %;64,2 %;;72 %;64,4 %;64,2 %;64,2 %;;93 %;17,0 %
AUKRA;MØRE OG ROMSDAL;97,5 %;0,0 %;94,7 %;94,4 %;97,5 %;99,3 %;100,0 %;100,0 %;99,7 %;97,5 %;97,5 %;97,5 %;;99,7 %;97,5 %;97,5 %;97,5 %;;98 %;97,5 %;97,5 %;97,5 %;;88 %;0,0 %
AURE;MØRE OG ROMSDAL;78,1 %;0,0 %;59,5 %;90,8 %;78,1 %;88,6 %;98,4 %;99,5 %;92,2 %;78,1 %;78,1 %;78,1 %;;91,8 %;78,1 %;78,1 %;78,1 %;;81 %;78,1 %;78,1 %;78,1 %;;73 %;0,0 %
AVERØY;MØRE OG ROMSDAL;95,4 %;0,3 %;86,3 %;89,7 %;95,4 %;98,6 %;99,9 %;100,0 %;99,1 %;95,4 %;95,4 %;95,4 %;;99,1 %;95,4 %;95,4 %;95,4 %;;97 %;95,4 %;95,4 %;95,4 %;;84 %;0,0 %
FJORD;MØRE OG ROMSDAL;91,1 %;0,0 %;88,2 %;99,5 %;91,1 %;98,6 %;99,9 %;100,0 %;99,4 %;91,1 %;91,1 %;91,1 %;;99,4 %;91,1 %;91,1 %;91,1 %;;92 %;91,1 %;91,1 %;91,1 %;;95 %;0,0 %
GISKE;MØRE OG ROMSDAL;98,7 %;0,0 %;88,0 %;90,2 %;98,7 %;99,7 %;99,8 %;99,9 %;99,6 %;98,7 %;98,7 %;98,7 %;;99,6 %;98,7 %;98,7 %;98,7 %;;99 %;98,7 %;98,7 %;98,7 %;;82 %;0,0 %
GJEMNES;MØRE OG ROMSDAL;80,6 %;1,1 %;59,8 %;73,0 %;80,6 %;89,2 %;99,8 %;99,9 %;95,4 %;80,6 %;80,6 %;80,6 %;;95,4 %;80,6 %;80,6 %;80,6 %;;82 %;80,6 %;80,6 %;80,6 %;;56 %;0,0 %
HAREID;MØRE OG ROMSDAL;90,0 %;0,0 %;93,4 %;99,5 %;90,0 %;98,8 %;99,6 %;100,0 %;99,2 %;90,0 %;90,0 %;90,0 %;;99,1 %;90,0 %;90,0 %;90,0 %;;92 %;90,0 %;90,0 %;90,0 %;;99 %;0,0 %
HERØY;MØRE OG ROMSDAL;94,9 %;0,0 %;70,3 %;86,5 %;94,9 %;98,0 %;99,3 %;99,9 %;98,9 %;94,9 %;94,9 %;94,9 %;;98,9 %;94,9 %;94,9 %;94,9 %;;95 %;94,9 %;94,9 %;94,9 %;;79 %;0,0 %
HUSTADVIKA;MØRE OG ROMSDAL;93,8 %;0,2 %;85,1 %;94,7 %;93,8 %;97,8 %;99,1 %;99,9 %;98,2 %;93,8 %;93,8 %;93,8 %;;98,2 %;93,8 %;93,8 %;93,8 %;;94 %;93,8 %;93,8 %;93,8 %;;85 %;0,0 %
