Dekning for 4G og 5G på kommunenivå;;;;;;;;;
Tettbygd og spredtbygd samlet;;;;;;;;;
;;4G;;5G;;4G + 5G;;Tidligere års metode (- 110 dBm) (utendørsdekning);
Kommune;Fylke;≥ 30;≥ 100;≥ 30;≥ 100;≥ 30;≥ 100;4G;5G
TRÆNA;NORDLAND;99,5 %;91,3 %;0,0 %;0,0 %;99,5 %;91,3 %;100,0 %;0,0 %
VEFSN;NORDLAND;98,2 %;80,3 %;10,7 %;0,0 %;98,2 %;80,3 %;100,0 %;14,9 %
VEGA;NORDLAND;96,6 %;57,3 %;75,2 %;0,0 %;96,8 %;57,3 %;100,0 %;77,5 %
VESTVÅGØY;NORDLAND;97,7 %;65,0 %;32,5 %;0,0 %;97,7 %;65,0 %;100,0 %;70,4 %
VEVELSTAD;NORDLAND;84,4 %;19,2 %;23,7 %;0,0 %;84,8 %;19,2 %;100,0 %;29,9 %
VÅGAN;NORDLAND;96,4 %;86,4 %;9,3 %;6,1 %;96,4 %;86,4 %;100,0 %;9,6 %
VÆRØY;NORDLAND;94,5 %;86,9 %;0,0 %;0,0 %;94,5 %;86,9 %;100,0 %;0,0 %
ØKSNES;NORDLAND;97,2 %;57,0 %;0,0 %;0,0 %;97,2 %;57,0 %;100,0 %;2,2 %
OSLO;OSLO;100,0 %;98,6 %;98,9 %;96,7 %;100,0 %;99,6 %;100,0 %;100,0 %
BJERKREIM;ROGALAND;92,3 %;41,8 %;0,0 %;0,0 %;92,3 %;41,8 %;99,7 %;0,0 %
BOKN;ROGALAND;96,1 %;71,2 %;0,0 %;0,0 %;96,1 %;71,2 %;100,0 %;0,5 %
EIGERSUND;ROGALAND;98,2 %;69,3 %;41,3 %;0,0 %;98,2 %;69,3 %;100,0 %;41,6 %
GJESDAL;ROGALAND;99,5 %;88,8 %;21,4 %;0,0 %;99,5 %;88,8 %;100,0 %;25,1 %
HAUGESUND;ROGALAND;100,0 %;88,0 %;57,1 %;9,2 %;100,0 %;88,0 %;100,0 %;94,9 %
HJELMELAND;ROGALAND;93,5 %;50,6 %;13,3 %;0,0 %;93,6 %;50,6 %;100,0 %;21,6 %
HÅ;ROGALAND;98,8 %;59,8 %;15,5 %;0,0 %;98,8 %;59,8 %;100,0 %;27,6 %
KARMØY;ROGALAND;84,8 %;45,1 %;25,9 %;0,8 %;84,8 %;45,1 %;100,0 %;61,9 %
KLEPP;ROGALAND;99,9 %;66,4 %;4,8 %;0,1 %;99,9 %;66,4 %;100,0 %;78,3 %
KVITSØY;ROGALAND;100,0 %;95,9 %;0,0 %;0,0 %;100,0 %;95,9 %;100,0 %;8,1 %
LUND;ROGALAND;98,7 %;71,6 %;0,0 %;0,0 %;98,7 %;71,6 %;100,0 %;0,0 %
RANDABERG;ROGALAND;99,9 %;82,9 %;28,2 %;19,3 %;99,9 %;85,1 %;100,0 %;75,9 %
SANDNES;ROGALAND;99,8 %;88,0 %;86,6 %;66,5 %;99,8 %;92,0 %;100,0 %;99,0 %
SAUDA;ROGALAND;99,0 %;77,1 %;53,6 %;0,0 %;99,0 %;77,1 %;100,0 %;54,9 %
SOKNDAL;ROGALAND;96,4 %;83,3 %;0,0 %;0,0 %;96,4 %;83,3 %;100,0 %;0,9 %
SOLA;ROGALAND;99,9 %;79,3 %;71,4 %;44,3 %;100,0 %;85,2 %;100,0 %;98,7 %
STAVANGER;ROGALAND;99,8 %;87,0 %;92,0 %;86,7 %;99,8 %;94,8 %;100,0 %;99,0 %
STRAND;ROGALAND;99,0 %;44,4 %;48,7 %;2,2 %;99,0 %;44,4 %;100,0 %;72,8 %
SULDAL;ROGALAND;93,4 %;69,2 %;1,8 %;0,0 %;93,4 %;69,2 %;99,8 %;3,8 %
TIME;ROGALAND;99,5 %;73,3 %;7,9 %;0,0 %;99,5 %;73,3 %;100,0 %;71,1 %
TYSVÆR;ROGALAND;95,6 %;57,0 %;10,5 %;0,0 %;95,6 %;57,0 %;100,0 %;24,3 %
UTSIRA;ROGALAND;0,0 %;0,0 %;0,0 %;0,0 %;0,0 %;0,0 %;31,5 %;0,0 %
VINDAFJORD;ROGALAND;96,9 %;66,8 %;25,9 %;0,0 %;97,0 %;66,8 %;100,0 %;52,8 %
ALTA;TROMS OG FINNMARK;65,4 %;15,6 %;0,0 %;0,0 %;65,4 %;15,6 %;99,9 %;4,0 %
BALSFJORD;TROMS OG FINNMARK;91,5 %;36,0 %;1,8 %;0,0 %;91,7 %;36,0 %;99,9 %;2,7 %
BARDU;TROMS OG FINNMARK;98,2 %;65,2 %;0,0 %;0,0 %;98,2 %;65,2 %;100,0 %;0,0 %
BERLEVÅG;TROMS OG FINNMARK;0,0 %;0,0 %;0,0 %;0,0 %;0,0 %;0,0 %;100,0 %;0,0 %
BÅTSFJORD;TROMS OG FINNMARK;93,8 %;0,0 %;0,0 %;0,0 %;93,8 %;0,0 %;100,0 %;0,0 %
DYRØY;TROMS OG FINNMARK;91,5 %;44,5 %;0,0 %;0,0 %;91,5 %;44,5 %;100,0 %;0,0 %
GAMVIK;TROMS OG FINNMARK;55,3 %;0,0 %;0,0 %;0,0 %;55,3 %;0,0 %;100,0 %;0,0 %
GRATANGEN;TROMS OG FINNMARK;92,8 %;52,2 %;0,0 %;0,0 %;92,8 %;52,2 %;100,0 %;0,2 %
HAMMERFEST;TROMS OG FINNMARK;81,0 %;23,0 %;0,0 %;0,0 %;81,0 %;23,0 %;99,8 %;0,2 %
HARSTAD;TROMS OG FINNMARK;99,0 %;81,1 %;17,7 %;0,0 %;99,0 %;81,1 %;100,0 %;58,3 %
HASVIK;TROMS OG FINNMARK;41,3 %;0,0 %;0,0 %;0,0 %;41,3 %;0,0 %;99,2 %;0,0 %
IBESTAD;TROMS OG FINNMARK;83,0 %;31,1 %;0,0 %;0,0 %;83,0 %;31,1 %;99,3 %;2,4 %
KARASJOK;TROMS OG FINNMARK;44,6 %;0,0 %;0,0 %;0,0 %;44,6 %;0,0 %;98,3 %;0,1 %
KARLSØY;TROMS OG FINNMARK;60,1 %;12,9 %;3,8 %;0,0 %;60,4 %;12,9 %;99,3 %;8,2 %
KAUTOKEINO;TROMS OG FINNMARK;23,7 %;0,0 %;0,0 %;0,0 %;23,7 %;0,0 %;99,5 %;0,0 %
KVÆFJORD;TROMS OG FINNMARK;94,2 %;32,5 %;3,1 %;0,0 %;94,2 %;32,5 %;100,0 %;65,6 %
KVÆNANGEN;TROMS OG FINNMARK;0,0 %;0,0 %;0,0 %;0,0 %;0,0 %;0,0 %;98,6 %;0,0 %
KÅFJORD;TROMS OG FINNMARK;15,5 %;0,0 %;0,0 %;0,0 %;15,5 %;0,0 %;100,0 %;28,4 %
LAVANGEN;TROMS OG FINNMARK;95,3 %;64,9 %;0,0 %;0,0 %;95,3 %;64,9 %;100,0 %;0,0 %
LEBESBY;TROMS OG FINNMARK;1,0 %;0,0 %;0,0 %;0,0 %;1,0 %;0,0 %;99,8 %;0,0 %
LOPPA;TROMS OG FINNMARK;0,0 %;0,0 %;0,0 %;0,0 %;0,0 %;0,0 %;98,4 %;4,7 %
LYNGEN;TROMS OG FINNMARK;47,6 %;0,0 %;1,8 %;0,0 %;47,7 %;0,0 %;99,9 %;51,4 %
MÅLSELV;TROMS OG FINNMARK;93,9 %;56,3 %;1,5 %;0,0 %;93,9 %;56,3 %;99,3 %;1,8 %
MÅSØY;TROMS OG FINNMARK;0,4 %;0,0 %;0,0 %;0,0 %;0,4 %;0,0 %;100,0 %;0,0 %
NESSEBY;TROMS OG FINNMARK;2,9 %;0,0 %;0,0 %;0,0 %;2,9 %;0,0 %;100,0 %;0,0 %
NORDKAPP;TROMS OG FINNMARK;52,9 %;0,0 %;0,0 %;0,0 %;52,9 %;0,0 %;100,0 %;0,0 %
NORDREISA;TROMS OG FINNMARK;0,0 %;0,0 %;0,0 %;0,0 %;0,0 %;0,0 %;98,0 %;0,0 %
PORSANGER;TROMS OG FINNMARK;25,4 %;4,9 %;0,0 %;0,0 %;25,4 %;4,9 %;99,9 %;0,0 %
SALANGEN;TROMS OG FINNMARK;95,0 %;50,4 %;0,0 %;0,0 %;95,0 %;50,4 %;100,0 %;0,0 %
SENJA;TROMS OG FINNMARK;97,6 %;57,9 %;4,1 %;0,0 %;97,6 %;57,9 %;99,9 %;6,5 %
SKJERVØY;TROMS OG FINNMARK;68,3 %;0,0 %;0,0 %;0,0 %;68,3 %;0,0 %;100,0 %;0,0 %
STORFJORD;TROMS OG FINNMARK;1,4 %;0,0 %;0,0 %;0,0 %;1,4 %;0,0 %;94,8 %;0,1 %
SØR-VARANGER;TROMS OG FINNMARK;68,7 %;16,1 %;0,0 %;0,0 %;68,7 %;16,1 %;99,6 %;0,0 %
SØRREISA;TROMS OG FINNMARK;97,4 %;65,6 %;2,4 %;0,0 %;97,4 %;65,6 %;100,0 %;2,6 %
TANA;TROMS OG FINNMARK;17,9 %;0,0 %;0,0 %;0,0 %;17,9 %;0,0 %;96,4 %;0,0 %
TJELDSUND;TROMS OG FINNMARK;96,2 %;39,2 %;2,0 %;0,0 %;96,2 %;39,2 %;100,0 %;52,5 %
TROMSØ;TROMS OG FINNMARK;98,5 %;80,0 %;86,4 %;75,8 %;98,6 %;90,1 %;100,0 %;97,4 %
VADSØ;TROMS OG FINNMARK;64,5 %;10,2 %;0,0 %;0,0 %;64,5 %;10,2 %;100,0 %;0,0 %
VARDØ;TROMS OG FINNMARK;39,8 %;0,0 %;0,0 %;0,0 %;39,8 %;0,0 %;100,0 %;29,8 %
FLATANGER;TRØNDELAG;86,7 %;47,1 %;10,2 %;0,0 %;86,9 %;47,1 %;100,0 %;12,3 %
FROSTA;TRØNDELAG;95,3 %;48,9 %;57,7 %;0,0 %;95,4 %;48,9 %;100,0 %;98,9 %
FRØYA;TRØNDELAG;95,9 %;50,7 %;42,5 %;4,3 %;95,9 %;50,7 %;100,0 %;94,4 %
GRONG;TRØNDELAG;98,3 %;38,2 %;0,0 %;0,0 %;98,3 %;38,2 %;100,0 %;0,0 %
HEIM;TRØNDELAG;95,2 %;65,7 %;0,0 %;0,0 %;95,2 %;65,7 %;100,0 %;0,6 %
HITRA;TRØNDELAG;96,4 %;55,1 %;1,9 %;0,0 %;96,4 %;55,1 %;100,0 %;59,2 %
HOLTÅLEN;TRØNDELAG;99,4 %;44,4 %;5,7 %;0,0 %;99,4 %;44,4 %;100,0 %;35,7 %
HØYLANDET;TRØNDELAG;93,4 %;30,5 %;0,0 %;0,0 %;93,4 %;30,5 %;100,0 %;0,0 %
