ssbid_250,year,populasjon
21927506574000,2001,213.0
21927506574250,2001,64.0
21927506574750,2001,62.0
21927506575000,2001,220.0
21927506575250,2001,148.0
21927506575500,2001,38.0
21927506575750,2001,131.0
21927506576000,2001,223.0
21927506576250,2001,191.0
21927506576500,2001,149.0
21927506576750,2001,93.0
21927506577250,2001,23.0
21927506577500,2001,70.0
21927506577750,2001,175.0
21927506578000,2001,77.0
21927506578250,2001,99.0
21927506578500,2001,20.0
21927506578750,2001,2.0
21927506579000,2001,4.0
21927506580250,2001,5.0
21927506580500,2001,9.0
21930006559750,2001,8.0
21930006560000,2001,2.0
21930006560250,2001,2.0
21930006560500,2001,6.0
21930006560750,2001,5.0
21930006566750,2001,12.0
21930006567000,2001,63.0
21930006567250,2001,23.0
21930006567500,2001,10.0
21930006568000,2001,3.0
21930006568250,2001,5.0
21930006568500,2001,39.0
21930006568750,2001,195.0
21930006569000,2001,296.0
21930006569250,2001,108.0
21930006569500,2001,109.0
21930006570000,2001,6.0
21930006570250,2001,5.0
21930006570750,2001,8.0
21930006571250,2001,2.0
21930006571500,2001,4.0
21930006571750,2001,11.0
21930006572000,2001,6.0
21930006572250,2001,20.0
21930006572500,2001,12.0
21930006572750,2001,26.0
21930006573000,2001,106.0
21930006573250,2001,203.0
21930006573500,2001,126.0
21930006573750,2001,83.0
21930006574000,2001,160.0
21930006574250,2001,193.0
21930006574500,2001,6.0
21930006575000,2001,50.0
21930006575250,2001,152.0
21930006575500,2001,50.0
21930006575750,2001,100.0
21930006576000,2001,114.0
21930006576250,2001,383.0
21930006576500,2001,266.0
21930006576750,2001,76.0
21930006577000,2001,38.0
21930006577250,2001,157.0
21930006577500,2001,89.0
21930006577750,2001,53.0
21930006578000,2001,1.0
21930006578500,2001,4.0
21930006578750,2001,4.0
21930006579500,2001,3.0
21930006580000,2001,2.0
21930006580250,2001,2.0
21930006580500,2001,2.0
21930006580750,2001,2.0
21930006581500,2001,6.0
21930006581750,2001,5.0
21932506559750,2001,2.0
21932506560000,2001,8.0
21932506560750,2001,10.0
21932506567000,2001,44.0
21932506567250,2001,176.0
21932506567500,2001,25.0
21932506568500,2001,60.0
21932506568750,2001,127.0
21932506569250,2001,336.0
21932506569500,2001,69.0
21932506570250,2001,6.0
21932506570500,2001,8.0
21932506570750,2001,12.0
21932506571750,2001,18.0
21932506572000,2001,115.0
21932506572250,2001,112.0
21932506572500,2001,201.0
21932506572750,2001,121.0
21932506573000,2001,68.0
21932506573250,2001,101.0
21932506573500,2001,164.0
21932506573750,2001,139.0
21932506574000,2001,228.0
21932506574250,2001,173.0
21932506575250,2001,2.0
21932506575500,2001,80.0
21932506575750,2001,140.0
21932506576000,2001,96.0
21932506576250,2001,181.0
21932506576500,2001,101.0
21932506576750,2001,72.0
21932506577250,2001,5.0
21932506577500,2001,13.0
21932506577750,2001,37.0
21932506578000,2001,78.0
21932506578250,2001,27.0
21932506578750,2001,7.0
21932506579250,2001,2.0
21932506579500,2001,2.0
21932506579750,2001,4.0
21932506580000,2001,6.0
21932506580750,2001,3.0
21932506582750,2001,5.0
21935006567250,2001,20.0
