ogc_fid;pop_tot;ssbid250m
757;2;23535006654750
758;2;23530006654750
759;1;23527506654750
760;1;23532506654750
761;4;23535006655250
762;2;23530006655250
763;3;23530006655500
764;1;23532506655500
765;4;23530006655750
766;4;23530006656000
767;2;23500006654750
768;8;23497506655000
769;2;23495006655250
770;1;23497506655250
771;2;23492506657000
772;1;23485006658000
773;2;23477506658000
774;2;23485006658250
775;3;23482506658500
776;2;23482506658750
777;2;23530006657750
778;3;23530006658000
779;2;23535006658000
780;1;23532506658000
781;2;23520006657750
782;3;23530006658250
783;10;23535006658250
784;2;23535006658500
785;1;23532506658500
786;2;23530006658500
787;3;23535006658750
788;1;23532506658750
789;8;23527506658750
790;3;23542506657250
791;3;23542506657500
792;2;23547506657250
793;6;23570006657750
794;1;23540006657750
795;1;23540006658000
796;5;23537506658000
797;1;23537506658250
798;7;23540006658500
799;9;23537506658500
800;1;23540006658750
801;4;23537506658750
802;2;23537506659250
803;2;23537506659500
804;3;23540006659750
805;8;23537506659750
806;2;23552506660500
807;4;23537506660750
808;7;23402506655250
809;2;23402506656000
810;4;23402506656250
811;4;23402506656500
812;2;23432506656750
813;3;23387506657500
814;6;23390006657750
815;4;23387506657750
816;1;23392506657750
817;1;23390006658000
818;4;23395006657500
819;29;23397506657500
820;6;23400006657750
821;10;23395006657750
822;30;23397506657750
823;11;23400006658000
824;8;23395006658000
825;15;23397506658000
826;2;23382506658000
827;3;23400006658250
828;4;23395006658250
829;2;23397506658250
830;2;23400006658500
831;9;23395006658500
832;13;23395006658750
833;3;23397506658750
834;2;23392506658250
835;2;23392506659500
836;2;23395006659250
837;3;23400006659250
838;5;23397506659500
839;1;23395006659500
840;9;23400006659500
841;5;23400006659750
842;3;23400006660000
843;2;23395006660000
844;2;23397506660250
845;2;23402506657500
846;3;23405006658500
847;1;23405006658750
848;3;23402506658750
849;8;23407506659000
850;3;23402506659750
851;1;23407506660250
852;2;23407506660500
853;5;23410006660250
854;2;23415006660500
855;4;23410006660500
856;3;23417506660750
857;4;23415006661000
858;7;23410006661000
859;2;23415006661250
860;2;23407506661000
861;4;23402506661250
862;2;23410006661750
863;1;23415006662250
864;2;23417506662500
865;2;23417506662750
866;3;23412506662250
867;6;23415006662500
868;1;23412506662500
869;3;23415006663000
870;2;23420006662750
871;2;23420006663000
872;3;23417506663250
873;3;23420006663250
874;2;23422506663250
875;1;23420006663500
876;2;23400006660750
877;2;23395006660750
878;8;23395006661000
