Level,Org. nr.,Navn,Parent Employees,Children Count,Children Sum,Difference,Matches,Pct_Difference,Sektorkode,Sektor,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje
1 vs 3,823192452,Hks AS,11.0,1,0.0,11.0,False,100.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
1 vs 3,982579252,Wienerberger AS,17.0,1,0.0,17.0,False,100.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,46.83,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",,,,
1 vs 3,965292888,Lifjell skisenter AS,5.0,2,0.0,5.0,False,100.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,93.11,Drift av idrettsanlegg,55.2,Drift av vandrerhjem og ferieleiligheter,,
1 vs 3,921197233,Avanti revisjon AS,5.0,2,0.0,5.0,False,100.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,69.201,Revisjon,,,,
1 vs 3,910402722,Alf johansen AS,92.0,1,6.0,86.0,False,93.47826086956522,2100.0,Private aksjeselskaper mv.,Aksjeselskap,43.12,Grunnarbeid,,,,
1 vs 3,983594506,Stena recycling AS,346.0,2,38.0,308.0,False,89.01734104046243,2100.0,Private aksjeselskaper mv.,Aksjeselskap,38.21,Materialgjenvinning,,,,
1 vs 3,919767367,Sac drift AS,92.0,1,14.0,78.0,False,84.78260869565217,2100.0,Private aksjeselskaper mv.,Aksjeselskap,56.11,Drift av restauranter,,,,
1 vs 3,925066583,Framtre AS,28.0,1,5.0,23.0,False,82.14285714285714,2100.0,Private aksjeselskaper mv.,Aksjeselskap,2.2,Avvirkning,49.41,Godstransport på vei,,
1 vs 3,989383167,Bypost AS,129.0,1,31.0,98.0,False,75.96899224806202,2100.0,Private aksjeselskaper mv.,Aksjeselskap,53.2,Andre post- og budtjenester,,,,
1 vs 3,980518647,Eramet Norway AS,667.0,1,205.0,462.0,False,69.26536731634184,2100.0,Private aksjeselskaper mv.,Aksjeselskap,24.1,"Produksjon av jern og stål, samt ferrolegeringer",72.1,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,,
1 vs 3,989086642,At skog sa,94.0,6,34.0,60.0,False,63.829787234042556,2100.0,Private aksjeselskaper mv.,Samvirkeforetak,46.83,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",2.4,Tjenester tilknyttet skogbruk,,
1 vs 3,981240987,Tango drift AS,232.0,10,84.0,148.0,False,63.793103448275865,2100.0,Private aksjeselskaper mv.,Aksjeselskap,96.21,Frisering og barbering,,,,
1 vs 3,912580202,Maskineriet AS,319.0,1,139.0,180.0,False,56.42633228840125,2100.0,Private aksjeselskaper mv.,Aksjeselskap,82.2,Telefonvakttjenester og telefonsalg,,,,
