municipality_code,municipality_name,year,age_interval,housing_demand
4010,Siljan,2028,INTERVAL_30_39,172
4010,Siljan,2028,INTERVAL_40_49,159
4010,Siljan,2028,INTERVAL_50_59,193
4010,Siljan,2028,INTERVAL_60_69,202
4010,Siljan,2028,INTERVAL_70_79,173
4010,Siljan,2028,INTERVAL_80_INF,153
4010,Siljan,2029,INTERVAL_0_14,0
4010,Siljan,2029,INTERVAL_15_19,4
4010,Siljan,2029,INTERVAL_20_24,33
4010,Siljan,2029,INTERVAL_25_29,56
4010,Siljan,2029,INTERVAL_30_39,167
4010,Siljan,2029,INTERVAL_40_49,167
4010,Siljan,2029,INTERVAL_50_59,191
4010,Siljan,2029,INTERVAL_60_69,197
4010,Siljan,2029,INTERVAL_70_79,182
4010,Siljan,2029,INTERVAL_80_INF,154
4010,Siljan,2030,INTERVAL_0_14,0
