Geografi,År,Kjønn,Alder,Sykdomsgruppe,Måltall,value
Hele landet,2021,menn,0-44 år,Skader,"per 1000, standardisert",103.101091183943
Hele landet,2021,menn,0-24 år,Skader,"per 1000, standardisert",114.581994781987
Hele landet,2021,menn,0-14 år,Skader,"per 1000, standardisert",115.256000762141
Hele landet,2021,menn,15-24 år,Skader,"per 1000, standardisert",113.788113155306
Hele landet,2021,menn,25-44 år,Skader,"per 1000, standardisert",91.3959131437187
Hele landet,2021,menn,45-74 år,Skader,"per 1000, standardisert",89.2109665285493
Hele landet,2021,menn,45-64 år,Skader,"per 1000, standardisert",89.4306735629422
Hele landet,2021,menn,65-74 år,Skader,"per 1000, standardisert",88.627284847939
Hele landet,2021,menn,75-79 år,Skader,"per 1000, standardisert",99.3524040527424
Hele landet,2021,kvinner,0-74 år,Skader,"per 1000, standardisert",85.8183679617811
Hele landet,2021,kvinner,0-44 år,Skader,"per 1000, standardisert",82.9610989840039
Hele landet,2021,kvinner,0-24 år,Skader,"per 1000, standardisert",92.4050030084741
Hele landet,2021,kvinner,0-14 år,Skader,"per 1000, standardisert",92.8995111121849
Hele landet,2021,kvinner,15-24 år,Skader,"per 1000, standardisert",91.8847859243144
Hele landet,2021,kvinner,25-44 år,Skader,"per 1000, standardisert",73.3999889544502
Hele landet,2021,kvinner,45-74 år,Skader,"per 1000, standardisert",90.1380061048945
Hele landet,2021,kvinner,45-64 år,Skader,"per 1000, standardisert",90.0197759883962
Hele landet,2021,kvinner,65-74 år,Skader,"per 1000, standardisert",90.428123393453
Hele landet,2021,kvinner,75-79 år,Skader,"per 1000, standardisert",111.828441247193
Hele landet,2022,kjønn samlet,0-74 år,Skader,"per 1000, standardisert",88.1723582574768
Hele landet,2022,kjønn samlet,0-44 år,Skader,"per 1000, standardisert",88.9659667137205
Hele landet,2022,kjønn samlet,0-24 år,Skader,"per 1000, standardisert",97.912918524681
Hele landet,2022,kjønn samlet,0-14 år,Skader,"per 1000, standardisert",96.5349681648425
Hele landet,2022,kjønn samlet,15-24 år,Skader,"per 1000, standardisert",99.888984086227
Hele landet,2022,kjønn samlet,25-44 år,Skader,"per 1000, standardisert",79.9019163772763
