Kommune;År;Sektor;Utslipp
Horten;2018;Annen mobil forbrenning;4674,895952
Horten;2018;Avfall og avløp;392,405582
Horten;2018;Energiforsyning;808,0773822
Horten;2018;Industri, olje og gass;0
Horten;2018;Jordbruk;3938,523543
Horten;2018;Luftfart;0
Horten;2018;Oppvarming;2812,000598
Horten;2018;Sjøfart;47102,3469
Horten;2018;Veitrafikk;27023,57909
Horten;2019;Annen mobil forbrenning;5023,385282
Horten;2019;Avfall og avløp;384,2754644
Horten;2019;Energiforsyning;264,8364685
Horten;2019;Industri, olje og gass;0
Horten;2019;Jordbruk;3887,680732
Horten;2019;Luftfart;0
Horten;2019;Oppvarming;1998,102848
Horten;2019;Sjøfart;44141,66439
Horten;2019;Veitrafikk;26252,87521
Kragerø;2009;Annen mobil forbrenning;23829,54624
Kragerø;2009;Avfall og avløp;7842,029661
Kragerø;2009;Energiforsyning;0
Kragerø;2009;Industri, olje og gass;12363,71824
Kragerø;2009;Jordbruk;1173,848292
Kragerø;2009;Luftfart;0
Kragerø;2009;Oppvarming;12156,4239
Kragerø;2009;Sjøfart;17808,19226
Kragerø;2009;Veitrafikk;18166,5281
Kragerø;2011;Annen mobil forbrenning;14638,26633
Kragerø;2011;Avfall og avløp;6475,794513
Kragerø;2011;Energiforsyning;0
Kragerø;2011;Industri, olje og gass;11868,48818
Kragerø;2011;Jordbruk;1270,943962
Kragerø;2011;Luftfart;0
Kragerø;2011;Oppvarming;2262,303203
Kragerø;2011;Sjøfart;17808,19226
Kragerø;2011;Veitrafikk;17660,50437
Kragerø;2013;Annen mobil forbrenning;7435,019406
Kragerø;2013;Avfall og avløp;5303,776582
Kragerø;2013;Energiforsyning;0
Kragerø;2013;Industri, olje og gass;3141,25145
Kragerø;2013;Jordbruk;1557,005004
Kragerø;2013;Luftfart;0
Kragerø;2013;Oppvarming;1368,161633
Kragerø;2013;Sjøfart;17808,19226
Kragerø;2013;Veitrafikk;17354,70983
Kragerø;2015;Annen mobil forbrenning;4358,153472
Kragerø;2015;Avfall og avløp;4557,730277
Kragerø;2015;Energiforsyning;0
Kragerø;2015;Industri, olje og gass;6256,020723
Kragerø;2015;Jordbruk;1714,60816
Kragerø;2015;Luftfart;0
Kragerø;2015;Oppvarming;2552,667322
Kragerø;2015;Sjøfart;17808,19226
Kragerø;2015;Veitrafikk;17103,05025
Kragerø;2016;Annen mobil forbrenning;3599,355459
Kragerø;2016;Avfall og avløp;4167,984571
Kragerø;2016;Energiforsyning;0
Kragerø;2016;Industri, olje og gass;3405,479569
Kragerø;2016;Jordbruk;1928,464953
Kragerø;2016;Luftfart;0
Kragerø;2016;Oppvarming;938,9330532
Kragerø;2016;Sjøfart;17479,03764
Kragerø;2016;Veitrafikk;16190,40705
Kragerø;2017;Annen mobil forbrenning;3596,520584
Kragerø;2017;Avfall og avløp;4038,15884
Kragerø;2017;Energiforsyning;0
Kragerø;2017;Industri, olje og gass;10541,21222
Kragerø;2017;Jordbruk;1924,243019
Kragerø;2017;Luftfart;0
Kragerø;2017;Oppvarming;1094,709336
Kragerø;2017;Sjøfart;18588,21518
Kragerø;2017;Veitrafikk;14991,81488
Kragerø;2018;Annen mobil forbrenning;7265,582248
Kragerø;2018;Avfall og avløp;3981,799296
Kragerø;2018;Energiforsyning;0
Kragerø;2018;Industri, olje og gass;12177,1101
Kragerø;2018;Jordbruk;1697,340647
Kragerø;2018;Luftfart;0
Kragerø;2018;Oppvarming;1039,116292
Kragerø;2018;Sjøfart;18186,52147
Kragerø;2018;Veitrafikk;15413,6817
Kragerø;2019;Annen mobil forbrenning;5718,830223
Kragerø;2019;Avfall og avløp;3644,51794
Kragerø;2019;Energiforsyning;0
Kragerø;2019;Industri, olje og gass;6928,62318
Kragerø;2019;Jordbruk;1827,011012
Kragerø;2019;Luftfart;0
Kragerø;2019;Oppvarming;697,2101381
Kragerø;2019;Sjøfart;17774,30305
Kragerø;2019;Veitrafikk;14967,45586
Kviteseid;2009;Annen mobil forbrenning;1484,664044
Kviteseid;2009;Avfall og avløp;3448,980161
Kviteseid;2009;Energiforsyning;0
Kviteseid;2009;Industri, olje og gass;0
Kviteseid;2009;Jordbruk;5864,669196
Kviteseid;2009;Luftfart;0
Kviteseid;2009;Oppvarming;806,9442557
Kviteseid;2009;Sjøfart;0
Kviteseid;2009;Veitrafikk;8389,432404
Kviteseid;2011;Annen mobil forbrenning;1957,072749
Kviteseid;2011;Avfall og avløp;2997,244911
Kviteseid;2011;Energiforsyning;0
Kviteseid;2011;Industri, olje og gass;0
Kviteseid;2011;Jordbruk;5331,726108
Kviteseid;2011;Luftfart;0
Kviteseid;2011;Oppvarming;699,1236772
Kviteseid;2011;Sjøfart;0
Kviteseid;2011;Veitrafikk;8320,290727
Kviteseid;2013;Annen mobil forbrenning;1965,081435
Kviteseid;2013;Avfall og avløp;3446,038024
Kviteseid;2013;Energiforsyning;0
Kviteseid;2013;Industri, olje og gass;0
Kviteseid;2013;Jordbruk;5057,353437
Kviteseid;2013;Luftfart;0
Kviteseid;2013;Oppvarming;516,2435504
Kviteseid;2013;Sjøfart;0
Kviteseid;2013;Veitrafikk;8323,679884
Kviteseid;2015;Annen mobil forbrenning;615,322504
Kviteseid;2015;Avfall og avløp;2656,097066
Kviteseid;2015;Energiforsyning;0
Kviteseid;2015;Industri, olje og gass;0
Kviteseid;2015;Jordbruk;5186,870746
Kviteseid;2015;Luftfart;0
Kviteseid;2015;Oppvarming;537,0014061
Kviteseid;2015;Sjøfart;0
Kviteseid;2015;Veitrafikk;8309,317093
Kviteseid;2016;Annen mobil forbrenning;465,0494291
Kviteseid;2016;Avfall og avløp;2481,953622
Kviteseid;2016;Energiforsyning;0
Kviteseid;2016;Industri, olje og gass;0
Kviteseid;2016;Jordbruk;5288,574481
Kviteseid;2016;Luftfart;0
Kviteseid;2016;Oppvarming;466,7744841
Kviteseid;2016;Sjøfart;0
Kviteseid;2016;Veitrafikk;7949,347257
Kviteseid;2017;Annen mobil forbrenning;357,8825417
Kviteseid;2017;Avfall og avløp;2122,982131
Kviteseid;2017;Energiforsyning;0
Kviteseid;2017;Industri, olje og gass;0
Kviteseid;2017;Jordbruk;5247,915695
Kviteseid;2017;Luftfart;0
Kviteseid;2017;Oppvarming;491,5865791
Kviteseid;2017;Sjøfart;0
Kviteseid;2017;Veitrafikk;7344,909516
Kviteseid;2018;Annen mobil forbrenning;523,1142306
Kviteseid;2018;Avfall og avløp;2037,081714
Kviteseid;2018;Energiforsyning;0
Kviteseid;2018;Industri, olje og gass;0
Kviteseid;2018;Jordbruk;4636,948576
Kviteseid;2018;Luftfart;0
Kviteseid;2018;Oppvarming;551,7837976
